id ,state,year(s),year_min,residency,measure_group,measure,category,subcategory,population_denominator_dentition,estimate,lower_CI,upper_CI
10025,Michigan,2016-2017,2016,congregate meal sites,condition of hard tissue,root fragments,gender,female,all adults ages 65+*,10.1,5.8,14.3
10026,Michigan,2016-2017,2016,congregate meal sites,condition of hard tissue,root fragments,race,White,all adults ages 65+*,11.2,7,15.3
10027,Michigan,2016-2017,2016,congregate meal sites,condition of hard tissue,root fragments,race,Black/African American,all adults ages 65+*,13.5,0.8,26.2
10028,Michigan,2016-2017,2016,congregate meal sites,condition of hard tissue,root fragments,race,Other,all adults ages 65+*,6.9,0,20.7
10029,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,none,all,total,all adults ages 65+*,81.9,75.7,88.1
10030,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,none,region,Upper Peninsula,all adults ages 65+*,88.6,75.9,100
10031,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,none,region,Northern Lower Peninsula,all adults ages 65+*,84.6,75.1,94
10032,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,none,region,City of Detroit,all adults ages 65+*,82.3,66.3,98.2
10033,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,none,region,Suburban Detroit,all adults ages 65+*,84,78,89.9
10034,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,none,region,Southern Lower Peninsula,all adults ages 65+*,79.1,68.4,89.8
10035,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,none,age,65--74,all adults ages 65+*,78.2,70,86.4
10036,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,none,age,75--84,all adults ages 65+*,88,82.9,93
10037,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,none,age,85+,all adults ages 65+*,80.3,68.6,92
10038,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,none,gender,male,all adults ages 65+*,75.6,68.8,82.3
10039,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,none,gender,female,all adults ages 65+*,84.4,77.5,91.3
10040,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,none,race,White,all adults ages 65+*,81.5,73.8,89.3
10041,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,none,race,Black/African American,all adults ages 65+*,79.2,67.9,90.5
10042,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,none,race,Other,all adults ages 65+*,89.7,73,100
10043,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,early,all,total,all adults ages 65+*,17.3,11.3,23.4
10044,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,early,region,Upper Peninsula,all adults ages 65+*,11.4,0,24.1
10045,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,early,region,Northern Lower Peninsula,all adults ages 65+*,13.3,3.3,23.2
10046,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,early,region,City of Detroit,all adults ages 65+*,17,0.6,33.3
10047,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,early,region,Suburban Detroit,all adults ages 65+*,15.3,10,20.6
10048,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,early,region,Southern Lower Peninsula,all adults ages 65+*,20.4,10.1,30.8
10049,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,early,age,65--74,all adults ages 65+*,20.8,12.5,29.1
10050,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,early,age,75--84,all adults ages 65+*,11.1,6.3,15.9
10051,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,early,age,85+,all adults ages 65+*,19.7,8,31.4
10052,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,early,gender,male,all adults ages 65+*,22.9,16.2,29.6
10053,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,early,gender,female,all adults ages 65+*,15.1,8.2,22
10054,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,early,race,White,all adults ages 65+*,17.7,10.1,25.2
10055,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,early,race,Black/African American,all adults ages 65+*,20.3,8.8,31.8
10056,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,early,race,Other,all adults ages 65+*,7.7,0,22.3
10057,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,urgent,all,total,all adults ages 65+*,0.8,0.1,1.5
10058,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,urgent,region,Upper Peninsula,all adults ages 65+*,,,
10059,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,urgent,region,Northern Lower Peninsula,all adults ages 65+*,2.2,0,4.4
10060,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,urgent,region,City of Detroit,all adults ages 65+*,0.8,0,2.3
10061,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,urgent,region,Suburban Detroit,all adults ages 65+*,0.8,0,2.4
10062,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,urgent,region,Southern Lower Peninsula,all adults ages 65+*,0.4,0,1.4
10063,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,urgent,age,65--74,all adults ages 65+*,1,0.1,2
10064,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,urgent,age,75--84,all adults ages 65+*,0.9,0,2.4
10065,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,urgent,age,85+,all adults ages 65+*,,,
10066,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,urgent,gender,male,all adults ages 65+*,1.5,0,3.4
10067,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,urgent,gender,female,all adults ages 65+*,0.5,0,1.1
10068,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,urgent,race,White,all adults ages 65+*,0.8,0,1.6
10069,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,urgent,race,Black/African American,all adults ages 65+*,0.5,0,1.6
10070,Michigan,2016-2017,2016,congregate meal sites,dental treatment needed,urgent,race,Other,all adults ages 65+*,2.6,0,8.4
10071,Florida,2015 - 2016,2015,congregate meal sites,denture use,upper denture,education,less than HS degree,all adults ages 65+,65.4,55.2,75.6
10072,Florida,2015 - 2016,2015,congregate meal sites,denture use,upper denture,education,HS degree,all adults ages 65+,46.3,39.2,53.4
10073,Florida,2015 - 2016,2015,congregate meal sites,denture use,upper denture,education,some college,all adults ages 65+,38.1,30.3,46
10074,Florida,2015 - 2016,2015,congregate meal sites,denture use,upper denture,education,advanced degree,all adults ages 65+,34.4,21.9,46.8
10075,Florida,2015 - 2016,2015,congregate meal sites,denture use,upper denture,all,total,all adults ages 65+,46.7,41.5,51.9
10076,Florida,2015 - 2016,2015,congregate meal sites,denture use,lower denture,education,less than HS degree,all adults ages 65+,57,46.3,67.6
10077,Florida,2015 - 2016,2015,congregate meal sites,denture use,lower denture,education,HS degree,all adults ages 65+,36.4,29.9,42.9
10078,Florida,2015 - 2016,2015,congregate meal sites,denture use,lower denture,education,some college,all adults ages 65+,33.6,25.5,41.8
10079,Florida,2015 - 2016,2015,congregate meal sites,denture use,lower denture,education,advanced degree,all adults ages 65+,29.4,17.9,40.9
10080,Florida,2015 - 2016,2015,congregate meal sites,denture use,lower denture,all,total,all adults ages 65+,39.5,34.7,44.4
10081,Florida,2015 - 2016,2015,congregate meal sites,denture use,both upper and lower denture,education,less than HS degree,all adults ages 65+,53.3,42.9,63.6
10082,Florida,2015 - 2016,2015,congregate meal sites,denture use,both upper and lower denture,education,HS degree,all adults ages 65+,32.1,25.5,38.6
10083,Florida,2015 - 2016,2015,congregate meal sites,denture use,both upper and lower denture,education,some college,all adults ages 65+,27.3,18.7,35.8
10084,Florida,2015 - 2016,2015,congregate meal sites,denture use,both upper and lower denture,education,advanced degree,all adults ages 65+,22.4,10.8,33.9
10085,Florida,2015 - 2016,2015,congregate meal sites,denture use,both upper and lower denture,education,total,all adults ages 65+,34.4,29.3,39.5
10086,Florida,2015 - 2016,2015,congregate meal sites,condition of soft tissue,soft tissue lesions,all ,total,all adults ages 65+,5.5,3.3,7.7
10087,Florida,2015 - 2016,2015,congregate meal sites,dental treatment needed,early,all ,total,all adults ages 65+,28.8,22.3,35.2
10088,Florida,2015 - 2016,2015,congregate meal sites,dental treatment needed,urgent,all ,total,all adults ages 65+,5,2.6,7.4
10089,Florida,2015 - 2016,2015,congregate meal sites,condition of soft tissue,soft tissue lesions,race / ethnicity,White,all adults ages 65+,5.7,1,10.5
10090,Florida,2015 - 2016,2015,congregate meal sites,dental treatment needed,early,race / ethnicity,White,all adults ages 65+,30,21.8,38.2
10091,Florida,2015 - 2016,2015,congregate meal sites,dental treatment needed,urgent,race / ethnicity,White,all adults ages 65+,6.1,1.6,10.6
10092,Florida,2015 - 2016,2015,congregate meal sites,condition of soft tissue,soft tissue lesions,race / ethnicity,Black,all adults ages 65+,1.6,0,3.9
10093,Florida,2015 - 2016,2015,congregate meal sites,dental treatment needed,early,race / ethnicity,Black,all adults ages 65+,32,7.9,56.1
10094,Florida,2015 - 2016,2015,congregate meal sites,dental treatment needed,urgent,race / ethnicity,Black,all adults ages 65+,7.4,0.3,14.5
10095,Florida,2015 - 2016,2015,congregate meal sites,condition of soft tissue,soft tissue lesions,race / ethnicity,Hispanic,all adults ages 65+,6.6,4.3,9
10096,Florida,2015 - 2016,2015,congregate meal sites,dental treatment needed,early dental care,race / ethnicity,Hispanic,all adults ages 65+,26.2,17.6,34.8
10097,Florida,2015 - 2016,2015,congregate meal sites,dental treatment needed,urgent dental care,race / ethnicity,Hispanic,all adults ages 65+,4.5,1.6,7.5
10098,Florida,2015 - 2016,2015,congregate meal sites,condition of soft tissue,soft tissue lesions,race / ethnicity,Multi-racial,all adults ages 65+,5.2,0,10.3
10099,Florida,2015 - 2016,2015,congregate meal sites,dental treatment needed,early,race / ethnicity,Multi-racial,all adults ages 65+,37.3,27.3,47.2
10100,Florida,2015 - 2016,2015,congregate meal sites,dental treatment needed,urgent,race / ethnicity,Multi-racial,all adults ages 65+,0.8,0,2.6
10101,Florida,2015 - 2016,2015,congregate meal sites,condition of soft tissue,soft tissue lesions,race / ethnicity,other,all adults ages 65+,3.2,0,9.6
10102,Florida,2015 - 2016,2015,congregate meal sites,dental treatment needed,early,race / ethnicity,other,all adults ages 65+,10.3,0.1,20.2
10103,Florida,2015 - 2016,2015,congregate meal sites,dental treatment needed,urgent,race / ethnicity,other,all adults ages 65+,,,
10104,Florida,2015 - 2016,2015,congregate meal sites,condition of soft tissue,soft tissue lesions,region,Northwest,all adults ages 65+,,,
10105,Florida,2015 - 2016,2015,congregate meal sites,dental treatment needed,early dental care,region,Northwest,all adults ages 65+,35.2,0,76.7
10106,Florida,2015 - 2016,2015,congregate meal sites,dental treatment needed,urgent dental care,region,Northwest,all adults ages 65+,5,0,15.2
10107,Florida,2015 - 2016,2015,congregate meal sites,condition of soft tissue,soft tissue lesions,region,Northeast,all adults ages 65+,3.6,0,8.6
10108,Florida,2015 - 2016,2015,congregate meal sites,dental treatment needed,early,region,Northeast,all adults ages 65+,32.6,18.6,46.6
10109,Florida,2015 - 2016,2015,congregate meal sites,dental treatment needed,urgent,region,Northeast,all adults ages 65+,3.3,0,7.6
10110,Florida,2015 - 2016,2015,congregate meal sites,condition of soft tissue,soft tissue lesions,region,Central,all adults ages 65+,3.1,0,7.4
10111,Florida,2015 - 2016,2015,congregate meal sites,dental treatment needed,early,region,Central,all adults ages 65+,25.6,18.7,32.5
10112,Florida,2015 - 2016,2015,congregate meal sites,dental treatment needed,urgent,region,Central,all adults ages 65+,4.5,0,10.4
10113,Florida,2015 - 2016,2015,congregate meal sites,condition of soft tissue,early,region,West Coast,all adults ages 65+,8.1,0,7.4
10114,Florida,2015 - 2016,2015,congregate meal sites,dental treatment needed,urgent,region,West Coast,all adults ages 65+,22.7,1.1,44.3
10115,Florida,2015 - 2016,2015,congregate meal sites,dental treatment needed,urgent dental care,region,West Coast,all adults ages 65+,4.1,0,11.3
10116,Florida,2015 - 2016,2015,congregate meal sites,condition of soft tissue,soft tissue lesions,region,Atlantic,all adults ages 65+,3.3,0,9.9
10117,Florida,2015 - 2016,2015,congregate meal sites,dental treatment needed,early,region,Atlantic,all adults ages 65+,47.5,11.6,83.3
10118,Florida,2015 - 2016,2015,congregate meal sites,dental treatment needed,urgent,region,Atlantic,all adults ages 65+,7.8,3.9,11.7
10119,Florida,2015 - 2016,2015,congregate meal sites,condition of soft tissue,soft tissue lesions,region,South,all adults ages 65+,6.5,4.1,8.9
10120,Florida,2015 - 2016,2015,congregate meal sites,dental treatment needed,early,region,South,all adults ages 65+,27.9,21.4,34.3
10121,Florida,2015 - 2016,2015,congregate meal sites,dental treatment needed,urgent,region,South,all adults ages 65+,5.7,2.2,9.3
10122,Florida,2015 - 2016,2015,congregate meal sites,condition of soft tissue,soft tissue lesions,education,no HS diploma,all adults ages 65+,4.8,1.1,8.7
10123,Florida,2015 - 2016,2015,congregate meal sites,dental treatment needed,early,education,no HS diploma,all adults ages 65+,25.2,14.5,35.9
10124,Florida,2015 - 2016,2015,congregate meal sites,dental treatment needed,urgent,education,no HS diploma,all adults ages 65+,2.3,0.4,4.1
10125,Florida,2015 - 2016,2015,congregate meal sites,condition of soft tissue,soft tissue lesions,education,HS diploma,all adults ages 65+,3.7,0.6,6.7
10126,Florida,2015 - 2016,2015,congregate meal sites,dental treatment needed,early,education,HS diploma,all adults ages 65+,26.8,18.8,34.7
10127,Florida,2015 - 2016,2015,congregate meal sites,dental treatment needed,urgent,education,HS diploma,all adults ages 65+,5.6,2.2,8.9
10128,Florida,2015 - 2016,2015,congregate meal sites,condition of soft tissue,soft tissue lesions,education,some college,all adults ages 65+,5.2,18,8.5
10129,Florida,2015 - 2016,2015,congregate meal sites,dental treatment needed,early,education,some college,all adults ages 65+,30.7,22.5,38.8
10130,Florida,2015 - 2016,2015,congregate meal sites,dental treatment needed,urgent,education,some college,all adults ages 65+,4.9,1.7,7.9
10131,Florida,2015 - 2016,2015,congregate meal sites,condition of soft tissue,soft tissue lesions,education,advanced degree,all adults ages 65+,5.2,0,11.1
10132,Florida,2015 - 2016,2015,congregate meal sites,dental treatment needed,early,education,advanced degree,all adults ages 65+,38.8,24.1,53.5
10133,Florida,2015 - 2016,2015,congregate meal sites,dental treatment needed,urgent,education,advanced degree,all adults ages 65+,2.7,0,7.2
10134,Iowa,2017,2017,congregate meal sites,condition of hard tissue,edentulous,all ,total,all adults ages 65+,23.16,20.06,26.25
10135,Iowa,2017,2017,congregate meal sites,condition of soft tissue,soft tissue lesions,all ,total,all adults ages 65+,3.93,2.5,5.36
10136,Iowa,2017,2017,congregate meal sites,dental treatment needed,no obvious problems,all ,total,all adults ages 65+,77.93,74.91,80.95
10137,Iowa,2017,2017,congregate meal sites,dental treatment needed,early care,all ,total,all adults ages 65+,17.51,14.73,20.29
10138,Iowa,2017,2017,congregate meal sites,dental treatment needed,urgent care,all ,total,all adults ages 65+,4.56,3.09,6.03
10139,Michigan,2016-2017,2016,congregate meal sites,denture use,upper denture present,all,total,all adults ages 65+,37.5,31.2,43.9
10140,Michigan,2016-2017,2016,congregate meal sites,denture use,upper denture present,region,Upper Peninsula,all adults ages 65+,38.3,27.8,48.9
10141,Michigan,2016-2017,2016,congregate meal sites,denture use,upper denture present,region,Northern Lower Peninsula,all adults ages 65+,30,20.4,39.6
10142,Michigan,2016-2017,2016,congregate meal sites,denture use,upper denture present,region,City of Detroit,all adults ages 65+,65.8,40.6,90.9
10143,Michigan,2016-2017,2016,congregate meal sites,denture use,upper denture present,region,Suburban Detroit,all adults ages 65+,38.8,28.9,48.7
10144,Michigan,2016-2017,2016,congregate meal sites,denture use,upper denture present,region,Southern Lower Peninsula,all adults ages 65+,34.2,23.9,44.5
10145,Michigan,2016-2017,2016,congregate meal sites,denture use,upper denture present,age,65--75,all adults ages 65+,35.5,27.2,43.7
10146,Michigan,2016-2017,2016,congregate meal sites,denture use,upper denture present,age,75--84,all adults ages 65+,37,29.1,44.9
10147,Michigan,2016-2017,2016,congregate meal sites,denture use,upper denture present,age,85+,all adults ages 65+,43.3,30.6,55.9
10148,Michigan,2016-2017,2016,congregate meal sites,denture use,upper denture present,gender,male,all adults ages 65+,38.2,20.6,45.8
10149,Michigan,2016-2017,2016,congregate meal sites,denture use,upper denture present,gender,female,all adults ages 65+,36.9,29.7,44.1
10150,Michigan,2016-2017,2016,congregate meal sites,denture use,upper denture present,race,White,all adults ages 65+,33.4,27,39.9
10151,Michigan,2016-2017,2016,congregate meal sites,denture use,upper denture present,race,Black / African American,all adults ages 65+,59.5,41.3,77.7
10152,Michigan,2016-2017,2016,congregate meal sites,denture use,upper denture present,race,Other,all adults ages 65+,42.1,16.7,67.5
10153,Michigan,2016-2017,2016,congregate meal sites,denture use,wears upper denture while eating,all,total,all adults ages 65+,88.3,81,95.7
10154,Michigan,2016-2017,2016,congregate meal sites,denture use,wears upper denture while eating,region,Upper Peninsula,all adults ages 65+,96,88.1,100
10155,Michigan,2016-2017,2016,congregate meal sites,denture use,wears upper denture while eating,region,Northern Lower Peninsula,all adults ages 65+,95.1,88.8,100
10156,Michigan,2016-2017,2016,congregate meal sites,denture use,wears upper denture while eating,region,City of Detroit,all adults ages 65+,78.9,57.2,100
10157,Michigan,2016-2017,2016,congregate meal sites,denture use,wears upper denture while eating,region,Suburban Detroit,all adults ages 65+,91.2,85.3,97.1
10158,Michigan,2016-2017,2016,congregate meal sites,denture use,wears upper denture while eating,region,Southern Lower Peninsula,all adults ages 65+,87.8,75.8,99.8
10159,Michigan,2016-2017,2016,congregate meal sites,denture use,wears upper denture while eating,age,65--75,all adults ages 65+,78.8,64.5,93
10160,Michigan,2016-2017,2016,congregate meal sites,denture use,wears upper denture while eating,age,75--84,all adults ages 65+,95.6,90.8,100
10161,Michigan,2016-2017,2016,congregate meal sites,denture use,wears upper denture while eating,age,85+,all adults ages 65+,95.5,88.6,100
10162,Michigan,2016-2017,2016,congregate meal sites,denture use,wears upper denture while eating,gender,male,all adults ages 65+,87.8,70.4,100
10163,Michigan,2016-2017,2016,congregate meal sites,denture use,wears upper denture while eating,gender,female,all adults ages 65+,88.3,79.3,97.3
10164,Michigan,2016-2017,2016,congregate meal sites,denture use,wears upper denture while eating,race,White,all adults ages 65+,89,80.9,97.1
10165,Michigan,2016-2017,2016,congregate meal sites,denture use,wears upper denture while eating,race,Black / African American,all adults ages 65+,84.4,66.1,100
10166,Michigan,2016-2017,2016,congregate meal sites,denture use,wears upper denture while eating,race,Other,all adults ages 65+,100,100,100
10167,Michigan,2016-2017,2016,congregate meal sites,denture use,lower denture present,all,total,all adults ages 65+,26.7,22.3,31.1
10168,Michigan,2016-2017,2016,congregate meal sites,denture use,lower denture present,region,Upper Peninsula,all adults ages 65+,23.3,14.1,32.4
10169,Michigan,2016-2017,2016,congregate meal sites,denture use,lower denture present,region,Northern Lower Peninsula,all adults ages 65+,19.5,12.1,26.8
10170,Michigan,2016-2017,2016,congregate meal sites,denture use,lower denture present,region,City of Detroit,all adults ages 65+,51.3,30.2,72.4
10171,Michigan,2016-2017,2016,congregate meal sites,denture use,lower denture present,region,Suburban Detroit,all adults ages 65+,29.7,21.1,38.3
10172,Michigan,2016-2017,2016,congregate meal sites,denture use,lower denture present,region,Southern Lower Peninsula,all adults ages 65+,24.5,18.1,30.9
10173,Michigan,2016-2017,2016,congregate meal sites,denture use,lower denture present,age,65--75,all adults ages 65+,26.8,19.8,33.9
10174,Michigan,2016-2017,2016,congregate meal sites,denture use,lower denture present,age,75--84,all adults ages 65+,27.1,20.7,33.5
10175,Michigan,2016-2017,2016,congregate meal sites,denture use,lower denture present,age,85+,all adults ages 65+,25.6,14,37.2
10176,Michigan,2016-2017,2016,congregate meal sites,denture use,lower denture present,gender,male,all adults ages 65+,28.5,22.2,34.9
10177,Michigan,2016-2017,2016,congregate meal sites,denture use,lower denture present,gender,female,all adults ages 65+,25.4,20.8,30
10178,Michigan,2016-2017,2016,congregate meal sites,denture use,lower denture present,race,White,all adults ages 65+,22.9,18.8,26.9
10179,Michigan,2016-2017,2016,congregate meal sites,denture use,lower denture present,race,Black / African American,all adults ages 65+,46.1,32,60.2
10180,Michigan,2016-2017,2016,congregate meal sites,denture use,lower denture present,race,Other,all adults ages 65+,30.7,12.7,48.6
10181,Michigan,2016-2017,2016,congregate meal sites,denture use,wears lower denture while eating,all,total,all adults ages 65+,83,74.4,91.7
10182,Michigan,2016-2017,2016,congregate meal sites,denture use,wears lower denture while eating,region,Upper Peninsula,all adults ages 65+,93.8,80.5,100
10183,Michigan,2016-2017,2016,congregate meal sites,denture use,wears lower denture while eating,region,Northern Lower Peninsula,all adults ages 65+,85.2,74.9,95.5
10184,Michigan,2016-2017,2016,congregate meal sites,denture use,wears lower denture while eating,region,City of Detroit,all adults ages 65+,84.4,72.9,95.9
10185,Michigan,2016-2017,2016,congregate meal sites,denture use,wears lower denture while eating,region,Suburban Detroit,all adults ages 65+,77,64.6,89.4
10186,Michigan,2016-2017,2016,congregate meal sites,denture use,wears lower denture while eating,region,Southern Lower Peninsula,all adults ages 65+,81.2,64.5,97.9
10187,Michigan,2016-2017,2016,congregate meal sites,denture use,wears lower denture while eating,age,65--75,all adults ages 65+,71.3,56.3,86.2
10188,Michigan,2016-2017,2016,congregate meal sites,denture use,wears lower denture while eating,age,75--84,all adults ages 65+,90.7,83,98.4
10189,Michigan,2016-2017,2016,congregate meal sites,denture use,wears lower denture while eating,age,85+,all adults ages 65+,98,93.9,100
10190,Michigan,2016-2017,2016,congregate meal sites,denture use,wears lower denture while eating,gender,male,all adults ages 65+,76.9,54.6,99.3
10191,Michigan,2016-2017,2016,congregate meal sites,denture use,wears lower denture while eating,gender,female,all adults ages 65+,85.4,76.9,93.9
10192,Michigan,2016-2017,2016,congregate meal sites,denture use,wears lower denture while eating,race,White,all adults ages 65+,82.9,71,94.8
10193,Michigan,2016-2017,2016,congregate meal sites,denture use,wears lower denture while eating,race,Black / African American,all adults ages 65+,86.6,77.2,96.1
10194,Michigan,2016-2017,2016,congregate meal sites,denture use,wears lower denture while eating,race,Other,all adults ages 65+,65.6,37.7,93.4
10195,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,oral debris,all,total,all adults ages 65+,10.7,6.5,14.9
10196,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,oral debris,region,Upper Peninsula,all adults ages 65+,9,2.8,15.2
10197,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,oral debris,region,Northern Lower Peninsula,all adults ages 65+,2,0,4.7
10198,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,oral debris,region,City of Detroit,all adults ages 65+,19.3,0,48.1
10199,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,oral debris,region,Suburban Detroit,all adults ages 65+,14.7,10.7,18.7
10200,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,oral debris,region,Southern Lower Peninsula,all adults ages 65+,11.8,6.5,17
10201,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,oral debris,age,65--74,all adults ages 65+,12.7,4.9,20.5
10202,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,oral debris,age,75--84,all adults ages 65+,8.6,3.9,13.3
10203,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,oral debris,age,85+,all adults ages 65+,9.7,4,15.4
10204,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,oral debris,gender,male,all adults ages 65+,12.4,4.9,19.8
10205,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,oral debris,gender,female,all adults ages 65+,10,5.7,14.3
10206,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,oral debris,race,White,all adults ages 65+,9.1,5.8,12.3
10207,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,oral debris,race,Black/African American,all adults ages 65+,21.5,1.7,41.3
10208,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,oral debris,race,Other,all adults ages 65+,7.7,0,22.3
10209,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,gingival inflammation,all,total,all adults ages 65+,10.2,5.6,14.9
10210,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,gingival inflammation,region,Upper Peninsula,all adults ages 65+,5.4,0,12.9
10211,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,gingival inflammation,region,Northern Lower Peninsula,all adults ages 65+,1.6,0,4.2
