"ref_num","category"
"AK-000069","Community Mental Health Centers"
"AK-000069","Dental Providers"
"AK-000069","Federally Qualified Health Centers - Medical Services"
"AK-000069","Indian Health Service"
"AK-000069","Rural Health Clinics"
"AK-000069","Tribal Health Program operated under P.L. 93-638"
"AK-000070","Family Planning Providers"
"AK-000070","Sexually Transmitted Disease Clinics"
"AK-000071","Community Mental Health Centers"
"AK-000071","Dental Providers"
"AK-000071","Family Planning Providers"
"AK-000071","Federally Qualified Health Centers - Medical Services"
"AK-000071","Rural Health Clinics"
"AK-000071","Ryan White Providers"
"AK-000071","Tribal Health Program operated under P.L. 93-638"
"AK-000073","Community Mental Health Centers"
"AK-000073","Dental Providers"
"AK-000073","Federally Qualified Health Centers - Dental Services"
"AK-000073","Federally Qualified Health Centers - Medical Services"
"AK-000073","Rural Health Clinics"
"AK-000073","Sexually Transmitted Disease Clinics"
"AK-000072","Community Mental Health Centers"
"AK-000072","Dental Providers"
"AK-000072","Family Planning Providers"
"AK-000072","Federally Qualified Health Centers - Dental Services"
"AK-000072","Federally Qualified Health Centers - Medical Services"
"AK-000072","Rural Health Clinics"
"AK-000072","Sexually Transmitted Disease Clinics"
"AK-000074","Dental Providers"
"AK-000074","Indian Health Service"
"AK-000074","Other ECP Providers"
"AK-000074","Tribal Health Program operated under P.L. 93-638"
"AK-000075","Federally Qualified Health Centers - Medical Services"
"AK-000076","Community Mental Health Centers"
"AK-000076","Dental Providers"
"AK-000076","Family Planning Providers"
"AK-000076","Sexually Transmitted Disease Clinics"
"AK-000076","Tribal Health Program operated under P.L. 93-638"
"AK-000077","Federally Qualified Health Centers - Medical Services"
"AK-000078","Dental Providers"
"AK-000078","Indian Health Service"
"AK-000078","Other ECP Providers"
"AK-000078","Tribal Health Program operated under P.L. 93-638"
"AK-000078","Urban Indian Health Program"
"AK-000079","Indian Health Service"
"AK-000079","Other ECP Providers"
"AK-000079","Tribal Health Program operated under P.L. 93-638"
"AK-000080","Federally Qualified Health Centers - Medical Services"
"AK-000081","Dental Providers"
"AK-000081","Federally Qualified Health Centers - Medical Services"
"AK-000081","Indian Health Service"
"AK-000081","Tribal Health Program operated under P.L. 93-638"
"AK-000082","Federally Qualified Health Centers - Medical Services"
"AK-000082","Rural Health Clinics"
"AK-000083","Indian Health Service"
"AK-000083","Other ECP Providers"
"AK-000083","Tribal Health Program operated under P.L. 93-638"
"AK-000084","Family Planning Providers"
"AK-000084","Sexually Transmitted Disease Clinics"
"AK-000085","Dental Providers"
"AK-000085","Federally Qualified Health Centers - Medical Services"
"AK-000085","Rural Health Clinics"
"AK-000086","Federally Qualified Health Centers - Medical Services"
"AK-000086","Indian Health Service"
"AK-000086","Tribal Health Program operated under P.L. 93-638"
"AK-000087","Federally Qualified Health Centers - Medical Services"
"AK-000088","Dental Providers"
"AK-000088","Indian Health Service"
"AK-000088","Other ECP Providers"
"AK-000088","Tribal Health Program operated under P.L. 93-638"
"AK-000089","Dental Providers"
"AK-000089","Indian Health Service"
"AK-000089","Other ECP Providers"
"AK-000089","Tribal Health Program operated under P.L. 93-638"
"AK-000090","Federally Qualified Health Centers - Medical Services"
"AK-000090","Indian Health Service"
"AK-000090","Tribal Health Program operated under P.L. 93-638"
"AK-000091","Rural Health Clinics"
"AK-000091","Tribal Health Program operated under P.L. 93-638"
"AK-000092","Rural Health Clinics"
"AK-000092","Tribal Health Program operated under P.L. 93-638"
"AK-000093","Dental Providers"
"AK-000093","Other ECP Providers"
"AK-000093","Tribal Health Program operated under P.L. 93-638"
"AK-000093","Urban Indian Health Program"
"AK-000094","Federally Qualified Health Centers - Medical Services"
"AK-000095","Family Planning Providers"
"AK-000095","Sexually Transmitted Disease Clinics"
"AK-000096","Inpatient Hospitals (other than children's hospitals)"
"AK-000097","Federally Qualified Health Centers - Medical Services"
"AK-000097","Indian Health Service"
"AK-000097","Tribal Health Program operated under P.L. 93-638"
"AK-000098","Indian Health Service"
"AK-000098","Other ECP Providers"
"AK-000098","Tribal Health Program operated under P.L. 93-638"
"AK-000099","Dental Providers"
"AK-000099","Indian Health Service"
"AK-000099","Other ECP Providers"
"AK-000099","Tribal Health Program operated under P.L. 93-638"
"AK-000100","Dental Providers"
"AK-000100","Federally Qualified Health Centers - Medical Services"
"AK-000100","Indian Health Service"
"AK-000100","Rural Health Clinics"
"AK-000101","Federally Qualified Health Centers - Medical Services"
"AK-000101","Tribal Health Program operated under P.L. 93-638"
"AK-000101","Urban Indian Health Program"
"AK-000102","Indian Health Service"
"AK-000102","Other ECP Providers"
"AK-000102","Tribal Health Program operated under P.L. 93-638"
"AK-000103","Dental Providers"
"AK-000104","Dental Providers"
"AK-000104","Family Planning Providers"
"AK-000104","Indian Health Service"
"AK-000104","Tribal Health Program operated under P.L. 93-638"
"AK-000105","Federally Qualified Health Centers - Medical Services"
"AK-000106","Dental Providers"
"AK-000106","Family Planning Providers"
"AK-000106","Federally Qualified Health Centers - Medical Services"
"AK-000106","Indian Health Service"
"AK-000106","Tribal Health Program operated under P.L. 93-638"
"AK-000107","Community Mental Health Centers"
"AK-000107","Dental Providers"
"AK-000107","Family Planning Providers"
"AK-000107","Federally Qualified Health Centers - Medical Services"
"AK-000107","Rural Health Clinics"
"AK-000107","Ryan White Providers"
"AK-000107","Tribal Health Program operated under P.L. 93-638"
"AK-000108","Dental Providers"
"AK-000108","Indian Health Service"
"AK-000108","Other ECP Providers"
"AK-000108","Tribal Health Program operated under P.L. 93-638"
"AK-000108","Urban Indian Health Program"
"AK-000109","Indian Health Service"
"AK-000109","Other ECP Providers"
"AK-000109","Tribal Health Program operated under P.L. 93-638"
"AK-000110","Dental Providers"
"AK-000110","Indian Health Service"
"AK-000110","Other ECP Providers"
"AK-000110","Tribal Health Program operated under P.L. 93-638"
"AK-000111","Federally Qualified Health Centers - Medical Services"
"AK-000111","Indian Health Service"
"AK-000111","Tribal Health Program operated under P.L. 93-638"
"AK-000112","Dental Providers"
"AK-000112","Family Planning Providers"
"AK-000112","Federally Qualified Health Centers - Medical Services"
"AK-000113","Dental Providers"
"AK-000113","Federally Qualified Health Centers - Medical Services"
"AK-000113","Indian Health Service"
"AK-000113","Rural Health Clinics"
"AK-000114","Dental Providers"
"AK-000114","Federally Qualified Health Centers - Medical Services"
"AK-000114","Indian Health Service"
"AK-000114","Rural Health Clinics"
"AK-000115","Rural Health Clinics"
"AK-000115","Tribal Health Program operated under P.L. 93-638"
"AK-000116","Dental Providers"
"AK-000116","Indian Health Service"
"AK-000116","Other ECP Providers"
"AK-000116","Tribal Health Program operated under P.L. 93-638"
"AK-000116","Urban Indian Health Program"
"AK-000117","Indian Health Service"
"AK-000117","Other ECP Providers"
"AK-000117","Tribal Health Program operated under P.L. 93-638"
"AK-000118","Indian Health Service"
"AK-000118","Other ECP Providers"
"AK-000118","Tribal Health Program operated under P.L. 93-638"
"AK-000119","Inpatient Hospitals (other than children's hospitals)"
"AK-000119","Tribal Health Program operated under P.L. 93-638"
"AK-000120","Community Mental Health Centers"
"AK-000120","Dental Providers"
"AK-000120","Indian Health Service"
"AK-000120","Tribal Health Program operated under P.L. 93-638"
"AK-000121","Dental Providers"
"AK-000121","Indian Health Service"
"AK-000121","Other ECP Providers"
"AK-000121","Tribal Health Program operated under P.L. 93-638"
"AK-000122","Indian Health Service"
"AK-000122","Other ECP Providers"
"AK-000122","Tribal Health Program operated under P.L. 93-638"
"AK-000123","Indian Health Service"
"AK-000123","Other ECP Providers"
"AK-000123","Tribal Health Program operated under P.L. 93-638"
"AK-000124","Dental Providers"
"AK-000124","Federally Qualified Health Centers - Medical Services"
"AK-000124","Indian Health Service"
"AK-000124","Rural Health Clinics"
"AK-000125","Dental Providers"
"AK-000125","Indian Health Service"
"AK-000125","Other ECP Providers"
"AK-000125","Tribal Health Program operated under P.L. 93-638"
"AK-000125","Urban Indian Health Program"
"AK-000126","Indian Health Service"
"AK-000126","Other ECP Providers"
"AK-000126","Tribal Health Program operated under P.L. 93-638"
"AK-000127","Indian Health Service"
"AK-000127","Other ECP Providers"
"AK-000127","Tribal Health Program operated under P.L. 93-638"
"AK-000128","Dental Providers"
"AK-000128","Indian Health Service"
"AK-000128","Other ECP Providers"
"AK-000128","Tribal Health Program operated under P.L. 93-638"
"AK-000129","Dental Providers"
"AK-000129","Indian Health Service"
"AK-000129","Other ECP Providers"
"AK-000129","Tribal Health Program operated under P.L. 93-638"
"AK-000129","Urban Indian Health Program"
"AK-000130","Indian Health Service"
"AK-000130","Other ECP Providers"
"AK-000130","Tribal Health Program operated under P.L. 93-638"
"AK-000131","Rural Health Clinics"
"AK-000131","Tribal Health Program operated under P.L. 93-638"
"AK-000132","Indian Health Service"
"AK-000132","Other ECP Providers"
"AK-000132","Tribal Health Program operated under P.L. 93-638"
"AK-000133","Rural Health Clinics"
"AK-000133","Tribal Health Program operated under P.L. 93-638"
"AK-000134","Dental Providers"
"AK-000134","Indian Health Service"
"AK-000134","Other ECP Providers"
"AK-000134","Tribal Health Program operated under P.L. 93-638"
"AK-000135","Indian Health Service"
"AK-000135","Other ECP Providers"
"AK-000135","Tribal Health Program operated under P.L. 93-638"
"AK-000136","Federally Qualified Health Centers - Medical Services"
"AK-000137","Dental Providers"
"AK-000137","Indian Health Service"
"AK-000137","Other ECP Providers"
"AK-000137","Tribal Health Program operated under P.L. 93-638"
"AK-000137","Urban Indian Health Program"
"AK-000138","Community Mental Health Centers"
"AK-000138","Indian Health Service"
"AK-000138","Rural Health Clinics"
"AK-000139","Indian Health Service"
"AK-000139","Other ECP Providers"
"AK-000139","Tribal Health Program operated under P.L. 93-638"
"AK-000140","Indian Health Service"
"AK-000140","Other ECP Providers"
"AK-000140","Tribal Health Program operated under P.L. 93-638"
"AK-000141","Federally Qualified Health Centers - Medical Services"
"AK-000142","Dental Providers"
"AK-000142","Family Planning Providers"
"AK-000142","Federally Qualified Health Centers - Medical Services"
"AK-000142","Rural Health Clinics"
"AK-000142","Ryan White Providers"
"AK-000142","Tribal Health Program operated under P.L. 93-638"
"AK-000143","Dental Providers"
"AK-000143","Indian Health Service"
"AK-000143","Other ECP Providers"
"AK-000143","Tribal Health Program operated under P.L. 93-638"
"AK-000144","Dental Providers"
"AK-000144","Indian Health Service"
"AK-000144","Other ECP Providers"
"AK-000144","Tribal Health Program operated under P.L. 93-638"
"AK-000144","Urban Indian Health Program"
"AK-000145","Indian Health Service"
"AK-000145","Other ECP Providers"
"AK-000145","Tribal Health Program operated under P.L. 93-638"
"AK-000146","Indian Health Service"
"AK-000146","Other ECP Providers"
"AK-000146","Tribal Health Program operated under P.L. 93-638"
"AK-000147","Federally Qualified Health Centers - Medical Services"
"AK-000147","Indian Health Service"
"AK-000148","Other ECP Providers"
"AK-000148","Tribal Health Program operated under P.L. 93-638"
"AK-000149","Rural Health Clinics"
"AK-000149","Tribal Health Program operated under P.L. 93-638"
"AK-000150","Dental Providers"
"AK-000150","Indian Health Service"
"AK-000150","Other ECP Providers"
"AK-000150","Tribal Health Program operated under P.L. 93-638"
"AK-000150","Urban Indian Health Program"
"AK-000151","Dental Providers"
"AK-000151","Indian Health Service"
"AK-000151","Other ECP Providers"
"AK-000151","Tribal Health Program operated under P.L. 93-638"
"AK-000152","Dental Providers"
"AK-000152","Indian Health Service"
"AK-000152","Other ECP Providers"
"AK-000152","Tribal Health Program operated under P.L. 93-638"
"AK-000153","Indian Health Service"
"AK-000153","Other ECP Providers"
"AK-000153","Tribal Health Program operated under P.L. 93-638"
"AK-000154","Indian Health Service"
"AK-000154","Other ECP Providers"
"AK-000154","Tribal Health Program operated under P.L. 93-638"
"AK-000155","Dental Providers"
"AK-000155","Federally Qualified Health Centers - Medical Services"
"AK-000155","Indian Health Service"
"AK-000155","Rural Health Clinics"
"AK-000156","Indian Health Service"
"AK-000156","Other ECP Providers"
"AK-000156","Tribal Health Program operated under P.L. 93-638"
"AK-000157","Dental Providers"
"AK-000157","Federally Qualified Health Centers - Medical Services"
"AK-000157","Indian Health Service"
"AK-000157","Rural Health Clinics"
"AK-000158","Rural Health Clinics"
"AK-000158","Tribal Health Program operated under P.L. 93-638"
"AK-000159","Federally Qualified Health Centers - Medical Services"
"AK-000159","Indian Health Service"
"AK-000159","Tribal Health Program operated under P.L. 93-638"
"AK-000160","Dental Providers"
"AK-000160","Indian Health Service"
"AK-000160","Other ECP Providers"
"AK-000160","Tribal Health Program operated under P.L. 93-638"
"AK-000160","Urban Indian Health Program"
"AK-000161","Dental Providers"
"AK-000161","Indian Health Service"
"AK-000161","Tribal Health Program operated under P.L. 93-638"
"AK-000162","Dental Providers"
"AK-000162","Indian Health Service"
"AK-000162","Other ECP Providers"
"AK-000162","Tribal Health Program operated under P.L. 93-638"
"AK-000162","Urban Indian Health Program"
"AK-000163","Indian Health Service"
"AK-000163","Other ECP Providers"
"AK-000163","Tribal Health Program operated under P.L. 93-638"
"AK-000164","Indian Health Service"
"AK-000164","Other ECP Providers"
"AK-000164","Tribal Health Program operated under P.L. 93-638"
"AK-000165","Dental Providers"
"AK-000165","Indian Health Service"
"AK-000165","Other ECP Providers"
"AK-000165","Tribal Health Program operated under P.L. 93-638"
"AK-000165","Urban Indian Health Program"
"AK-000166","Federally Qualified Health Centers - Medical Services"
"AK-000167","Rural Health Clinics"
"AK-000167","Tribal Health Program operated under P.L. 93-638"
"AK-000168","Community Mental Health Centers"
"AK-000168","Indian Health Service"
"AK-000168","Rural Health Clinics"
"AK-000169","Dental Providers"
"AK-000169","Indian Health Service"
"AK-000169","Other ECP Providers"
"AK-000169","Tribal Health Program operated under P.L. 93-638"
"AK-000169","Urban Indian Health Program"
"AK-000170","Dental Providers"
"AK-000170","Federally Qualified Health Centers - Medical Services"
"AK-000170","Indian Health Service"
"AK-000170","Rural Health Clinics"
"AK-000171","Federally Qualified Health Centers - Medical Services"
"AK-000172","Indian Health Service"
"AK-000172","Other ECP Providers"
"AK-000172","Tribal Health Program operated under P.L. 93-638"
"AK-000173","Dental Providers"
"AK-000173","Indian Health Service"
"AK-000173","Other ECP Providers"
"AK-000173","Tribal Health Program operated under P.L. 93-638"
"AK-000174","Dental Providers"
"AK-000174","Indian Health Service"
"AK-000174","Other ECP Providers"
"AK-000174","Tribal Health Program operated under P.L. 93-638"
"AK-000175","Indian Health Service"
"AK-000175","Other ECP Providers"
"AK-000175","Tribal Health Program operated under P.L. 93-638"
"AK-000176","Federally Qualified Health Centers - Medical Services"
"AK-000176","Indian Health Service"
"AK-000177","Federally Qualified Health Centers - Medical Services"
"AK-000178","Rural Health Clinics"
"AK-000178","Tribal Health Program operated under P.L. 93-638"
"AK-000179","Community Mental Health Centers"
"AK-000179","Dental Providers"
"AK-000179","Family Planning Providers"
"AK-000179","Federally Qualified Health Centers - Medical Services"
"AK-000179","Rural Health Clinics"
"AK-000179","Ryan White Providers"
"AK-000179","Tribal Health Program operated under P.L. 93-638"
"AK-000180","Indian Health Service"
"AK-000180","Other ECP Providers"
"AK-000180","Tribal Health Program operated under P.L. 93-638"
"AK-000181","Federally Qualified Health Centers - Medical Services"
"AK-000181","Rural Health Clinics"
"AK-000182","Community Mental Health Centers"
"AK-000182","Indian Health Service"
"AK-000182","Rural Health Clinics"
"AK-012370","Dental Providers"
"AK-012370","Indian Health Service"
"AK-000183","Federally Qualified Health Centers - Medical Services"
"AK-000184","Indian Health Service"
"AK-000184","Other ECP Providers"
"AK-000184","Tribal Health Program operated under P.L. 93-638"
"AK-000185","Dental Providers"
"AK-000185","Indian Health Service"
"AK-000185","Other ECP Providers"
"AK-000185","Tribal Health Program operated under P.L. 93-638"
"AK-000186","Outpatient Hospital Clinics"
"AK-000187","Federally Qualified Health Centers - Medical Services"
"AK-000188","Indian Health Service"
"AK-000188","Other ECP Providers"
"AK-000188","Tribal Health Program operated under P.L. 93-638"
"AK-000189","Family Planning Providers"
"AK-000189","Sexually Transmitted Disease Clinics"
"AK-000190","Federally Qualified Health Centers - Medical Services"
"AK-000191","Dental Providers"
"AK-000191","Indian Health Service"
"AK-000191","Other ECP Providers"
"AK-000191","Tribal Health Program operated under P.L. 93-638"
"AK-000191","Urban Indian Health Program"
"AK-000192","Indian Health Service"
"AK-000192","Other ECP Providers"
"AK-000192","Tribal Health Program operated under P.L. 93-638"
"AK-000193","Other ECP Providers"
"AK-000193","Tribal Health Program operated under P.L. 93-638"
"AK-000194","Dental Providers"
"AK-000195","Dental Providers"
"AK-000195","Federally Qualified Health Centers - Medical Services"
"AK-000196","Dental Providers"
"AK-000196","Indian Health Service"
"AK-000196","Other ECP Providers"
"AK-000196","Tribal Health Program operated under P.L. 93-638"
"AK-000197","Community Mental Health Centers"
"AK-000197","Indian Health Service"
"AK-000198","Indian Health Service"
"AK-000198","Other ECP Providers"
"AK-000198","Tribal Health Program operated under P.L. 93-638"
"AK-000199","Dental Providers"
"AK-000199","Indian Health Service"
"AK-000199","Other ECP Providers"
"AK-000199","Tribal Health Program operated under P.L. 93-638"
"AK-000199","Urban Indian Health Program"
"AK-000200","Dental Providers"
"AK-000200","Indian Health Service"
"AK-000200","Other ECP Providers"
"AK-000200","Tribal Health Program operated under P.L. 93-638"
"AK-000201","Dental Providers"
"AK-000201","Indian Health Service"
"AK-000201","Other ECP Providers"
"AK-000201","Tribal Health Program operated under P.L. 93-638"
"AK-000202","Federally Qualified Health Centers - Medical Services"
"AK-000203","Indian Health Service"
"AK-000203","Other ECP Providers"
"AK-000203","Tribal Health Program operated under P.L. 93-638"
"AK-000204","Indian Health Service"
"AK-000204","Other ECP Providers"
"AK-000204","Tribal Health Program operated under P.L. 93-638"
"AK-000205","Indian Health Service"
"AK-000205","Other ECP Providers"
"AK-000205","Tribal Health Program operated under P.L. 93-638"
"AK-000206","Dental Providers"
"AK-000206","Indian Health Service"
"AK-000206","Other ECP Providers"
"AK-000206","Tribal Health Program operated under P.L. 93-638"
"AK-000206","Urban Indian Health Program"
"AK-000207","Rural Health Clinics"
"AK-000207","Tribal Health Program operated under P.L. 93-638"
"AK-000208","Community Mental Health Centers"
"AK-000208","Dental Providers"
"AK-000208","Federally Qualified Health Centers - Medical Services"
"AK-000208","Other ECP Providers"
"AK-000209","Indian Health Service"
"AK-000209","Other ECP Providers"
"AK-000209","Tribal Health Program operated under P.L. 93-638"
"AK-000210","Other ECP Providers"
"AK-000210","Tribal Health Program operated under P.L. 93-638"
"AK-000211","Community Mental Health Centers"
"AK-000211","Dental Providers"
"AK-000211","Federally Qualified Health Centers - Dental Services"
"AK-000211","Federally Qualified Health Centers - Medical Services"
"AK-000211","Rural Health Clinics"
"AK-000211","Sexually Transmitted Disease Clinics"
"AK-000212","Other ECP Providers"
"AK-000212","Tribal Health Program operated under P.L. 93-638"
"AK-000213","Community Mental Health Centers"
"AK-000213","Federally Qualified Health Centers - Medical Services"
"AK-000214","Other ECP Providers"
"AK-000215","Federally Qualified Health Centers - Medical Services"
"AK-000216","Community Mental Health Centers"
"AK-000216","Dental Providers"
