"state","report_years","years_max","base_population","category","subcategory","geo_unit","geography","measure_group","measure_value","indicator","estimate","confidence_level","confidence_value","order"
"Oregon","1991-1992",1992,"age 6 - 8","all","total","state","Oregon","treatment need","urgent","treatment need: urgent",5,"upper_CI",NA,9999984
"Oregon","1991-1992",1992,"age 3 - 5","all","total","state","Oregon","treatment need","urgent","treatment need: urgent",4,"lower_CI",NA,17
"Oregon","1991-1992",1992,"age 3 - 5","all","total","state","Oregon","treatment need","urgent","treatment need: urgent",4,"upper_CI",NA,9999982
"Oregon","1991-1992",1992,"age 10 - 12","all","total","state","Oregon","treatment need","urgent","treatment need: urgent",2,"lower_CI",NA,19
"Oregon","1991-1992",1992,"age 10 - 12","all","total","state","Oregon","treatment need","urgent","treatment need: urgent",2,"upper_CI",NA,9999980
"California","1993-1994",1994,"grade 3","all","total","state","California","caries","any history","caries experience",75.4,"lower_CI",NA,21
"California","1993-1994",1994,"grade 3","all","total","state","California","caries","any history","caries experience",75.4,"upper_CI",NA,9999978
"California","1993-1994",1994,"grade 3","all","total","state","California","caries","untreated","untreated caries",56.5,"lower_CI",NA,23
"California","1993-1994",1994,"grade 3","all","total","state","California","caries","untreated","untreated caries",56.5,"upper_CI",NA,9999976
"California","1993-1994",1994,"grade 3","all","total","state","California","dental sealants","present","dental sealants",11.5,"lower_CI",NA,25
"California","1993-1994",1994,"grade 3","all","total","state","California","dental sealants","present","dental sealants",11.5,"upper_CI",NA,9999974
"Arkansas","1999",1999,"grade 3","all","total","state","Arkansas","treatment need","early or urgent","treatment need: early or urgent",52,"lower_CI",NA,27
"Arkansas","1999",1999,"grade 3","all","total","state","Arkansas","treatment need","early or urgent","treatment need: early or urgent",52,"upper_CI",NA,9999972
"Arkansas","1999",1999,"grade 3","all","total","state","Arkansas","treatment need","present","dental sealants",23,"lower_CI",NA,29
"Arkansas","1999",1999,"grade 3","all","total","state","Arkansas","treatment need","present","dental sealants",23,"upper_CI",NA,9999970
"Maryland","2000",2000,"Head Start","all","total","urbanicity","rural","caries","any history","caries experience",66.4,"lower_CI",58,31
"Maryland","2000",2000,"Head Start","all","total","urbanicity","rural","caries","any history","caries experience",66.4,"upper_CI",74.8,9999968
"Maryland","2000",2000,"Head Start","all","total","urbanicity","rural","caries","untreated","untreated caries",63.9,"lower_CI",55.4,33
"Maryland","2000",2000,"Head Start","all","total","urbanicity","rural","caries","untreated","untreated caries",63.9,"upper_CI",72.4,9999966
"Maryland","2000",2000,"Head Start","age","age 4","state","Maryland","caries","any history","caries experience",64.2,"lower_CI",57.8,35
"Maryland","2000",2000,"Head Start","age","age 4","state","Maryland","caries","any history","caries experience",64.2,"upper_CI",70.6,9999964
"New Mexico","1999-2000",2000,"grade 3","all","total","state","New Mexico","caries","any history","caries experience",64.6,"lower_CI",59.5,37
"New Mexico","1999-2000",2000,"grade 3","all","total","state","New Mexico","caries","any history","caries experience",64.6,"upper_CI",69.7,9999962
"Maryland","2000",2000,"Head Start","age","age 4","state","Maryland","caries","untreated","untreated caries",61.9,"lower_CI",55.4,39
"Maryland","2000",2000,"Head Start","age","age 4","state","Maryland","caries","untreated","untreated caries",61.9,"upper_CI",68.4,9999960
"Maryland","2000",2000,"Head Start","all","total","state","Maryland","caries","any history","caries experience",54.6,"lower_CI",50.2,41
"Maryland","2000",2000,"Head Start","all","total","state","Maryland","caries","any history","caries experience",54.6,"upper_CI",59,9999958
"Maryland","2000",2000,"Head Start","all","total","state","Maryland","caries","untreated","untreated caries",52.3,"lower_CI",47.9,43
"Maryland","2000",2000,"Head Start","all","total","state","Maryland","caries","untreated","untreated caries",52.3,"upper_CI",56.7,9999956
"Maryland","2000",2000,"Head Start","age","age 3","state","Maryland","caries","any history","caries experience",45.6,"lower_CI",39.4,45
"Maryland","2000",2000,"Head Start","age","age 3","state","Maryland","caries","any history","caries experience",45.6,"upper_CI",51.8,9999954
"New Mexico","1999-2000",2000,"grade 3","all","total","state","New Mexico","dental sealants","present","dental sealants",43.2,"lower_CI",34.6,47
"New Mexico","1999-2000",2000,"grade 3","all","total","state","New Mexico","dental sealants","present","dental sealants",43.2,"upper_CI",51.8,9999952
"Maryland","2000",2000,"Head Start","age","age 3","state","Maryland","caries","untreated","untreated caries",43.5,"lower_CI",37.3,49
"Maryland","2000",2000,"Head Start","age","age 3","state","Maryland","caries","untreated","untreated caries",43.5,"upper_CI",49.7,9999950
"New Mexico","1999-2000",2000,"grade 3","all","total","state","New Mexico","caries","untreated","untreated caries",37,"lower_CI",32.3,51
"New Mexico","1999-2000",2000,"grade 3","all","total","state","New Mexico","caries","untreated","untreated caries",37,"upper_CI",41.6,9999948
"Utah","2000",2000,"age 6 - 8","all","total","state","Utah","treatment need","none","treatment need: none",82,"lower_CI",NA,53
"Utah","2000",2000,"age 6 - 8","all","total","state","Utah","treatment need","none","treatment need: none",82,"upper_CI",NA,9999946
"Utah","2000",2000,"grade 3","all","total","state","Utah","caries","any history","caries experience",61,"lower_CI",NA,55
"Utah","2000",2000,"grade 3","all","total","state","Utah","caries","any history","caries experience",61,"upper_CI",NA,9999944
"Utah","2000",2000,"grade 2","all","total","state","Utah","caries","any history","caries experience",60,"lower_CI",NA,57
"Utah","2000",2000,"grade 2","all","total","state","Utah","caries","any history","caries experience",60,"upper_CI",NA,9999942
"Utah","2000",2000,"age 6 - 8","gender","female","state","Utah","caries","any history","caries experience",59,"lower_CI",NA,59
"Utah","2000",2000,"age 6 - 8","gender","female","state","Utah","caries","any history","caries experience",59,"upper_CI",NA,9999940
"Utah","2000",2000,"age 6 - 8","gender","male","state","Utah","caries","any history","caries experience",58,"lower_CI",NA,61
"Utah","2000",2000,"age 6 - 8","gender","male","state","Utah","caries","any history","caries experience",58,"upper_CI",NA,9999938
"Utah","2000",2000,"grade 1","all","total","state","Utah","caries","any history","caries experience",55,"lower_CI",NA,63
"Utah","2000",2000,"grade 1","all","total","state","Utah","caries","any history","caries experience",55,"upper_CI",NA,9999936
"Utah","2000",2000,"age 6 - 8","all","total","state","Utah","dental sealants","present","dental sealants",52,"lower_CI",NA,65
"Utah","2000",2000,"age 6 - 8","all","total","state","Utah","dental sealants","present","dental sealants",52,"upper_CI",NA,9999934
"Utah","2000",2000,"age 8","all","total","state","Utah","dental sealants","present","dental sealants",50,"lower_CI",NA,67
"Utah","2000",2000,"age 8","all","total","state","Utah","dental sealants","present","dental sealants",50,"upper_CI",NA,9999932
"Utah","2000",2000,"age 6 - 8","all","total","state","Utah","dental sealants","present","dental sealants",48,"lower_CI",NA,69
"Utah","2000",2000,"age 6 - 8","all","total","state","Utah","dental sealants","present","dental sealants",48,"upper_CI",NA,9999930
"Utah","2000",2000,"age 6 - 8","all","total","state","Utah","caries","any history","caries experience",42,"lower_CI",NA,71
"Utah","2000",2000,"age 6 - 8","all","total","state","Utah","caries","any history","caries experience",42,"upper_CI",NA,9999928
"Utah","2000",2000,"grade 3","all","total","state","Utah","caries","untreated","untreated caries",23,"lower_CI",NA,73
"Utah","2000",2000,"grade 3","all","total","state","Utah","caries","untreated","untreated caries",23,"upper_CI",NA,9999926
"Utah","2000",2000,"age 6 - 8","gender","male","state","Utah","caries","untreated","untreated caries",22,"lower_CI",NA,75
"Utah","2000",2000,"age 6 - 8","gender","male","state","Utah","caries","untreated","untreated caries",22,"upper_CI",NA,9999924
"Utah","2000",2000,"age 6 - 8","gender","female","state","Utah","caries","untreated","untreated caries",22,"lower_CI",NA,77
"Utah","2000",2000,"age 6 - 8","gender","female","state","Utah","caries","untreated","untreated caries",22,"upper_CI",NA,9999922
"Utah","2000",2000,"age 6 - 8","all","total","state","Utah","caries","untreated","untreated caries",22,"lower_CI",NA,79
"Utah","2000",2000,"age 6 - 8","all","total","state","Utah","caries","untreated","untreated caries",22,"upper_CI",NA,9999920
"Utah","2000",2000,"grade 1","all","total","state","Utah","caries","untreated","untreated caries",22,"lower_CI",NA,81
"Utah","2000",2000,"grade 1","all","total","state","Utah","caries","untreated","untreated caries",22,"upper_CI",NA,9999918
"Utah","2000",2000,"grade 2","all","total","state","Utah","caries","untreated","untreated caries",22,"lower_CI",NA,83
"Utah","2000",2000,"grade 2","all","total","state","Utah","caries","untreated","untreated caries",22,"upper_CI",NA,9999916
"Utah","2000",2000,"age 6 - 8","all","total","state","Utah","treatment need","early","treatment need: early",16,"lower_CI",NA,85
"Utah","2000",2000,"age 6 - 8","all","total","state","Utah","treatment need","early","treatment need: early",16,"upper_CI",NA,9999914
"Utah","2000",2000,"age 6 - 8","all","total","state","Utah","treatment need","urgent","treatment need: urgent",2,"lower_CI",NA,87
"Utah","2000",2000,"age 6 - 8","all","total","state","Utah","treatment need","urgent","treatment need: urgent",2,"upper_CI",NA,9999912
"Maryland","2000",2000,"Head Start","all","total","urbanicity","urban","caries","any history","caries experience",50.6,"lower_CI",45.4,89
"Maryland","2000",2000,"Head Start","all","total","urbanicity","urban","caries","any history","caries experience",50.6,"upper_CI",55.8,9999910
"Maryland","2000",2000,"Head Start","all","total","urbanicity","urban","caries","untreated","untreated caries",48.3,"lower_CI",43.1,91
"Maryland","2000",2000,"Head Start","all","total","urbanicity","urban","caries","untreated","untreated caries",48.3,"upper_CI",53.5,9999908
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 1","treatment need","none","treatment need: none",85.4,"lower_CI",82.5,93
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 1","treatment need","none","treatment need: none",85.4,"upper_CI",88.3,9999906
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 1","caries","any history","caries experience",60.1,"lower_CI",54.7,95
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 1","caries","any history","caries experience",60.1,"upper_CI",65.4,9999904
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 1","dental sealants","present","dental sealants",41.7,"lower_CI",32.5,97
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 1","dental sealants","present","dental sealants",41.7,"upper_CI",50.9,9999902
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 1","caries","untreated","untreated caries",17.2,"lower_CI",13.5,99
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 1","caries","untreated","untreated caries",17.2,"upper_CI",20.8,9999900
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 1","treatment need","early","treatment need: early",11.3,"lower_CI",8.5,101
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 1","treatment need","early","treatment need: early",11.3,"upper_CI",14,9999898
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 1","treatment need","urgent","treatment need: urgent",3.4,"lower_CI",2.5,103
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 1","treatment need","urgent","treatment need: urgent",3.4,"upper_CI",4.2,9999896
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 2","treatment need","none","treatment need: none",56.2,"lower_CI",35.9,105
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 2","treatment need","none","treatment need: none",56.2,"upper_CI",76.5,9999894
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 2","treatment need","early","treatment need: early",42.6,"lower_CI",21.8,107
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 2","treatment need","early","treatment need: early",42.6,"upper_CI",63.4,9999892
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 2","dental sealants","present","dental sealants",53.7,"lower_CI",45.9,109
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 2","dental sealants","present","dental sealants",53.7,"upper_CI",61.4,9999890
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 2","caries","any history","caries experience",52.1,"lower_CI",47.2,111
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 2","caries","any history","caries experience",52.1,"upper_CI",57,9999888
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 2","caries","untreated","untreated caries",13.1,"lower_CI",9.9,113
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 2","caries","untreated","untreated caries",13.1,"upper_CI",16.2,9999886
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 2","treatment need","urgent","treatment need: urgent",1.2,"lower_CI",0.3,115
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 2","treatment need","urgent","treatment need: urgent",1.2,"upper_CI",2.2,9999884
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 3","caries","any history","caries experience",73.8,"lower_CI",66.5,117
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 3","caries","any history","caries experience",73.8,"upper_CI",81.1,9999882
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 3","dental sealants","present","dental sealants",58.1,"lower_CI",50.2,119
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 3","dental sealants","present","dental sealants",58.1,"upper_CI",66.1,9999880
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 3","treatment need","none","treatment need: none",60.5,"lower_CI",55.8,121
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 3","treatment need","none","treatment need: none",60.5,"upper_CI",65.3,9999878
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 3","caries","untreated","untreated caries",40.3,"lower_CI",34.5,123
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 3","caries","untreated","untreated caries",40.3,"upper_CI",46,9999876
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 3","treatment need","early","treatment need: early",34.3,"lower_CI",30.4,125
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 3","treatment need","early","treatment need: early",34.3,"upper_CI",38.2,9999874
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 3","treatment need","urgent","treatment need: urgent",5.2,"lower_CI",3.7,127
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 3","treatment need","urgent","treatment need: urgent",5.2,"upper_CI",6.7,9999872
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 4","treatment need","none","treatment need: none",74.3,"lower_CI",66.5,129
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 4","treatment need","none","treatment need: none",74.3,"upper_CI",82.2,9999870
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 4","caries","any history","caries experience",60.5,"lower_CI",53.5,131
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 4","caries","any history","caries experience",60.5,"upper_CI",67.4,9999868
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 4","dental sealants","present","dental sealants",58.5,"lower_CI",50.2,133
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 4","dental sealants","present","dental sealants",58.5,"upper_CI",66.9,9999866
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 4","caries","untreated","untreated caries",25.4,"lower_CI",17.5,135
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 4","caries","untreated","untreated caries",25.4,"upper_CI",33.2,9999864
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 4","treatment need","early","treatment need: early",17.3,"lower_CI",11,137
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 4","treatment need","early","treatment need: early",17.3,"upper_CI",23.6,9999862
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 4","treatment need","urgent","treatment need: urgent",8.4,"lower_CI",4.4,139
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 4","treatment need","urgent","treatment need: urgent",8.4,"upper_CI",12.4,9999860
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 5","treatment need","none","treatment need: none",66.2,"lower_CI",61.7,141
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 5","treatment need","none","treatment need: none",66.2,"upper_CI",70.8,9999858
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 5","caries","any history","caries experience",65.9,"lower_CI",61.1,143
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 5","caries","any history","caries experience",65.9,"upper_CI",70.6,9999856
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 5","dental sealants","present","dental sealants",36.1,"lower_CI",28.5,145
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 5","dental sealants","present","dental sealants",36.1,"upper_CI",43.8,9999854
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 5","caries","untreated","untreated caries",32.4,"lower_CI",27.5,147
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 5","caries","untreated","untreated caries",32.4,"upper_CI",37.5,9999852
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 5","treatment need","early","treatment need: early",26.4,"lower_CI",20.5,149
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 5","treatment need","early","treatment need: early",26.4,"upper_CI",32.2,9999850
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 5","treatment need","urgent","treatment need: urgent",7.4,"lower_CI",4.1,151
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 5","treatment need","urgent","treatment need: urgent",7.4,"upper_CI",10.7,9999848
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 6","treatment need","none","treatment need: none",82.6,"lower_CI",77.4,153
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 6","treatment need","none","treatment need: none",82.6,"upper_CI",87.8,9999846
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 6","caries","any history","caries experience",72,"lower_CI",67.7,155
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 6","caries","any history","caries experience",72,"upper_CI",76.4,9999844
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 6","dental sealants","present","dental sealants",65.8,"lower_CI",58.8,157
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 6","dental sealants","present","dental sealants",65.8,"upper_CI",72.9,9999842
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 6","caries","untreated","untreated caries",20.6,"lower_CI",15.7,159
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 6","caries","untreated","untreated caries",20.6,"upper_CI",25.6,9999840
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 6","treatment need","early","treatment need: early",17.2,"lower_CI",11.9,161
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 6","treatment need","early","treatment need: early",17.2,"upper_CI",22.6,9999838
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 6","treatment need","urgent","treatment need: urgent",0.2,"lower_CI",0,163
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 6","treatment need","urgent","treatment need: urgent",0.2,"upper_CI",0.5,9999836
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 7","caries","any history","caries experience",69.2,"lower_CI",64,165
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 7","caries","any history","caries experience",69.2,"upper_CI",74.4,9999834
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 7","treatment need","none","treatment need: none",67.7,"lower_CI",61.3,167
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 7","treatment need","none","treatment need: none",67.7,"upper_CI",74.2,9999832
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 7","dental sealants","present","dental sealants",45.6,"lower_CI",37.9,169
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 7","dental sealants","present","dental sealants",45.6,"upper_CI",53.4,9999830
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 7","caries","untreated","untreated caries",32.1,"lower_CI",25.7,171
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 7","caries","untreated","untreated caries",32.1,"upper_CI",38.4,9999828
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 7","treatment need","early","treatment need: early",25.9,"lower_CI",20.9,173
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 7","treatment need","early","treatment need: early",25.9,"upper_CI",30.9,9999826
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 7","treatment need","urgent","treatment need: urgent",6.4,"lower_CI",4,175
"Idaho","2000-2001",2001,"grade 3","all","total","public health district","Public health district 7","treatment need","urgent","treatment need: urgent",6.4,"upper_CI",8.7,9999824
"New Hampshire","2001",2001,"grade 3","all","total","state","New Hampshire","treatment need","none","treatment need: none",69.8,"lower_CI",62.7,177
"New Hampshire","2001",2001,"grade 3","all","total","state","New Hampshire","treatment need","none","treatment need: none",69.8,"upper_CI",76.8,9999822
"Idaho","2000-2001",2001,"grade 3","all","total","state","Idaho","treatment need","none","treatment need: none",71.3,"lower_CI",68.5,179
"Idaho","2000-2001",2001,"grade 3","all","total","state","Idaho","treatment need","none","treatment need: none",71.3,"upper_CI",74.2,9999820
"Idaho","2000-2001",2001,"grade 3","all","total","state","Idaho","caries","any history","caries experience",65.4,"lower_CI",62.9,181
"Idaho","2000-2001",2001,"grade 3","all","total","state","Idaho","caries","any history","caries experience",65.4,"upper_CI",67.9,9999818
"New Hampshire","2001",2001,"grade 3","all","total","state","New Hampshire","caries","any history","caries experience",52,"lower_CI",45.5,183
"New Hampshire","2001",2001,"grade 3","all","total","state","New Hampshire","caries","any history","caries experience",52,"upper_CI",58.4,9999816
"Idaho","2000-2001",2001,"grade 3","all","total","state","Idaho","dental sealants","present","dental sealants",52,"lower_CI",48.6,185
"Idaho","2000-2001",2001,"grade 3","all","total","state","Idaho","dental sealants","present","dental sealants",52,"upper_CI",55.3,9999814
"New Hampshire","2001",2001,"grade 3","all","total","state","New Hampshire","dental sealants","present","dental sealants",45.9,"lower_CI",37.7,187
"New Hampshire","2001",2001,"grade 3","all","total","state","New Hampshire","dental sealants","present","dental sealants",45.9,"upper_CI",54,9999812
"New Hampshire","2001",2001,"grade 3","all","total","state","New Hampshire","treatment need","early","treatment need: early",25.1,"lower_CI",19.1,189
"New Hampshire","2001",2001,"grade 3","all","total","state","New Hampshire","treatment need","early","treatment need: early",25.1,"upper_CI",31.2,9999810
"Idaho","2000-2001",2001,"grade 3","all","total","state","Idaho","caries","untreated","untreated caries",27.3,"lower_CI",24.7,191
"Idaho","2000-2001",2001,"grade 3","all","total","state","Idaho","caries","untreated","untreated caries",27.3,"upper_CI",29.9,9999808
"New Hampshire","2001",2001,"grade 3","all","total","state","New Hampshire","caries","untreated","untreated caries",21.7,"lower_CI",14.3,193
"New Hampshire","2001",2001,"grade 3","all","total","state","New Hampshire","caries","untreated","untreated caries",21.7,"upper_CI",29.1,9999806
"Idaho","2000-2001",2001,"grade 3","all","total","state","Idaho","treatment need","early","treatment need: early",23.3,"lower_CI",20.7,195
"Idaho","2000-2001",2001,"grade 3","all","total","state","Idaho","treatment need","early","treatment need: early",23.3,"upper_CI",25.9,9999804
"New Hampshire","2001",2001,"grade 3","all","total","state","New Hampshire","treatment need","urgent","treatment need: urgent",5.1,"lower_CI",3,197
"New Hampshire","2001",2001,"grade 3","all","total","state","New Hampshire","treatment need","urgent","treatment need: urgent",5.1,"upper_CI",7.3,9999802
"Idaho","2000-2001",2001,"grade 3","all","total","state","Idaho","treatment need","urgent","treatment need: urgent",5.4,"lower_CI",4.2,199
"Idaho","2000-2001",2001,"grade 3","all","total","state","Idaho","treatment need","urgent","treatment need: urgent",5.4,"upper_CI",5.5,9999800
"Kentucky","2001",2001,"age 24 - 59 months","age","age 48 - 59 months","state","Kentucky","caries","any history","caries experience",56,"lower_CI",NA,201
"Kentucky","2001",2001,"age 24 - 59 months","age","age 48 - 59 months","state","Kentucky","caries","any history","caries experience",56,"upper_CI",NA,9999798
"Kentucky","2001",2001,"age 24 - 59 months","age","age 36 - 47 months","state","Kentucky","caries","any history","caries experience",48,"lower_CI",NA,203
"Kentucky","2001",2001,"age 24 - 59 months","age","age 36 - 47 months","state","Kentucky","caries","any history","caries experience",48,"upper_CI",NA,9999796
"Kentucky","2001",2001,"ages 24 - 59 months","age","age 48 - 59 months","state","Kentucky","caries","untreated","untreated caries",47,"lower_CI",NA,205
"Kentucky","2001",2001,"ages 24 - 59 months","age","age 48 - 59 months","state","Kentucky","caries","untreated","untreated caries",47,"upper_CI",NA,9999794
"Kentucky","2001",2001,"age 24 - 59 months","all","total","state","Kentucky","caries","any history","caries experience",47,"lower_CI",NA,207
"Kentucky","2001",2001,"age 24 - 59 months","all","total","state","Kentucky","caries","any history","caries experience",47,"upper_CI",NA,9999792
"Kentucky","2001",2001,"ages 24 - 59 months","age","age 36 - 47 months","state","Kentucky","caries","untreated","untreated caries",46,"lower_CI",NA,209
"Kentucky","2001",2001,"ages 24 - 59 months","age","age 36 - 47 months","state","Kentucky","caries","untreated","untreated caries",46,"upper_CI",NA,9999790
"Kentucky","2001",2001,"ages 24 - 59 months","age","age 36 - 47 months","state","Kentucky","treatment need","early","treatment need: early",44,"lower_CI",NA,211
"Kentucky","2001",2001,"ages 24 - 59 months","age","age 36 - 47 months","state","Kentucky","treatment need","early","treatment need: early",44,"upper_CI",NA,9999788
"Kentucky","2001",2001,"ages 24 - 59 months","all","total","state","Kentucky","caries","untreated","untreated caries",43,"lower_CI",NA,213
"Kentucky","2001",2001,"ages 24 - 59 months","all","total","state","Kentucky","caries","untreated","untreated caries",43,"upper_CI",NA,9999786
"Kentucky","2001",2001,"ages 24 - 59 months","age","age 48 - 59 months","state","Kentucky","treatment need","early","treatment need: early",39,"lower_CI",NA,215
"Kentucky","2001",2001,"ages 24 - 59 months","age","age 48 - 59 months","state","Kentucky","treatment need","early","treatment need: early",39,"upper_CI",NA,9999784
