state,report_years,years_max,base_population,geo_unit,geography,category,subcategory,measure_group,measure_value,indicator,estimate,lower_CI,upper_CI
Ohio,2004-2005,2005,grade 3,county,Ashtabula,all,total,dental sealants,present,dental sealants,38.4,27.5,49.2
Ohio,2004-2005,2005,grade 3,county,Ashtabula,all,total,caries,untreated,untreated caries,35.1,29.6,40.5
Ohio,2004-2005,2005,grade 3,county,Ashtabula,all,total,treatment need,early or urgent,treatment need: early or urgent,35.4,30.6,40.2
Ohio,2004-2005,2005,grade 3,county,Athens,all,total,dental sealants,present,dental sealants,73.2,44.8,100
Ohio,2004-2005,2005,grade 3,county,Athens,all,total,caries,any history,caries experience,62.3,48.7,76
Ohio,2004-2005,2005,grade 3,county,Athens,all,total,caries,untreated,untreated caries,26.5,13.7,39.4
Ohio,2004-2005,2005,grade 3,county,Athens,all,total,treatment need,early or urgent,treatment need: early or urgent,27.6,17.2,38
Florida,2014-2015,2015,Head Start,region,atlantic,all,total,caries,any history,caries experience,33,15.9,50.2
Florida,2014-2015,2015,Head Start,region,atlantic,all,total,caries,early childhood caries,early childhood caries,19.5,8.6,30.4
Florida,2014-2015,2015,Head Start,region,atlantic,all,total,treatment need,early,treatment need: early,9.7,0.6,18.8
Florida,2014-2015,2015,Head Start,region,atlantic,all,total,caries,untreated,untreated caries,11.9,7,16.8
Florida,2014-2015,2015,Early Head Start,region,atlantic,all,total,caries,any history,caries experience,8,3.7,12.4
Florida,2014-2015,2015,Early Head Start,region,atlantic,all,total,caries,early childhood caries,early childhood caries,8,3.7,12.4
Florida,2014-2015,2015,Early Head Start,region,atlantic,all,total,treatment need,early,treatment need: early,8,3.7,12.4
Florida,2014-2015,2015,Early Head Start,region,atlantic,all,total,caries,untreated,untreated caries,8,3.7,12.4
Florida,2014-2015,2015,Head Start,region,atlantic,all,total,treatment need,urgent,treatment need: urgent,2.1,0,5
Florida,2016-2017,2017,grade 3,region,Atlantic Coast,all,total,dental sealants,present,dental sealants,44,27.6,60.5
Florida,2013-2014,2014,grade 3,region,Atlantic Coast,all,total,dental sealants,present,dental sealants,44.8,30.5,59.1
Florida,2016-2017,2017,grade 3,region,Atlantic Coast,all,total,caries,any history,caries experience,41.5,30,53
Florida,2013-2014,2014,grade 3,region,Atlantic Coast,all,total,caries,any history,caries experience,36.3,29.7,42.9
Florida,2013-2014,2014,grade 3,region,Atlantic Coast,all,total,caries,untreated,untreated caries,22,15.4,28.6
Florida,2016-2017,2017,grade 3,region,Atlantic Coast,all,total,caries,untreated,untreated caries,19,9.4,28.5
Florida,2013-2014,2014,grade 3,region,Atlantic Coast,all,total,treatment need,early,treatment need: early,16.8,10.4,23.2
Florida,2016-2017,2017,grade 3,region,Atlantic Coast,all,total,treatment need,early,treatment need: early,16,10.5,20.9
Florida,2016-2017,2017,grade 3,region,Atlantic Coast,all,total,treatment need,urgent,treatment need: urgent,4.5,0,10.6
Florida,2013-2014,2014,grade 3,region,Atlantic Coast,all,total,treatment need,urgent,treatment need: urgent,5.1,1.8,8.4
Ohio,2004-2005,2005,grade 3,county,Auglaize,all,total,caries,any history,caries experience,54.8,52.2,57.5
Ohio,2004-2005,2005,grade 3,county,Auglaize,all,total,caries,untreated,untreated caries,28.4,21.7,35.2
Ohio,2004-2005,2005,grade 3,county,Auglaize,all,total,treatment need,early or urgent,treatment need: early or urgent,27.9,20.7,35.1
Ohio,2004-2005,2005,grade 3,county,Auglaize,all,total,dental sealants,present,dental sealants,10.9,9.6,12.1
New Hampshire,2014,2014,grade 3,county,Belknap,all,total,dental sealants,present,dental sealants,62.8,,
New Hampshire,2014,2014,grade 3,county,Belknap,all,total,caries,any history,caries experience,46.7,,
New Hampshire,2014,2014,grade 3,county,Belknap,all,total,caries,untreated,untreated caries,6.6,,
New Hampshire,2014,2014,grade 3,county,Belknap,all,total,caries,untreated,untreated caries,6.6,,
New Hampshire,2014,2014,grade 3,county,Belknap,all,total,treatment need,early or urgent,treatment need: early or urgent,6.3,,
New Hampshire,2014,2014,grade 3,county,Belknap,all,total,treatment need,urgent,treatment need: urgent,0,,
New Hampshire,2008-2009,2009,grade 3,county,Belknap Merrimack,all,total,dental sealants,present,dental sealants,59.8,52,67.5
New Hampshire,2008-2009,2009,grade 3,county,Belknap Merrimack,all,total,caries,any history,caries experience,50.2,39.7,60.7
New Hampshire,2008-2009,2009,grade 3,county,Belknap Merrimack,all,total,treatment need,early or urgent,treatment need: early or urgent,14.9,7.2,22.5
New Hampshire,2008-2009,2009,grade 3,county,Belknap Merrimack,all,total,caries,untreated,untreated caries,14.9,7.2,22.5
New Hampshire,2008-2009,2009,grade 3,county,Belknap Merrimack,all,total,treatment need,urgent,treatment need: urgent,1.4,0,3.1
Ohio,2004-2005,2005,grade 3,county,Belmont,all,total,caries,any history,caries experience,58.6,52.1,65.2
Ohio,2004-2005,2005,grade 3,county,Belmont,all,total,dental sealants,present,dental sealants,33.7,17.3,50.1
Ohio,2004-2005,2005,grade 3,county,Belmont,all,total,treatment need,early or urgent,treatment need: early or urgent,27.3,23,31.6
Ohio,2004-2005,2005,grade 3,county,Belmont,all,total,caries,untreated,untreated caries,27.3,23,31.6
Wyoming,2008-2009,2009,grade 3,county,Big Horn,all,total,caries,any history,caries experience,71.59,64.86,78.32
Wyoming,2008-2009,2009,grade 3,county,Big Horn,all,total,dental sealants,present,dental sealants,34.07,25.98,42.17
Wyoming,2008-2009,2009,grade 3,county,Big Horn,all,total,caries,untreated,untreated caries,22.96,15.78,30.15
Ohio,2004-2005,2005,grade 3,county,Brown,all,total,dental sealants,present,dental sealants,79.9,72.8,87
Ohio,2004-2005,2005,grade 3,county,Brown,all,total,caries,any history,caries experience,69.7,64.4,74.9
Ohio,2004-2005,2005,grade 3,county,Brown,all,total,treatment need,early or urgent,treatment need: early or urgent,46.5,40.6,52.4
Ohio,2004-2005,2005,grade 3,county,Brown,all,total,caries,untreated,untreated caries,46.5,40.6,52.4
Ohio,2004-2005,2005,grade 3,county,Butler,all,total,dental sealants,present,dental sealants,57.7,42,73.4
Ohio,2004-2005,2005,grade 3,county,Butler,all,total,caries,any history,caries experience,48,32.8,63.2
Ohio,2004-2005,2005,grade 3,county,Butler,all,total,treatment need,early or urgent,treatment need: early or urgent,32.8,19.6,46
Ohio,2004-2005,2005,grade 3,county,Butler,all,total,caries,untreated,untreated caries,31.7,20.6,42.9
Wyoming,2008-2009,2009,grade 3,county,Campbell,all,total,caries,any history,caries experience,67.29,60.95,73.63
Wyoming,2008-2009,2009,grade 3,county,Campbell,all,total,dental sealants,present,dental sealants,52.27,48,56.55
Wyoming,2008-2009,2009,grade 3,county,Campbell,all,total,caries,untreated,untreated caries,30.81,15.78,30.15
Wyoming,2008-2009,2009,grade 3,county,Carbon,all,total,caries,any history,caries experience,71.43,64.67,78.19
Wyoming,2008-2009,2009,grade 3,county,Carbon,all,total,dental sealants,present,dental sealants,37.36,30.1,44.62
Wyoming,2008-2009,2009,grade 3,county,Carbon,all,total,caries,untreated,untreated caries,29.71,22.88,36.55
Ohio,2004-2005,2005,grade 3,county,Carroll,all,total,caries,any history,caries experience,74.2,66.4,82
Ohio,2004-2005,2005,grade 3,county,Carroll,all,total,treatment need,early or urgent,treatment need: early or urgent,34,23.5,44.5
Ohio,2004-2005,2005,grade 3,county,Carroll,all,total,caries,untreated,untreated caries,34,23.5,44.5
Ohio,2004-2005,2005,grade 3,county,Carroll,all,total,dental sealants,present,dental sealants,22.8,18.8,26.9
New Hampshire,2014,2014,grade 3,county,Carroll,all,total,dental sealants,present,dental sealants,70.4,,
New Hampshire,2014,2014,grade 3,county,Carroll,all,total,dental sealants,present,dental sealants,70.4,,
New Hampshire,2014,2014,grade 3,county,Carroll,all,total,caries,any history,caries experience,35.9,,
New Hampshire,2014,2014,grade 3,county,Carroll,all,total,treatment need,early or urgent,treatment need: early or urgent,9.5,,
New Hampshire,2014,2014,grade 3,county,Carroll,all,total,caries,untreated,untreated caries,9.5,,
New Hampshire,2014,2014,grade 3,county,Carroll,all,total,treatment need,urgent,treatment need: urgent,0.7,,
New Hampshire,2008-2009,2009,grade 3,county,Carroll Grafton,all,total,caries,any history,caries experience,46.7,36.7,56.7
New Hampshire,2008-2009,2009,grade 3,county,Carroll Grafton,all,total,dental sealants,present,dental sealants,39.8,27.9,51.7
New Hampshire,2008-2009,2009,grade 3,county,Carroll Grafton,all,total,caries,untreated,untreated caries,17,9.2,24.7
New Hampshire,2008-2009,2009,grade 3,county,Carroll Grafton,all,total,treatment need,early or urgent,treatment need: early or urgent,16.7,9.2,24.2
New Hampshire,2008-2009,2009,grade 3,county,Carroll Grafton,all,total,treatment need,urgent,treatment need: urgent,2.5,0.9,4.2
Kentucky,2016,2016,grade 3 + 6,region,central,all,total,caries,any history,caries experience,67,61,73
Kentucky,2016,2016,grade 3 + 6,region,central,all,total,dental sealants,present,dental sealants,48,41,54
Kentucky,2016,2016,grade 3 + 6,region,central,all,total,treatment need,early,treatment need: early,45,39,52
Florida,2016-2017,2017,grade 3,region,Central,all,total,caries,any history,caries experience,43,34.3,51.8
Florida,2014-2015,2015,Head Start,region,central,all,total,caries,untreated,untreated caries,30.3,8.7,51.8
Florida,2014-2015,2015,Head Start,region,central,all,total,caries,any history,caries experience,34.8,18.7,50.8
Florida,2013-2014,2014,grade 3,region,Central,all,total,caries,any history,caries experience,41.4,35.4,47.5
Kentucky,2016,2016,grade 3 + 6,region,central,all,total,caries,untreated,untreated caries,40,33,46
Florida,2014-2015,2015,Head Start,region,central,all,total,caries,early childhood caries,early childhood caries,24.6,7.5,41.7
Florida,2013-2014,2014,grade 3,region,Central,all,total,dental sealants,present,dental sealants,34.1,28.2,39.9
Florida,2014-2015,2015,Early Head Start,region,central,all,total,caries,early childhood caries,early childhood caries,10.6,0,35.8
Florida,2016-2017,2017,grade 3,region,Central,all,total,dental sealants,present,dental sealants,23.9,12.1,35.7
Florida,2016-2017,2017,grade 3,region,Central,all,total,caries,untreated,untreated caries,25.2,15.8,34.6
Florida,2014-2015,2015,Head Start,region,central,all,total,treatment need,urgent,treatment need: urgent,11.5,0,33.1
Florida,2014-2015,2015,Head Start,region,central,all,total,treatment need,early,treatment need: early,18.8,5.6,31.9
Florida,2013-2014,2014,grade 3,region,Central,all,total,caries,untreated,untreated caries,23.8,17.2,30.3
Florida,2016-2017,2017,grade 3,region,Central,all,total,treatment need,early,treatment need: early,16.2,4.9,27.4
Florida,2013-2014,2014,grade 3,region,Central,all,total,treatment need,early,treatment need: early,20.1,15,25.1
Kentucky,2016,2016,grade 3 + 6,region,central,all,total,treatment need,urgent,treatment need: urgent,8,4,11
Florida,2014-2015,2015,Early Head Start,region,central,all,total,caries,any history,caries experience,2,0,6.8
Florida,2013-2014,2014,grade 3,region,Central,all,total,treatment need,urgent,treatment need: urgent,4.1,1.5,6.7
Florida,2014-2015,2015,Early Head Start,region,central,all,total,caries,untreated,untreated caries,1,0,3.4
Florida,2016-2017,2017,grade 3,region,Central,all,total,treatment need,urgent,treatment need: urgent,0.9,0,2
Florida,2014-2015,2015,Early Head Start,region,central,all,total,treatment need,early,treatment need: early,0.5,0,1.7
Florida,2014-2015,2015,Early Head Start,region,central,all,total,treatment need,urgent,treatment need: urgent,0.5,0,1.7
Louisiana,2007-2009,2009,grade 3,region,central,all,total,caries,any history,caries experience,67.1,,
Louisiana,2007-2009,2009,grade 3,region,central,all,total,caries,untreated,untreated caries,53.3,,
Louisiana,2007-2009,2009,grade 3,region,central,all,total,treatment need,none,treatment need: none,46.4,,
Louisiana,2007-2009,2009,grade 3,region,central,all,total,treatment need,early,treatment need: early,37.6,,
Louisiana,2007-2009,2009,grade 3,region,central,all,total,dental sealants,present,dental sealants,28.1,,
Louisiana,2007-2009,2009,grade 3,region,central,all,total,treatment need,urgent,treatment need: urgent,16,,
Maryland,2015-2016,2016,grade 3,region ,Central Baltimore,all,total,dental sealants,present,dental sealants,44.6,36.172,53.028
Maryland,2015-2016,2016,grade 3,region ,Central Baltimore,all,total,caries,any history,caries experience,39.6,39.60,39.60
Maryland,2015-2016,2016,grade K + 3,region ,Central Baltimore,school percent participation in school lunch program,high proportion,caries,any history,caries experience,44.9,37.452,52.348
Maryland,2015-2016,2016,grade K + 3,region ,Central Baltimore,school percent participation in school lunch program,low proportion,caries,any history,caries experience,25.8,20.116,31.484
Maryland,2015-2016,2016,grade K + 3,region ,Central Baltimore,all,total,caries,any history,caries experience,36.4,30.912,41.888
Maryland,2015-2016,2016,grade K + 3,region ,Central Baltimore,all,total,caries,any history,caries experience,36.4,30.912,41.888
Maryland,2015-2016,2016,Kindergarten,region ,Central Baltimore,all,total,caries,any history,caries experience,33.5,28.6,38.4
Maryland,2015-2016,2016,Kindergarten,region ,Central Baltimore,all,total,treatment need,none,treatment need: none,85.4,82.264,88.536
Maryland,2015-2016,2016,grade K + 3,region ,Central Baltimore,school percent participation in school lunch program,middle proportion,caries,any history,caries experience,37.3,33.772,40.828
Maryland,2015-2016,2016,Kindergarten,region ,Central Baltimore,all,total,caries,untreated,untreated caries,14.6,11.464,17.736
Maryland,2015-2016,2016,Kindergarten,region ,Central Baltimore,all,total,treatment need,early,treatment need: early,13.7,10.956,16.444
Maryland,2015-2016,2016,grade 3,region ,Central Baltimore,all,total,caries,untreated,untreated caries,11.5,8.952,14.048
Maryland,2015-2016,2016,grade K + 3,region ,Central Baltimore,all,total,treatment need,none,treatment need: none,86.8,84.448,89.152
Maryland,2015-2016,2016,grade 3,region ,Central Baltimore,all,total,treatment need,none,treatment need: none,88.4,85.852,90.948
Maryland,2015-2016,2016,grade K + 3,region ,Central Baltimore,all,total,caries,untreated,untreated caries,13.1,10.748,15.452
Maryland,2015-2016,2016,grade 3,region ,Central Baltimore,all,total,treatment need,early,treatment need: early,10.8,8.644,12.956
Maryland,2015-2016,2016,grade K + 3,region ,Central Baltimore,all,total,treatment need,early,treatment need: early,12.3,10.34,14.26
Maryland,2015-2016,2016,Kindergarten,region ,Central Baltimore,all,total,treatment need,urgent,treatment need: urgent,0.9,0.116,1.684
Maryland,2015-2016,2016,grade K + 3,region ,Central Baltimore,all,total,treatment need,urgent,treatment need: urgent,0.9,0.312,1.488
Maryland,2015-2016,2016,grade 3,region ,Central Baltimore,all,total,treatment need,urgent,treatment need: urgent,0.8,0.212,1.388
Maryland,2011-2012,2012,grade 3,region ,central baltimore,all,total,dental sealants,present,dental sealants,35.1,,
Maryland,2005-2006,2006,grade K + 3,region ,central baltimore,all,total,caries,any history,caries experience,33.6,,
Maryland,2005-2006,2006,grade 3,region ,central baltimore,all,total,caries,any history,caries experience,33.5,,
Maryland,2005-2006,2006,Kindergarten,region ,central baltimore,all,total,caries,any history,caries experience,33.2,,
Maryland,2005-2006,2006,grade 3,region ,central baltimore,all,total,dental sealants,present,dental sealants,28.8,,
Maryland,2011-2012,2012,grade K + 3,region ,central baltimore,all,total,dental sealants,present,dental sealants,28.2,,
Maryland,2005-2006,2006,grade K + 3,region ,central baltimore,all,total,dental sealants,present,dental sealants,18.3,,
Maryland,2005-2006,2006,Kindergarten,region ,central baltimore,all,total,dental sealants,present,dental sealants,5.5,,
Maryland,2011-2012,2012,grade 3,region ,central d.c.,all,total,dental sealants,present,dental sealants,40.8,,
Maryland,2011-2012,2012,grade K + 3,region ,central d.c.,all,total,dental sealants,present,dental sealants,32.9,,
Maryland,2005-2006,2006,grade 3,region ,central dc,all,total,dental sealants,present,dental sealants,54.6,,
Maryland,2005-2006,2006,grade K + 3,region ,central dc,all,total,dental sealants,present,dental sealants,34.7,,
Maryland,2005-2006,2006,Kindergarten,region ,central dc,all,total,caries,any history,caries experience,32.4,,
Maryland,2005-2006,2006,grade K + 3,region ,central dc,all,total,caries,any history,caries experience,28.4,,
Maryland,2005-2006,2006,grade 3,region ,central dc,all,total,caries,any history,caries experience,24.9,,
Maryland,2005-2006,2006,Kindergarten,region ,central dc,all,total,dental sealants,present,dental sealants,11.6,,
Arkansas,2010,2010,grade 3,region,Central Region,all,total,treatment need,none,treatment need: none,78.1,,
Arkansas,2010,2010,grade 3,region,Central Region,all,total,caries,any history,caries experience,64.9,,
Arkansas,2010,2010,grade 3,region,Central Region,all,total,caries,untreated,untreated caries,20.8,,
Arkansas,2010,2010,grade 3,region,Central Region,all,total,dental sealants,present,dental sealants,17.3,,
Arkansas,2010,2010,grade 3,region,Central Region,all,total,treatment need,early,treatment need: early,16.5,,
Arkansas,2010,2010,grade 3,region,Central Region,all,total,treatment need,urgent,treatment need: urgent,5.5,,
Illinois,2013-2014,2014,grade 3,region,Champaign,all,total,dental sealants,present,dental sealants,65.7,52.2,77.1
Illinois,2018-2019,2019,grade 3,region,Champaign,all,total,dental sealants,present,dental sealants,56.3,38.4,74.2
Illinois,2013-2014,2014,grade 3,region,Champaign,all,total,caries,any history,caries experience,55.5,42,68.2
Illinois,2013-2014,2014,grade 3,region,Champaign,all,total,treatment need,early or urgent,treatment need: early or urgent,44.5,21.5,52.5
Illinois,2018-2019,2019,grade 3,region,Champaign,all,total,treatment need,early or urgent,treatment need: early or urgent,23.7,1.9,45.6
Ohio,2004-2005,2005,grade 3,county,Champaign,all,total,caries,any history,caries experience,51.2,48,54.4
Illinois,2018-2019,2019,grade 3,region,Champaign,all,total,caries,any history,caries experience,35.9,17.6,54.2
Illinois,2018-2019,2019,grade 3,region,Champaign,all,total,treatment need,early,treatment need: early,15.8,1.1,30.4
Illinois,2018-2019,2019,grade 3,region,Champaign,all,total,treatment need,urgent,treatment need: urgent,8,0,16.4
Illinois,2018-2019,2019,grade 3,region,Champaign,all,total,caries,untreated,untreated caries,24.8,3.3,46.4
Illinois,2013-2014,2014,grade 3,region,Champaign,all,total,caries,untreated,untreated caries,33.5,28.9,38.5
Ohio,2004-2005,2005,grade 3,county,Champaign,all,total,dental sealants,present,dental sealants,36,34.6,37.3
Ohio,2004-2005,2005,grade 3,county,Champaign,all,total,caries,untreated,untreated caries,18.9,12.6,25.2
Ohio,2004-2005,2005,grade 3,county,Champaign,all,total,treatment need,early or urgent,treatment need: early or urgent,17.8,12.2,23.4
Illinois,2013-2014,2014,grade 3,region,Champaign,all,total,caries,rampant,rampant caries,11.2,5.7,21
Illinois,2018-2019,2019,grade 3,region,Champaign,all,total,caries,rampant,rampant caries,0,0,0
New Hampshire,2014,2014,grade 3,county,Cheshire,all,total,dental sealants,present,dental sealants,67.9,,
New Hampshire,2014,2014,grade 3,county,Cheshire,all,total,caries,any history,caries experience,42.4,,
New Hampshire,2014,2014,grade 3,county,Cheshire,all,total,caries,untreated,untreated caries,6.7,,
New Hampshire,2014,2014,grade 3,county,Cheshire,all,total,treatment need,early or urgent,treatment need: early or urgent,6.2,,
New Hampshire,2014,2014,grade 3,county,Cheshire,all,total,treatment need,urgent,treatment need: urgent,0.6,,
New Hampshire,2008-2009,2009,grade 3,county,Cheshire Sullivan,all,total,dental sealants,present,dental sealants,61.7,56.4,67
New Hampshire,2008-2009,2009,grade 3,county,Cheshire Sullivan,all,total,caries,any history,caries experience,51.6,44.5,58.7
New Hampshire,2008-2009,2009,grade 3,county,Cheshire Sullivan,all,total,treatment need,early or urgent,treatment need: early or urgent,13.7,8.6,18.8
New Hampshire,2008-2009,2009,grade 3,county,Cheshire Sullivan,all,total,caries,untreated,untreated caries,13.3,8.4,18.3
New Hampshire,2008-2009,2009,grade 3,county,Cheshire Sullivan,all,total,treatment need,urgent,treatment need: urgent,0.7,0,1.7
Illinois,2018-2019,2019,grade 3,region,Chicago,all,total,dental sealants,present,dental sealants,56.1,45.8,66.4
Illinois,2013-2014,2014,grade 3,region,Chicago,all,total,dental sealants,present,dental sealants,57.2,49.9,64.2
Illinois,2013-2014,2014,grade 3,region,Chicago,all,total,caries,any history,caries experience,50.5,43.4,57.5
Illinois,2018-2019,2019,grade 3,region,Chicago,all,total,treatment need,early or urgent,treatment need: early or urgent,22.3,16.2,28.4
Illinois,2018-2019,2019,grade 3,region,Chicago,all,total,treatment need,early,treatment need: early,19.3,14,24.6
Illinois,2013-2014,2014,grade 3,region,Chicago,all,total,treatment need,early or urgent,treatment need: early or urgent,17.4,13.4,23
Illinois,2018-2019,2019,grade 3,region,Chicago,all,total,treatment need,urgent,treatment need: urgent,3,0.5,5.5
Illinois,2008-2009,2009,grade 3,region,Chicago,all,total,treatment need,urgent,treatment need: urgent,6.4,,
Illinois,2018-2019,2019,grade 3,region,Chicago,all,total,caries,any history,caries experience,40.8,34.5,47
Illinois,2003-2004,2004,grade 3,region,Chicago,all,total,treatment need,urgent,treatment need: urgent,5,,
Illinois,2018-2019,2019,grade 3,region,Chicago,all,total,caries,untreated,untreated caries,24.9,18.5,31.4
Illinois,2013-2014,2014,grade 3,region,Chicago,all,total,caries,untreated,untreated caries,17.2,13.4,21.8
Illinois,2013-2014,2014,grade 3,region,Chicago,all,total,caries,rampant,rampant caries,4.4,2.9,6.6
Illinois,2018-2019,2019,grade 3,region,Chicago,all,total,caries,rampant,rampant caries,2.2,0.7,3.7
Illinois,2008-2009,2009,grade 3,region,Chicago,all,total,caries,any history,caries experience,63.5,,
Illinois,2003-2004,2004,grade 3,region,Chicago,all,total,caries,any history,caries experience,59,,
Illinois,2008-2009,2009,grade 3,region,Chicago,all,total,caries,untreated,untreated caries,35.6,,
Illinois,2008-2009,2009,grade 3,region,Chicago,all,total,dental sealants,present,dental sealants,34.3,,
Illinois,2003-2004,2004,grade 3,region,Chicago,all,total,caries,untreated,untreated caries,32,,
Illinois,2003-2004,2004,grade 3,region,Chicago,all,total,dental sealants,present,dental sealants,12,,
Michigan,2015-2016,2016,grade 3,region,city of detroit,all,total,treatment need,early,treatment need: early,59.6,22.2,97
Michigan,2015-2016,2016,grade 3,region,city of detroit,all,total,caries,any history,caries experience,57.2,41.3,73.1
Michigan,2015-2016,2016,grade 3,region,city of detroit,all,total,caries,untreated,untreated caries,31.5,0,67
Michigan,2015-2016,2016,grade 3,region,city of detroit,all,total,dental sealants,present,dental sealants,28.3,5.7,50.8
Michigan,2015-2016,2016,grade 3,region,city of detroit,all,total,treatment need,urgent,treatment need: urgent,22.1,0,50.1
Michigan,2015-2016,2016,grade 3,region,city of detroit,all,total,treatment need,none,treatment need: none,18.3,0,41.2
Michigan,2009-2010,2010,grade 3,region,city of detroit,all,total,treatment need,none,treatment need: none,56.6,,
Michigan,2009-2010,2010,grade 3,region,city of detroit,all,total,caries,any history,caries experience,51.7,,
Michigan,2009-2010,2010,grade 3,region,city of detroit,all,total,caries,untreated,untreated caries,41.9,,
Michigan,2009-2010,2010,grade 3,region,city of detroit,all,total,dental sealants,present,dental sealants,31.7,,
Michigan,2009-2010,2010,grade 3,region,city of detroit,all,total,treatment need,early,treatment need: early,26.6,,
Michigan,2009-2010,2010,grade 3,region,city of detroit,all,total,treatment need,urgent,treatment need: urgent,16.8,,
Ohio,2004-2005,2005,grade 3,county,Clark,all,total,caries,any history,caries experience,54.4,49,59.9
Ohio,2004-2005,2005,grade 3,county,Clark,all,total,dental sealants,present,dental sealants,30.8,23.7,37.8
Ohio,2004-2005,2005,grade 3,county,Clark,all,total,treatment need,early or urgent,treatment need: early or urgent,24.3,14.5,34
Ohio,2004-2005,2005,grade 3,county,Clark,all,total,caries,untreated,untreated caries,24.9,15.9,33.9
Nevada,2008-2009,2009,grade 3,county,Clark,all,total,caries,any history,caries experience,67.5,,
Nevada,2008-2009,2009,grade 3,county,Clark,all,total,dental sealants,present,dental sealants,32.9,,
Nevada,2008-2009,2009,grade 3,county,Clark,all,total,caries,untreated,untreated caries,29.5,,
Nevada,2007,2007,Head Start,county,Clark county,all,total,treatment need,none,treatment need: none,72.3,67.78,76.82
Nevada,2004,2004,Head Start,county,Clark county,all,total,treatment need,none,treatment need: none,62.7,58.8,66.6
Nevada,2004,2004,Head Start,county,Clark county,all,total,caries,any history,caries experience,50.3,46.8,53.8
Nevada,2007,2007,Head Start,county,Clark county,all,total,caries,any history,caries experience,48.5,43.58,53.42
Nevada,2004,2004,Head Start,county,Clark county,all,total,caries,untreated,untreated caries,37.2,34.2,40.2
Nevada,2004,2004,Head Start,county,Clark county,all,total,treatment need,early,treatment need: early,31.6,28.9,34.3
Nevada,2007,2007,Head Start,county,Clark county,all,total,caries,untreated,untreated caries,27.9,23.69,32.11
Nevada,2007,2007,Head Start,county,Clark county,all,total,treatment need,early,treatment need: early,25.2,20.91,29.49
Nevada,2004,2004,Head Start,county,Clark county,all,total,caries,early childhood caries,early childhood caries,25.2,22.8,27.6
Nevada,2007,2007,Head Start,county,Clark county,all,total,caries,early childhood caries,early childhood caries,20,16.27,23.73
Nevada,2004,2004,Head Start,county,Clark county,all,total,treatment need,urgent,treatment need: urgent,5.6,4.4,6.8
