PWS_ID,state,water_system_id,PWS_name,county,population,fluorided_status,fluoride_conc
IL-0311680,IL,311680,LYNWOOD,Cook ,9263,Yes,0.7
IL-0311710,IL,311710,LYONS,Cook ,10267,Yes,0.7
IL-0311740,IL,311740,MCCOOK,Cook ,263,Yes,0.7
IL-0311770,IL,311770,MARKHAM,Cook ,11962,Yes,0.7
IL-0311800,IL,311800,MATTESON,Cook ,18182,Yes,0.7
IL-0311830,IL,311830,MAYWOOD,Cook ,23120,Yes,0.7
IL-0311860,IL,311860,MELROSE PARK,Cook ,24306,Yes,0.7
IL-0311890,IL,311890,MERRIONETTE PARK,Cook ,1818,Yes,0.7
IL-0311920,IL,311920,MIDLOTHIAN,Cook ,13780,Yes,0.7
IL-0311950,IL,311950,MORTON GROVE,Cook ,22268,Yes,0.7
IL-0311980,IL,311980,MOUNT PROSPECT,Cook ,39705,Yes,0.7
IL-0312010,IL,312010,NILES,Cook ,28773,Yes,0.7
IL-0312040,IL,312040,NORRIDGE,Cook ,13023,Yes,0.7
IL-0312070,IL,312070,NORTHBROOK,Cook ,31995,Yes,0.7
IL-0312100,IL,312100,NORTHFIELD,Cook ,5148,Yes,0.7
IL-0312160,IL,312160,NORTH RIVERSIDE,Cook ,6385,Yes,0.7
IL-0312190,IL,312190,OAK FOREST,Cook ,26758,Yes,0.7
IL-0312220,IL,312220,OAK LAWN,Cook ,54249,Yes,0.7
IL-0312250,IL,312250,OAK PARK,Cook ,49644,Yes,0.7
IL-0312280,IL,312280,OLYMPIA FIELDS,Cook ,4773,Yes,0.7
IL-0312310,IL,312310,ORLAND PARK,Cook ,55722,Yes,0.7
IL-0312340,IL,312340,PALATINE,Cook ,65988,Yes,0.7
IL-0312370,IL,312370,PALOS HEIGHTS,Cook ,14833,Yes,0.7
IL-0312400,IL,312400,PALOS HILLS,Cook ,16731,Yes,0.7
IL-0312460,IL,312460,PARK RIDGE,Cook ,36148,Yes,0.7
IL-0312490,IL,312490,PHOENIX,Cook ,1978,Yes,0.7
IL-0312520,IL,312520,POSEN,Cook ,5569,Yes,0.7
IL-0312530,IL,312530,PROSPECT HEIGHTS,Cook ,2177,No,0
IL-0312550,IL,312550,RICHTON PARK,Cook ,13058,Yes,0.7
IL-0312580,IL,312580,RIVERDALE,Cook ,12966,Yes,0.7
IL-0312610,IL,312610,RIVER FOREST,Cook ,10691,Yes,0.7
IL-0312640,IL,312640,RIVER GROVE,Cook ,10209,Yes,0.7
IL-0312670,IL,312670,RIVERSIDE,Cook ,8608,Yes,0.7
IL-0312700,IL,312700,ROBBINS,Cook ,5182,Yes,0.7
IL-0312730,IL,312730,ROLLING MEADOWS,Cook ,23061,Yes,0.7
IL-0312760,IL,312760,ROSEMONT,Cook ,4021,Yes,0.7
IL-0312790,IL,312790,SAUK,Cook ,10526,Yes,0.7
IL-0312850,IL,312850,SCHILLER PARK,Cook ,11285,Yes,0.7
IL-0312880,IL,312880,SKOKIE,Cook ,61994,Yes,0.7
IL-0312940,IL,312940,SOUTH CHICAGO HEIGHTS,Cook ,3961,No,0
IL-0312970,IL,312970,SOUTH HOLLAND,Cook ,23924,Yes,0.7
IL-0313000,IL,313000,STICKNEY,Cook ,5883,Yes,0.7
IL-0313030,IL,313030,STONE PARK,Cook ,4909,Yes,0.7
IL-0313060,IL,313060,STREAMWOOD,Cook ,38182,Yes,0.7
IL-0313090,IL,313090,THORNTON,Cook ,2237,Yes,0.7
IL-0313150,IL,313150,WESTCHESTER,Cook ,16100,Yes,0.7
IL-0313180,IL,313180,WESTERN SPRINGS,Cook ,12541,No,0
IL-0313300,IL,313300,WILMETTE,Cook ,26459,Yes,0.7
IL-0313330,IL,313330,WINNETKA,Cook ,12351,Yes,0.7
IL-0313360,IL,313360,WORTH,Cook ,10813,Yes,0.7
IL-0314030,IL,314030,ARLINGTON HEIGHTS,Cook ,75598,Yes,0.7
IL-0314120,IL,314120,BARTLETT,Cook ,39713,Yes,0
IL-0314180,IL,314180,BUFFALO GROVE,Cook ,43014,Yes,0.7
IL-0314400,IL,314400,ELK GROVE VILLAGE,Cook ,31701,Yes,0.7
IL-0314480,IL,314480,HANOVER PARK,Cook ,36338,Yes,0.7
IL-0314710,IL,314710,NORTH LAKE,Cook ,11367,Yes,0.7
IL-0314740,IL,314740,PARK FOREST,Cook ,21106,Yes,0.7
IL-0314860,IL,314860,STEGER,Cook ,9265,Yes,0.7
IL-0314890,IL,314890,SCHAUMBURG,Cook ,71031,Yes,0.7
IL-0314910,IL,314910,TINLEY PARK,Cook ,54261,Yes,0.7
IL-0314970,IL,314970,WHEELING,Cook ,36027,Yes,0.7
IL-0315030,IL,315030,CTZNS FERNWAY UTILITIES DVN,Cook ,5149,Yes,0.7
IL-0315100,IL,315100,UTL INC COUNTY LINE WTR CMPNY,Cook ,350,No,0
IL-0315130,IL,315130,BROOKFIELD-N RIVERSIDE WTR CMS,Cook ,1,Yes,0.7
IL-0315145,IL,315145,SPRING LAKES MHP,Cook ,813,No,0.53
IL-0315150,IL,315150,CTZNS CHICAGO SBRBN UTILITIES DVN,Cook ,12528,Yes,0.7
IL-0315175,IL,315175,CANDLELIGHT VILLAGE MHP,Cook ,574,Yes,0.7
IL-0315185,IL,315185,OASIS MHP,Cook ,2488,No,0.37
IL-0315300,IL,315300,NORTHWEST WTR CMSN,Cook ,0,Yes,0.7
IL-0315310,IL,315310,GLENBROOK SNDST,Cook ,804,Yes,0.7
IL-0315320,IL,315320,UNION PACIFIC RAILROAD,Cook ,1435,Yes,0.7
IL-0315350,IL,315350,NORTH MAINE UTILITIES,Cook ,25545,Yes,0.7
IL-0315400,IL,315400,NORTHWEST SUBURBAN MUNCPL JAWA,Cook ,1,Yes,0.7
IL-0315570,IL,315570,CENTRAL STICKNEY SNDST,Cook ,1722,Yes,0.7
IL-0315620,IL,315620,GARDEN HOME SNDST,Cook ,1409,Yes,0.7
IL-0315650,IL,315650,GLEN EDEN ESTS HOMEOWNERS ASSN,Cook ,298,Yes,0.7
IL-0315750,IL,315750,GOLF GREENWOOD IMPRV ASSN,Cook ,153,Yes,0.7
IL-0315770,IL,315770,HILLSIDE BERKELEY WTR CMSN,Cook ,1,Yes,0.7
IL-0315820,IL,315820,JUSTICE-WILLOW SPRGS WTR CMSN,Cook ,17656,Yes,0.7
IL-0315850,IL,315850,STERLING ESTATES MHP,Cook ,478,Yes,0.7
IL-0315860,IL,315860,LA GRANGE HIGHLANDS SNDST,Cook ,6220,Yes,0.7
IL-0315880,IL,315880,LEYDEN TWSP WTR DSTRCT,Cook ,15311,Yes,0.7
IL-0315910,IL,315910,CTZNS MORELAND DVN,Cook ,497,Yes,0.7
IL-0315920,IL,315920,MISSION BROOK SNDST,Cook ,1375,Yes,0.7
IL-0315935,IL,315935,LINWAY ESTS MHP,Cook ,297,No,0.37
IL-0316000,IL,316000,CHICAGO,Cook ,2579528,Yes,0.7
IL-0317050,IL,317050,IL AMERICAN -MIDWEST PALOS DIST.,Cook ,158,Yes,0.7
IL-0317080,IL,317080,PLUM CREEK CNDOS,Cook ,545,Yes,1.39
IL-0317370,IL,317370,SOUTH STICKNEY SNDST,Cook ,29975,Yes,0.7
IL-0317550,IL,317550,CTZNS WAYCINDEN DVN,Cook ,1789,Yes,0.7
IL-0317580,IL,317580,WESTCHESTER-BROADVIEW JNT WTR,Cook ,1,Yes,0.7
IL-0317595,IL,317595,WILLOWAY TERRACE MHP,Cook ,861,No,0.41
IL-0317725,IL,317725,SILO MHP,Cook ,24,No,0
IL-0317765,IL,317765,BLACKHAWK ESTATES MHP,Cook ,1185,Yes,0.87
IL-0317775,IL,317775,DES PLAINES MHP,Cook ,555,No,0.3
IL-0317789,IL,317789,OAK FOREST HSP,Cook ,1435,Yes,0.7
IL-0317850,IL,317850,TINLEY PARK MHP ,Cook ,1699,Yes,0.7
IL-0317950,IL,317950,PLUM GROVE CNDOS,Cook ,191,No,0.59
IL-0330020,IL,330020,HARDINVILLE WATER COMPANY,Crawford ,2856,Yes,0.7
IL-0330030,IL,330030,KIRK WATER LINE,Crawford ,69,Yes,0.7
IL-0330050,IL,330050,FLAT ROCK,Crawford ,431,Yes,0.7
IL-0330100,IL,330100,HUTSONVILLE,Crawford ,530,Yes,0.7
IL-0330150,IL,330150,OBLONG,Crawford ,2383,Yes,0.7
IL-0335030,IL,335030,ROBINSON-PALESTINE WATER CMSN,Crawford ,11723,Yes,0.7
