data_id,table_2019_benchmark,table_actual,base_population,ages,ages_min,indicator_specific,indicator_abbr,indicator_short,tooth_location,dentition_set,category,subcategory,years,statistic,estimate_value,estimate_SE,lower_CI,upper_CI
12434,t11,t11,ages 6-11,9-11,9,"mean number of missing teeth of those with decayed, filled, or missing teeth",MT,# MT if have DMFT,any teeth,permanent teeth,age (years),9 -- 11,1999 - 2004,mean,,,,
12452,t11,t11,ages 6-11,9-11,9,"mean number of missing teeth of those with decayed, filled, or missing teeth",MT,# MT if have DMFT,any teeth,permanent teeth,age (years),9 -- 11,2011 - 2016,mean,,,,
12432,t11,t11,ages 6-11,9-11,9,"mean number of decayed, missing, or filled teeth of those with decayed, filled, or missing teeth",DMFT,# DMFT if have DMFT,any teeth,permanent teeth,age (years),9 -- 11,1999 - 2004,mean,2.2,0.06,2.0824,2.3176
12450,t11,t11,ages 6-11,9-11,9,"mean number of decayed, missing, or filled teeth of those with decayed, filled, or missing teeth",DMFT,# DMFT if have DMFT,any teeth,permanent teeth,age (years),9 -- 11,2011 - 2016,mean,2.5,0.09,2.3236,2.6764
12430,t13,t13,ages 6-11,9-11,9,"mean number of decayed, missing, or filled premolars of those with decayed, filled, or missing teeth",DMFT,# DMFT premolars of those with DMFT ,premolars,permanent teeth,age (years),9 -- 11,1999 - 2004,mean,0.1,0.01,0.0804,0.1196
12448,t13,t13,ages 6-11,9-11,9,"mean number of decayed, missing, or filled premolars of those with decayed, filled, or missing teeth",DMFT,# DMFT premolars of those with DMFT ,premolars,permanent teeth,age (years),9 -- 11,2011 - 2016,mean,0.1,0.02,0.0608,0.1392
11111,t09,t10,ages 6-11,9-11,9,prevalence of dental caries,caries,prevalance of caries,any teeth,permanent teeth,age (years),9 -- 11,1988 - 1994,percent,35.9,2.35,31.294,40.506
11118,t09,t09,ages 6-11,9-11,9,prevalence of dental caries,caries,prevalance of caries,any teeth,permanent teeth,age (years),9 -- 11,1999 - 2004,percent,31.4,1.48,28.4992,34.3008
11125,t09,t09,ages 6-11,9-11,9,prevalence of dental caries,caries,prevalance of caries,any teeth,permanent teeth,age (years),9 -- 11,2011 - 2016,percent,24.7,1.32,22.1128,27.2872
12431,t13,t13,ages 6-11,9-11,9,"mean number of decayed, missing, or filled secondary molars of those with decayed, filled, or missing teeth",DMFT,# DMFT secondary molars of those with DMFT,secondary molars,permanent teeth,age (years),9 -- 11,1999 - 2004,mean,0.1,0.02,0.0608,0.1392
12449,t13,t13,ages 6-11,9-11,9,"mean number of decayed, missing, or filled secondary molars of those with decayed, filled, or missing teeth",DMFT,# DMFT secondary molars of those with DMFT,secondary molars,permanent teeth,age (years),9 -- 11,2011 - 2016,mean,0.1,0.02,0.0608,0.1392
12419,t21,t17,ages 6-11,9-11,9,mean number of sealed first molars of those with dental sealants,sealed,# sealed first molars if have sealants,first molars,permanent teeth,age (years),9 -- 11,1988 - 1994,mean,3.25,0.1,3.054,3.446
12420,t21,t17,ages 6-11,9-11,9,mean number of sealed premolars of those with dental sealants,sealed,# sealed premolars if have sealants,premolars,permanent teeth,age (years),9 -- 11,1988 - 1994,mean,,,,
12421,t21,t17,ages 6-11,9-11,9,mean number of sealed secondary molars of those with dental sealants,sealed,# sealed secondary molars if have sealants,secondary molars,permanent teeth,age (years),9 -- 11,1988 - 1994,mean,0.58,0.15,0.286,0.874
12422,t20,t16,ages 6-11,9-11,9,mean number of teeth with dental sealants of those with dental dental sealants,sealants,# sealants if have sealant,any teeth,permanent teeth,age (years),9 -- 11,1988 - 1994,mean,3.54,0.11,3.3244,3.7556
12424,t19,t15,ages 6-11,9-11,9,prevalence of dental sealants,sealants,prevalence of sealants,any teeth,permanent teeth,age (years),9 -- 11,1988 - 1994,percent,28.62,2.75,23.23,34.01
12425,t10,t11,ages 6-11,9-11,9,prevalence of untreatedd tooth decay,untreated caries,prevalance of untreated caries,any teeth,permanent teeth,age (years),9 -- 11,1988 - 1994,percent,10.56,1.38,7.8552,13.2648
12435,t21,t21,ages 6-11,9-11,9,mean number of sealed first molars of those with dental sealants,sealed,# sealed first molars if have sealants,first molars,permanent teeth,age (years),9 -- 11,1999 - 2004,mean,3.1,0.07,2.9628,3.2372
12436,t21,t21,ages 6-11,9-11,9,mean number of sealed premolars of those with dental sealants,sealed,# sealed premolars if have sealants,premolars,permanent teeth,age (years),9 -- 11,1999 - 2004,mean,0.3,0.08,0.1432,0.4568
12437,t21,t21,ages 6-11,9-11,9,mean number of sealed secondary molars of those with dental sealants,sealed,# sealed secondary molars if have sealants,secondary molars,permanent teeth,age (years),9 -- 11,1999 - 2004,mean,0.1,0.04,0.0216,0.1784
12438,t12,t12,ages 6-11,9-11,9,"mean percentage contribution of decayed teeth of those with decayed, filled or missing teeth",DT,% DT/DMFT if have DMFT,any teeth,permanent teeth,age (years),9 -- 11,1999 - 2004,mean,30,3.25,23.63,36.37
12439,t12,t12,ages 6-11,9-11,9,"mean percentage contribution of filled teeth of those with decayed, filled or missing teeth",FT,% FT/DMFT if have DMFT,any teeth,permanent teeth,age (years),9 -- 11,1999 - 2004,mean,69.2,3.25,62.83,75.57
12440,t20,t20,ages 6-11,9-11,9,mean number of teeth with dental sealants of those with dental dental sealants,sealants,# sealants if have sealant,any teeth,permanent teeth,age (years),9 -- 11,1999 - 2004,mean,3.4,0.09,3.2236,3.5764
12442,t19,t19,ages 6-11,9-11,9,prevalence of dental sealants,sealants,prevalence of sealants,any teeth,permanent teeth,age (years),9 -- 11,1999 - 2004,percent,40.1,2.27,35.6508,44.5492
12443,t10,t10,ages 6-11,9-11,9,prevalence of untreatedd tooth decay,untreated caries,prevalance of untreated caries,any teeth,permanent teeth,age (years),9 -- 11,1999 - 2004,percent,11.1,1.33,8.4932,13.7068
12453,t21,t21,ages 6-11,9-11,9,mean number of sealed first molars of those with dental sealants,sealed,# sealed first molars if have sealants,first molars,permanent teeth,age (years),9 -- 11,2011 - 2016,mean,3.3,0.06,3.1824,3.4176
12454,t21,t21,ages 6-11,9-11,9,mean number of sealed premolars of those with dental sealants,sealed,# sealed premolars if have sealants,premolars,permanent teeth,age (years),9 -- 11,2011 - 2016,mean,0.4,0.08,0.2432,0.5568
12455,t21,t21,ages 6-11,9-11,9,mean number of sealed secondary molars of those with dental sealants,sealed,# sealed secondary molars if have sealants,secondary molars,permanent teeth,age (years),9 -- 11,2011 - 2016,mean,0.7,0.1,0.504,0.896
12456,t12,t12,ages 6-11,9-11,9,"mean percentage contribution of decayed teeth of those with decayed, filled or missing teeth",DT,% DT/DMFT if have DMFT,any teeth,permanent teeth,age (years),9 -- 11,2011 - 2016,mean,26,2.29,21.5116,30.4884
12457,t12,t12,ages 6-11,9-11,9,"mean percentage contribution of filled teeth of those with decayed, filled or missing teeth",FT,% FT/DMFT if have DMFT,any teeth,permanent teeth,age (years),9 -- 11,2011 - 2016,mean,73.3,2.29,68.8116,77.7884
12458,t20,t20,ages 6-11,9-11,9,mean number of teeth with dental sealants of those with dental dental sealants,sealants,# sealants if have sealant,any teeth,permanent teeth,age (years),9 -- 11,2011 - 2016,mean,3.8,0.1,3.604,3.996
12460,t19,t19,ages 6-11,9-11,9,prevalence of dental sealants,sealants,prevalence of sealants,any teeth,permanent teeth,age (years),9 -- 11,2011 - 2016,percent,50.7,1.96,46.8584,54.5416
12461,t10,t10,ages 6-11,9-11,9,prevalence of untreatedd tooth decay,untreated caries,prevalance of untreated caries,any teeth,permanent teeth,age (years),9 -- 11,2011 - 2016,percent,7.6,0.77,6.0908,9.1092
11090,t29,t61,ages 65+,75+,75,prevalence of dental caries,caries,prevalance of caries,any teeth,permanent teeth,age (years),75+,1988 - 1994,percent,93.71,1.03,91.6912,95.7288
11097,t29,t29,ages 65+,75+,75,prevalence of dental caries,caries,prevalance of caries,any teeth,permanent teeth,age (years),75+,1999 - 2004,percent,92.7,0.9,90.936,94.464
11104,t29,t29,ages 65+,75+,75,prevalence of dental caries,caries,prevalance of caries,any teeth,permanent teeth,age (years),75+,2011 - 2016,percent,96,0.65,94.726,97.274
12393,t35,t68,ages 65+,75+,75,percentage who have lost all natural teeth,edentulism,prevalence of edentulism,,permanent teeth,age (years),75+,1988 - 1994,percent,40.28,2.31,35.7524,44.8076
12394,t36,t67,ages 65+,75+,75,mean number of teeth among adults with teeth,teeth,# teeth if have teeth,any teeth,permanent teeth,age (years),75+,1988 - 1994,mean,16.43,0.35,15.744,17.116
12396,t30,t62,ages 65+,75+,75,prevalence of untreatedd tooth decay,untreated caries,prevalance of untreated caries,any teeth,permanent teeth,age (years),75+,1988 - 1994,percent,30.32,1.77,26.8508,33.7892
12402,t36,t36,ages 65+,75+,75,mean number of teeth among adults with teeth,teeth,# teeth if have teeth,any teeth,permanent teeth,age (years),75+,1999 - 2004,mean,18.4,0.3,17.812,18.988
12404,t30,t30,ages 65+,75+,75,prevalence of untreatedd tooth decay,untreated caries,prevalance of untreated caries,any teeth,permanent teeth,age (years),75+,1999 - 2004,percent,19.5,1.28,16.9912,22.0088
12405,t32,t32,ages 65+,75+,75,"mean percentage contribution of decayed teeth of those with decayed, filled or missing teeth",DT,% DT/DMFT if have DMFT,any teeth,permanent teeth,age (years),75+,1999 - 2004,mean,90.8,0.85,89.134,92.466
12406,t32,t32,ages 65+,75+,75,"mean percentage contribution of filled teeth of those with decayed, filled or missing teeth",FT,% FT/DMFT if have DMFT,any teeth,permanent teeth,age (years),75+,1999 - 2004,mean,9.2,0.85,7.534,10.866
12407,t35,t35,ages 65+,75+,75,percentage who have lost all natural teeth,edentulism,prevalence of edentulism,,permanent teeth,age (years),75+,1999 - 2004,percent,31.2,1.83,27.6132,34.7868
12413,t36,t36,ages 65+,75+,75,mean number of teeth among adults with teeth,teeth,# teeth if have teeth,any teeth,permanent teeth,age (years),75+,2011 - 2016,mean,19.5,0.31,18.8924,20.1076
12415,t30,t30,ages 65+,75+,75,prevalence of untreatedd tooth decay,untreated caries,prevalance of untreated caries,any teeth,permanent teeth,age (years),75+,2011 - 2016,percent,16.5,1.4,13.756,19.244
12416,t32,t32,ages 65+,75+,75,"mean percentage contribution of decayed teeth of those with decayed, filled or missing teeth",DT,% DT/DMFT if have DMFT,any teeth,permanent teeth,age (years),75+,2011 - 2016,mean,92.7,0.85,91.034,94.366
12417,t32,t32,ages 65+,75+,75,"mean percentage contribution of filled teeth of those with decayed, filled or missing teeth",FT,% FT/DMFT if have DMFT,any teeth,permanent teeth,age (years),75+,2011 - 2016,mean,7.3,0.85,5.634,8.966
12418,t35,t35,ages 65+,75+,75,percentage who have lost all natural teeth,edentulism,prevalence of edentulism,,permanent teeth,age (years),75+,2011 - 2016,percent,22.5,1.63,19.3052,25.6948
12388,t31,t63,ages 65+,75+,75,"mean number of decayed or filled teeth of those with decayed, filled, or missing teeth",DFT,# DFT if have DMFT,any teeth,permanent teeth,age (years),75+,1988 - 1994,mean,8.42,0.38,7.6752,9.1648
12397,t31,t31,ages 65+,75+,75,"mean number of decayed or filled teeth of those with decayed, filled, or missing teeth",DFT,# DFT if have DMFT,any teeth,permanent teeth,age (years),75+,1999 - 2004,mean,8.9,0.26,8.3904,9.4096
12408,t31,t31,ages 65+,75+,75,"mean number of decayed or filled teeth of those with decayed, filled, or missing teeth",DFT,# DFT if have DMFT,any teeth,permanent teeth,age (years),75+,2011 - 2016,mean,9.9,0.27,9.3708,10.4292
12390,t31,t63,ages 65+,75+,75,"mean number of decayed, missing, or filled teeth of those with decayed, filled, or missing teeth",DMFT,# DMFT if have DMFT,any teeth,permanent teeth,age (years),75+,1988 - 1994,mean,19.86,0.27,19.3308,20.3892
12399,t31,t31,ages 65+,75+,75,"mean number of decayed, missing, or filled teeth of those with decayed, filled, or missing teeth",DMFT,# DMFT if have DMFT,any teeth,permanent teeth,age (years),75+,1999 - 2004,mean,18.3,0.29,17.7316,18.8684
12410,t31,t31,ages 65+,75+,75,"mean number of decayed, missing, or filled teeth of those with decayed, filled, or missing teeth",DMFT,# DMFT if have DMFT,any teeth,permanent teeth,age (years),75+,2011 - 2016,mean,17.8,0.21,17.3884,18.2116
12389,t31,t63,ages 65+,75+,75,"mean number of decayed teeth of those with decayed, filled, or missing teeth",DT,# DT if have DMFT,any teeth,permanent teeth,age (years),75+,1988 - 1994,mean,0.69,0.07,0.5528,0.8272
12398,t31,t31,ages 65+,75+,75,"mean number of decayed teeth of those with decayed, filled, or missing teeth",DT,# DT if have DMFT,any teeth,permanent teeth,age (years),75+,1999 - 2004,mean,0.5,0.05,0.402,0.598
12409,t31,t31,ages 65+,75+,75,"mean number of decayed teeth of those with decayed, filled, or missing teeth",DT,# DT if have DMFT,any teeth,permanent teeth,age (years),75+,2011 - 2016,mean,0.3,0.03,0.2412,0.3588
12391,t31,t63,ages 65+,75+,75,"mean number of filled teeth of those with decayed, filled, or missing teeth",FT,# FT if have DMFT,any teeth,permanent teeth,age (years),75+,1988 - 1994,mean,7.73,0.42,6.9068,8.5532
12400,t31,t31,ages 65+,75+,75,"mean number of filled teeth of those with decayed, filled, or missing teeth",FT,# FT if have DMFT,any teeth,permanent teeth,age (years),75+,1999 - 2004,mean,8.4,0.28,7.8512,8.9488
12411,t31,t31,ages 65+,75+,75,"mean number of filled teeth of those with decayed, filled, or missing teeth",FT,# FT if have DMFT,any teeth,permanent teeth,age (years),75+,2011 - 2016,mean,9.6,0.28,9.0512,10.1488
12392,t31,t63,ages 65+,75+,75,"mean number of missing teeth of those with decayed, filled, or missing teeth",MT,# MT if have DMFT,any teeth,permanent teeth,age (years),75+,1988 - 1994,mean,11.44,0.35,10.754,12.126
12401,t31,t31,ages 65+,75+,75,"mean number of missing teeth of those with decayed, filled, or missing teeth",MT,# MT if have DMFT,any teeth,permanent teeth,age (years),75+,1999 - 2004,mean,9.4,0.3,8.812,9.988
12412,t31,t31,ages 65+,75+,75,"mean number of missing teeth of those with decayed, filled, or missing teeth",MT,# MT if have DMFT,any teeth,permanent teeth,age (years),75+,2011 - 2016,mean,7.9,0.3,7.312,8.488
12199,t13,t13,ages 6-11,6-8,6,"mean number of decayed, missing, or filled anteriors of those with decayed, filled, or missing teeth",DMFT,# DMFT anteriors of those with DMFT,anteriors,permanent teeth,age (years),6 -- 8,1999 - 2004,mean,,,,
12217,t13,t13,ages 6-11,6-8,6,"mean number of decayed, missing, or filled anteriors of those with decayed, filled, or missing teeth",DMFT,# DMFT anteriors of those with DMFT,anteriors,permanent teeth,age (years),6 -- 8,2011 - 2016,mean,,,,
12201,t13,t13,ages 6-11,6-8,6,"mean number of decayed, missing, or filled molars of those with decayed, filled, or missing teeth",DMFT,# DMFT any molars of those with DMFT,any molars,permanent teeth,age (years),6 -- 8,1999 - 2004,mean,1.6,0.1,1.404,1.796
12219,t13,t13,ages 6-11,6-8,6,"mean number of decayed, missing, or filled molars of those with decayed, filled, or missing teeth",DMFT,# DMFT any molars of those with DMFT,any molars,permanent teeth,age (years),6 -- 8,2011 - 2016,mean,1.5,0.08,1.3432,1.6568
12198,t11,t11,ages 6-11,6-8,6,"mean number of decayed teeth of those with decayed, filled, or missing teeth",DT,# DT if have DMFT,any teeth,permanent teeth,age (years),6 -- 8,1999 - 2004,mean,0.6,0.11,0.3844,0.8156
12216,t11,t11,ages 6-11,6-8,6,"mean number of decayed teeth of those with decayed, filled, or missing teeth",DT,# DT if have DMFT,any teeth,permanent teeth,age (years),6 -- 8,2011 - 2016,mean,0.4,0.06,0.2824,0.5176
12205,t11,t11,ages 6-11,6-8,6,"mean number of filled teeth of those with decayed, filled, or missing teeth",FT,# FT if have DMFT,any teeth,permanent teeth,age (years),6 -- 8,1999 - 2004,mean,1.1,0.11,0.8844,1.3156
12223,t11,t11,ages 6-11,6-8,6,"mean number of filled teeth of those with decayed, filled, or missing teeth",FT,# FT if have DMFT,any teeth,permanent teeth,age (years),6 -- 8,2011 - 2016,mean,1.2,0.09,1.0236,1.3764
12206,t11,t11,ages 6-11,6-8,6,"mean number of missing teeth of those with decayed, filled, or missing teeth",MT,# MT if have DMFT,any teeth,permanent teeth,age (years),6 -- 8,1999 - 2004,mean,,,,
12224,t11,t11,ages 6-11,6-8,6,"mean number of missing teeth of those with decayed, filled, or missing teeth",MT,# MT if have DMFT,any teeth,permanent teeth,age (years),6 -- 8,2011 - 2016,mean,,,,
12200,t13,t13,ages 6-11,6-8,6,"mean number of decayed, missing, or filled first molars of those with decayed, filled, or missing teeth",DMFT,# DMFT first molars of those with DMFT,first molars,permanent teeth,age (years),6 -- 8,1999 - 2004,mean,1.6,0.1,1.404,1.796
12218,t13,t13,ages 6-11,6-8,6,"mean number of decayed, missing, or filled first molars of those with decayed, filled, or missing teeth",DMFT,# DMFT first molars of those with DMFT,first molars,permanent teeth,age (years),6 -- 8,2011 - 2016,mean,1.5,0.08,1.3432,1.6568
12204,t11,t11,ages 6-11,6-8,6,"mean number of decayed, missing, or filled teeth of those with decayed, filled, or missing teeth",DMFT,# DMFT if have DMFT,any teeth,permanent teeth,age (years),6 -- 8,1999 - 2004,mean,1.7,0.09,1.5236,1.8764
12222,t11,t11,ages 6-11,6-8,6,"mean number of decayed, missing, or filled teeth of those with decayed, filled, or missing teeth",DMFT,# DMFT if have DMFT,any teeth,permanent teeth,age (years),6 -- 8,2011 - 2016,mean,1.7,0.08,1.5432,1.8568
12202,t13,t13,ages 6-11,6-8,6,"mean number of decayed, missing, or filled premolars of those with decayed, filled, or missing teeth",DMFT,# DMFT premolars of those with DMFT ,premolars,permanent teeth,age (years),6 -- 8,1999 - 2004,mean,,,,
12220,t13,t13,ages 6-11,6-8,6,"mean number of decayed, missing, or filled premolars of those with decayed, filled, or missing teeth",DMFT,# DMFT premolars of those with DMFT ,premolars,permanent teeth,age (years),6 -- 8,2011 - 2016,mean,,,,
12262,t07,t07,ages 6-8,6-8,6,mean number of decayed teeth of those with decayed or filled teeth,DT,# DT if have DFT,any teeth,primary teeth,poverty status (2 levels),< 200% FPL,2011 - 2016,mean,0.9,0.08,0.7432,1.0568
12263,t07,t07,ages 6-8,6-8,6,mean number of filled teeth of those with decayed or filled teeth,FT,# FT if have DFT,any teeth,primary teeth,poverty status (2 levels),< 200% FPL,2011 - 2016,mean,3.6,0.17,3.2668,3.9332
12265,t06,t06,ages 6-8,6-8,6,prevalence of untreatedd tooth decay,untreated caries,prevalance of untreated caries,any teeth,primary teeth,poverty status (2 levels),< 200% FPL,2011 - 2016,percent,21.6,1.96,17.7584,25.4416
12266,t07,t07,ages 6-8,6-8,6,mean number untreated or decayed teeth of those with decayed or filled teeth,DFT,# DFT if have DFT,any teeth,primary teeth,poverty status (2 levels),< 200% FPL,2011 - 2016,mean,4.5,0.14,4.2256,4.7744
12267,t08,t08,ages 6-8,6-8,6,mean percentage contribution of decayed teeth of those with decayed or filled teeth,DT,% DT/DMFT if have DMFT,any teeth,primary teeth,poverty status (2 levels),< 200% FPL,2011 - 2016,mean,23.3,2.62,18.1648,28.4352
12268,t08,t08,ages 6-8,6-8,6,mean percentage contribution of filled teeth of those with decayed or filled teeth,FT,% FT/DMFT if have DMFT,any teeth,primary teeth,poverty status (2 levels),< 200% FPL,2011 - 2016,mean,76.7,2.62,71.5648,81.8352
12269,t07,t07,ages 6-8,6-8,6,mean number of decayed teeth of those with decayed or filled teeth,DT,# DT if have DFT,any teeth,primary teeth,poverty status (2 levels),≥ 200% FPL,2011 - 2016,mean,0.7,0.12,0.4648,0.9352
12270,t07,t07,ages 6-8,6-8,6,mean number of filled teeth of those with decayed or filled teeth,FT,# FT if have DFT,any teeth,primary teeth,poverty status (2 levels),≥ 200% FPL,2011 - 2016,mean,3.5,0.19,3.1276,3.8724
12272,t07,t07,ages 6-8,6-8,6,mean number untreated or decayed teeth of those with decayed or filled teeth,DFT,# DFT if have DFT,any teeth,primary teeth,poverty status (2 levels),≥ 200% FPL,2011 - 2016,mean,4.2,0.16,3.8864,4.5136
12273,t08,t08,ages 6-8,6-8,6,mean percentage contribution of decayed teeth of those with decayed or filled teeth,DT,% DT/DMFT if have DMFT,any teeth,primary teeth,poverty status (2 levels),≥ 200% FPL,2011 - 2016,mean,19.9,2.72,14.5688,25.2312
12274,t08,t08,ages 6-8,6-8,6,mean percentage contribution of filled teeth of those with decayed or filled teeth,FT,% FT/DMFT if have DMFT,any teeth,primary teeth,poverty status (2 levels),≥ 200% FPL,2011 - 2016,mean,80.1,2.72,74.7688,85.4312
12275,t06,t06,ages 6-8,6-8,6,prevalence of untreatedd tooth decay,untreated caries,prevalance of untreated caries,any teeth,primary teeth,poverty status (2 levels),≥ 200% FPL,2011 - 2016,percent,11.1,1.39,8.3756,13.8244
12306,t05,t05,ages 6-8,6-8,6,prevalence of dental caries,caries,prevalance of caries,any teeth,primary teeth,poverty status (2 levels),< 200% FPL,2011 - 2016,percent,62.3,1.9,58.576,66.024
12316,t05,t05,ages 6-8,6-8,6,prevalence of dental caries,caries,prevalance of caries,any teeth,primary teeth,poverty status (2 levels),≥ 200% FPL,2011 - 2016,percent,40.4,2.46,35.5784,45.2216
11069,t09,t10,ages 6-11,6-8,6,prevalence of dental caries,caries,prevalance of caries,any teeth,permanent teeth,age (years),6 -- 8,1988 - 1994,percent,14.48,1.55,11.442,17.518
11073,t09,t09,ages 6-11,6-8,6,prevalence of dental caries,caries,prevalance of caries,any teeth,permanent teeth,age (years),6 -- 8,1999 - 2004,percent,10.4,1.07,8.3028,12.4972
11080,t09,t09,ages 6-11,6-8,6,prevalence of dental caries,caries,prevalance of caries,any teeth,permanent teeth,age (years),6 -- 8,2011 - 2016,percent,9.6,0.91,7.8164,11.3836
12203,t13,t13,ages 6-11,6-8,6,"mean number of decayed, missing, or filled secondary molars of those with decayed, filled, or missing teeth",DMFT,# DMFT secondary molars of those with DMFT,secondary molars,permanent teeth,age (years),6 -- 8,1999 - 2004,mean,,,,
12221,t13,t13,ages 6-11,6-8,6,"mean number of decayed, missing, or filled secondary molars of those with decayed, filled, or missing teeth",DMFT,# DMFT secondary molars of those with DMFT,secondary molars,permanent teeth,age (years),6 -- 8,2011 - 2016,mean,,,,
12191,t21,t17,ages 6-11,6-8,6,mean number of sealed first molars of those with dental sealants,sealed,# sealed first molars if have sealants,first molars,permanent teeth,age (years),6 -- 8,1988 - 1994,mean,3.22,0.17,2.8868,3.5532
12192,t21,t17,ages 6-11,6-8,6,mean number of sealed premolars of those with dental sealants,sealed,# sealed premolars if have sealants,premolars,permanent teeth,age (years),6 -- 8,1988 - 1994,mean,,,,
12193,t21,t17,ages 6-11,6-8,6,mean number of sealed secondary molars of those with dental sealants,sealed,# sealed secondary molars if have sealants,secondary molars,permanent teeth,age (years),6 -- 8,1988 - 1994,mean,,,,
12194,t20,t16,ages 6-11,6-8,6,mean number of teeth with dental sealants of those with dental dental sealants,sealants,# sealants if have sealant,any teeth,permanent teeth,age (years),6 -- 8,1988 - 1994,mean,3.22,0.17,2.8868,3.5532
12196,t19,t15,ages 6-11,6-8,6,prevalence of dental sealants,sealants,prevalence of sealants,any teeth,permanent teeth,age (years),6 -- 8,1988 - 1994,percent,14.41,2.65,9.216,19.604
12197,t10,t11,ages 6-11,6-8,6,prevalence of untreatedd tooth decay,untreated caries,prevalance of untreated caries,any teeth,permanent teeth,age (years),6 -- 8,1988 - 1994,percent,6.43,0.93,4.6072,8.2528
12207,t21,t21,ages 6-11,6-8,6,mean number of sealed first molars of those with dental sealants,sealed,# sealed first molars if have sealants,first molars,permanent teeth,age (years),6 -- 8,1999 - 2004,mean,3.4,0.08,3.2432,3.5568
12208,t21,t21,ages 6-11,6-8,6,mean number of sealed premolars of those with dental sealants,sealed,# sealed premolars if have sealants,premolars,permanent teeth,age (years),6 -- 8,1999 - 2004,mean,,,,
12209,t21,t21,ages 6-11,6-8,6,mean number of sealed secondary molars of those with dental sealants,sealed,# sealed secondary molars if have sealants,secondary molars,permanent teeth,age (years),6 -- 8,1999 - 2004,mean,,,,
12210,t12,t12,ages 6-11,6-8,6,"mean percentage contribution of decayed teeth of those with decayed, filled or missing teeth",DT,% DT/DMFT if have DMFT,any teeth,permanent teeth,age (years),6 -- 8,1999 - 2004,mean,36.4,6.52,23.6208,49.1792
12211,t12,t12,ages 6-11,6-8,6,"mean percentage contribution of filled teeth of those with decayed, filled or missing teeth",FT,% FT/DMFT if have DMFT,any teeth,permanent teeth,age (years),6 -- 8,1999 - 2004,mean,61.9,6.57,49.0228,74.7772
12212,t20,t20,ages 6-11,6-8,6,mean number of teeth with dental sealants of those with dental dental sealants,sealants,# sealants if have sealant,any teeth,permanent teeth,age (years),6 -- 8,1999 - 2004,mean,3.4,0.08,3.2432,3.5568
12214,t19,t19,ages 6-11,6-8,6,prevalence of dental sealants,sealants,prevalence of sealants,any teeth,permanent teeth,age (years),6 -- 8,1999 - 2004,percent,20.3,1.66,17.0464,23.5536
12215,t10,t10,ages 6-11,6-8,6,prevalence of untreatedd tooth decay,untreated caries,prevalance of untreated caries,any teeth,permanent teeth,age (years),6 -- 8,1999 - 2004,percent,4.1,0.73,2.6692,5.5308
