"data_id","table_2019_benchmark","table_actual","base_population","ages","ages_min","indicator_specific","indicator_abbr","indicator_short","tooth_location","dentition_set","category","subcategory","years","statistic","confidence_level","confidence_value","order"
11208,"t10","t11","ages 6-11","6-11",6,"prevalence of untreatedd tooth decay","untreated caries","prevalance of untreated caries","any teeth","permanent teeth","all","total","1988 - 1994","percent","lower_CI",6.7468,31
11208,"t10","t11","ages 6-11","6-11",6,"prevalence of untreatedd tooth decay","untreated caries","prevalance of untreated caries","any teeth","permanent teeth","all","total","1988 - 1994","percent","upper_CI",10.3532,99968
11337,"t21","t17","ages 6-11","6-11",6,"mean number of sealed first molars of those with dental sealants","sealed","# sealed first molars if have sealants","first molars","permanent teeth","poverty status (3 levels)","< 100% FPL","1988 - 1994","mean","lower_CI",2.6664,33
11337,"t21","t17","ages 6-11","6-11",6,"mean number of sealed first molars of those with dental sealants","sealed","# sealed first molars if have sealants","first molars","permanent teeth","poverty status (3 levels)","< 100% FPL","1988 - 1994","mean","upper_CI",3.2936,99966
11338,"t21","t17","ages 6-11","6-11",6,"mean number of sealed premolars of those with dental sealants","sealed","# sealed premolars if have sealants","premolars","permanent teeth","poverty status (3 levels)","< 100% FPL","1988 - 1994","mean","lower_CI",0.1524,35
11338,"t21","t17","ages 6-11","6-11",6,"mean number of sealed premolars of those with dental sealants","sealed","# sealed premolars if have sealants","premolars","permanent teeth","poverty status (3 levels)","< 100% FPL","1988 - 1994","mean","upper_CI",0.3876,99964
11339,"t21","t17","ages 6-11","6-11",6,"mean number of sealed secondary molars of those with dental sealants","sealed","# sealed secondary molars if have sealants","secondary molars","permanent teeth","poverty status (3 levels)","< 100% FPL","1988 - 1994","mean","lower_CI",0.4304,37
11339,"t21","t17","ages 6-11","6-11",6,"mean number of sealed secondary molars of those with dental sealants","sealed","# sealed secondary molars if have sealants","secondary molars","permanent teeth","poverty status (3 levels)","< 100% FPL","1988 - 1994","mean","upper_CI",1.4496,99962
11340,"t20","t16","ages 6-11","6-11",6,"mean number of teeth with dental sealants of those with dental dental sealants","sealants","# sealants if have sealant","any teeth","permanent teeth","poverty status (3 levels)","< 100% FPL","1988 - 1994","mean","lower_CI",2.7984,39
11340,"t20","t16","ages 6-11","6-11",6,"mean number of teeth with dental sealants of those with dental dental sealants","sealants","# sealants if have sealant","any teeth","permanent teeth","poverty status (3 levels)","< 100% FPL","1988 - 1994","mean","upper_CI",3.6216,99960
11341,"t09","t10","ages 6-11","6-11",6,"prevalence of dental caries","caries","prevalance of caries","any teeth","permanent teeth","poverty status (3 levels)","< 100% FPL","1988 - 1994","percent","lower_CI",22.0808,41
11341,"t09","t10","ages 6-11","6-11",6,"prevalence of dental caries","caries","prevalance of caries","any teeth","permanent teeth","poverty status (3 levels)","< 100% FPL","1988 - 1994","percent","upper_CI",33.9192,99958
11342,"t19","t15","ages 6-11","6-11",6,"prevalence of dental sealants","sealants","prevalence of sealants","any teeth","permanent teeth","poverty status (3 levels)","< 100% FPL","1988 - 1994","percent","lower_CI",6.1536,43
11342,"t19","t15","ages 6-11","6-11",6,"prevalence of dental sealants","sealants","prevalence of sealants","any teeth","permanent teeth","poverty status (3 levels)","< 100% FPL","1988 - 1994","percent","upper_CI",18.2664,99956
11343,"t10","t11","ages 6-11","6-11",6,"prevalence of untreatedd tooth decay","untreated caries","prevalance of untreated caries","any teeth","permanent teeth","poverty status (3 levels)","< 100% FPL","1988 - 1994","percent","lower_CI",10.32,45
11343,"t10","t11","ages 6-11","6-11",6,"prevalence of untreatedd tooth decay","untreated caries","prevalance of untreated caries","any teeth","permanent teeth","poverty status (3 levels)","< 100% FPL","1988 - 1994","percent","upper_CI",17.18,99954
11344,"t21","t17","ages 6-11","6-11",6,"mean number of sealed first molars of those with dental sealants","sealed","# sealed first molars if have sealants","first molars","permanent teeth","poverty status (3 levels)","= 200% FPL","1988 - 1994","mean","lower_CI",3.2332,47
11344,"t21","t17","ages 6-11","6-11",6,"mean number of sealed first molars of those with dental sealants","sealed","# sealed first molars if have sealants","first molars","permanent teeth","poverty status (3 levels)","= 200% FPL","1988 - 1994","mean","upper_CI",3.5468,99952
11345,"t21","t17","ages 6-11","6-11",6,"mean number of sealed premolars of those with dental sealants","sealed","# sealed premolars if have sealants","premolars","permanent teeth","poverty status (3 levels)","= 200% FPL","1988 - 1994","mean","lower_CI",NA,49
11345,"t21","t17","ages 6-11","6-11",6,"mean number of sealed premolars of those with dental sealants","sealed","# sealed premolars if have sealants","premolars","permanent teeth","poverty status (3 levels)","= 200% FPL","1988 - 1994","mean","upper_CI",NA,99950
11346,"t21","t17","ages 6-11","6-11",6,"mean number of sealed secondary molars of those with dental sealants","sealed","# sealed secondary molars if have sealants","secondary molars","permanent teeth","poverty status (3 levels)","= 200% FPL","1988 - 1994","mean","lower_CI",NA,51
11346,"t21","t17","ages 6-11","6-11",6,"mean number of sealed secondary molars of those with dental sealants","sealed","# sealed secondary molars if have sealants","secondary molars","permanent teeth","poverty status (3 levels)","= 200% FPL","1988 - 1994","mean","upper_CI",NA,99948
11347,"t19","t15","ages 6-11","6-11",6,"prevalence of dental sealants","sealants","prevalence of sealants","any teeth","permanent teeth","poverty status (3 levels)","= 200% FPL","1988 - 1994","percent","lower_CI",23.8604,53
11347,"t19","t15","ages 6-11","6-11",6,"prevalence of dental sealants","sealants","prevalence of sealants","any teeth","permanent teeth","poverty status (3 levels)","= 200% FPL","1988 - 1994","percent","upper_CI",34.6796,99946
11348,"t20","t16","ages 6-11","6-11",6,"mean number of teeth with dental sealants of those with dental dental sealants","sealants","# sealants if have sealant","any teeth","permanent teeth","poverty status (3 levels)","= 200% FPL","1988 - 1994","mean","lower_CI",3.3832,55
11348,"t20","t16","ages 6-11","6-11",6,"mean number of teeth with dental sealants of those with dental dental sealants","sealants","# sealants if have sealant","any teeth","permanent teeth","poverty status (3 levels)","= 200% FPL","1988 - 1994","mean","upper_CI",3.6968,99944
11349,"t09","t10","ages 6-11","6-11",6,"prevalence of dental caries","caries","prevalance of caries","any teeth","permanent teeth","poverty status (3 levels)","= 200% FPL","1988 - 1994","percent","lower_CI",18.4972,57
11349,"t09","t10","ages 6-11","6-11",6,"prevalence of dental caries","caries","prevalance of caries","any teeth","permanent teeth","poverty status (3 levels)","= 200% FPL","1988 - 1994","percent","upper_CI",26.0628,99942
11350,"t10","t11","ages 6-11","6-11",6,"prevalence of untreatedd tooth decay","untreated caries","prevalance of untreated caries","any teeth","permanent teeth","poverty status (3 levels)","= 200% FPL","1988 - 1994","percent","lower_CI",2.9772,59
11350,"t10","t11","ages 6-11","6-11",6,"prevalence of untreatedd tooth decay","untreated caries","prevalance of untreated caries","any teeth","permanent teeth","poverty status (3 levels)","= 200% FPL","1988 - 1994","percent","upper_CI",7.6028,99940
11351,"t21","t17","ages 6-11","6-11",6,"mean number of sealed first molars of those with dental sealants","sealed","# sealed first molars if have sealants","first molars","permanent teeth","poverty status (3 levels)","100% -- 199% FPL","1988 - 1994","mean","lower_CI",2.4968,61
11351,"t21","t17","ages 6-11","6-11",6,"mean number of sealed first molars of those with dental sealants","sealed","# sealed first molars if have sealants","first molars","permanent teeth","poverty status (3 levels)","100% -- 199% FPL","1988 - 1994","mean","upper_CI",3.1632,99938
11352,"t21","t17","ages 6-11","6-11",6,"mean number of sealed premolars of those with dental sealants","sealed","# sealed premolars if have sealants","premolars","permanent teeth","poverty status (3 levels)","100% -- 199% FPL","1988 - 1994","mean","lower_CI",NA,63
11352,"t21","t17","ages 6-11","6-11",6,"mean number of sealed premolars of those with dental sealants","sealed","# sealed premolars if have sealants","premolars","permanent teeth","poverty status (3 levels)","100% -- 199% FPL","1988 - 1994","mean","upper_CI",NA,99936
11353,"t21","t17","ages 6-11","6-11",6,"mean number of sealed secondary molars of those with dental sealants","sealed","# sealed secondary molars if have sealants","secondary molars","permanent teeth","poverty status (3 levels)","100% -- 199% FPL","1988 - 1994","mean","lower_CI",NA,65
11353,"t21","t17","ages 6-11","6-11",6,"mean number of sealed secondary molars of those with dental sealants","sealed","# sealed secondary molars if have sealants","secondary molars","permanent teeth","poverty status (3 levels)","100% -- 199% FPL","1988 - 1994","mean","upper_CI",NA,99934
11354,"t20","t16","ages 6-11","6-11",6,"mean number of teeth with dental sealants of those with dental dental sealants","sealants","# sealants if have sealant","any teeth","permanent teeth","poverty status (3 levels)","100% -- 199% FPL","1988 - 1994","mean","lower_CI",2.616,67
11354,"t20","t16","ages 6-11","6-11",6,"mean number of teeth with dental sealants of those with dental dental sealants","sealants","# sealants if have sealant","any teeth","permanent teeth","poverty status (3 levels)","100% -- 199% FPL","1988 - 1994","mean","upper_CI",3.204,99932
11355,"t09","t10","ages 6-11","6-11",6,"prevalence of dental caries","caries","prevalance of caries","any teeth","permanent teeth","poverty status (3 levels)","100% -- 199% FPL","1988 - 1994","percent","lower_CI",23.9512,69
11355,"t09","t10","ages 6-11","6-11",6,"prevalence of dental caries","caries","prevalance of caries","any teeth","permanent teeth","poverty status (3 levels)","100% -- 199% FPL","1988 - 1994","percent","upper_CI",35.8288,99930
11356,"t10","t11","ages 6-11","6-11",6,"prevalence of untreatedd tooth decay","untreated caries","prevalance of untreated caries","any teeth","permanent teeth","poverty status (3 levels)","100% -- 199% FPL","1988 - 1994","percent","lower_CI",7.3264,71
11356,"t10","t11","ages 6-11","6-11",6,"prevalence of untreatedd tooth decay","untreated caries","prevalance of untreated caries","any teeth","permanent teeth","poverty status (3 levels)","100% -- 199% FPL","1988 - 1994","percent","upper_CI",13.8336,99928
11357,"t19","t15","ages 6-11","6-11",6,"prevalence of dental sealants","sealants","prevalence of sealants","any teeth","permanent teeth","poverty status (3 levels)","100% -- 199% FPL","1988 - 1994","percent","lower_CI",10.5592,73
11357,"t19","t15","ages 6-11","6-11",6,"prevalence of dental sealants","sealants","prevalence of sealants","any teeth","permanent teeth","poverty status (3 levels)","100% -- 199% FPL","1988 - 1994","percent","upper_CI",22.2408,99926
11436,"t21","t17","ages 6-11","6-11",6,"mean number of sealed first molars of those with dental sealants","sealed","# sealed first molars if have sealants","first molars","permanent teeth","race and ethnicity","Black, non-Hispanic","1988 - 1994","mean","lower_CI",2.7452,75
11436,"t21","t17","ages 6-11","6-11",6,"mean number of sealed first molars of those with dental sealants","sealed","# sealed first molars if have sealants","first molars","permanent teeth","race and ethnicity","Black, non-Hispanic","1988 - 1994","mean","upper_CI",3.2548,99924
11437,"t21","t17","ages 6-11","6-11",6,"mean number of sealed premolars of those with dental sealants","sealed","# sealed premolars if have sealants","premolars","permanent teeth","race and ethnicity","Black, non-Hispanic","1988 - 1994","mean","lower_CI",NA,77
11437,"t21","t17","ages 6-11","6-11",6,"mean number of sealed premolars of those with dental sealants","sealed","# sealed premolars if have sealants","premolars","permanent teeth","race and ethnicity","Black, non-Hispanic","1988 - 1994","mean","upper_CI",NA,99922
11438,"t21","t17","ages 6-11","6-11",6,"mean number of sealed secondary molars of those with dental sealants","sealed","# sealed secondary molars if have sealants","secondary molars","permanent teeth","race and ethnicity","Black, non-Hispanic","1988 - 1994","mean","lower_CI",NA,79
11438,"t21","t17","ages 6-11","6-11",6,"mean number of sealed secondary molars of those with dental sealants","sealed","# sealed secondary molars if have sealants","secondary molars","permanent teeth","race and ethnicity","Black, non-Hispanic","1988 - 1994","mean","upper_CI",NA,99920
11439,"t20","t16","ages 6-11","6-11",6,"mean number of teeth with dental sealants of those with dental dental sealants","sealants","# sealants if have sealant","any teeth","permanent teeth","race and ethnicity","Black, non-Hispanic","1988 - 1994","mean","lower_CI",2.8984,81
11439,"t20","t16","ages 6-11","6-11",6,"mean number of teeth with dental sealants of those with dental dental sealants","sealants","# sealants if have sealant","any teeth","permanent teeth","race and ethnicity","Black, non-Hispanic","1988 - 1994","mean","upper_CI",3.7216,99918
11440,"t09","t10","ages 6-11","6-11",6,"prevalence of dental caries","caries","prevalance of caries","any teeth","permanent teeth","race and ethnicity","Black, non-Hispanic","1988 - 1994","percent","lower_CI",19.4992,83
11440,"t09","t10","ages 6-11","6-11",6,"prevalence of dental caries","caries","prevalance of caries","any teeth","permanent teeth","race and ethnicity","Black, non-Hispanic","1988 - 1994","percent","upper_CI",27.2608,99916
11441,"t19","t15","ages 6-11","6-11",6,"prevalence of dental sealants","sealants","prevalence of sealants","any teeth","permanent teeth","race and ethnicity","Black, non-Hispanic","1988 - 1994","percent","lower_CI",8.1324,85
11441,"t19","t15","ages 6-11","6-11",6,"prevalence of dental sealants","sealants","prevalence of sealants","any teeth","permanent teeth","race and ethnicity","Black, non-Hispanic","1988 - 1994","percent","upper_CI",11.3076,99914
11442,"t10","t11","ages 6-11","6-11",6,"prevalence of untreatedd tooth decay","untreated caries","prevalance of untreated caries","any teeth","permanent teeth","race and ethnicity","Black, non-Hispanic","1988 - 1994","percent","lower_CI",10.542,87
11442,"t10","t11","ages 6-11","6-11",6,"prevalence of untreatedd tooth decay","untreated caries","prevalance of untreated caries","any teeth","permanent teeth","race and ethnicity","Black, non-Hispanic","1988 - 1994","percent","upper_CI",15.638,99912
11443,"t21","t17","ages 6-11","6-11",6,"mean number of sealed first molars of those with dental sealants","sealed","# sealed first molars if have sealants","first molars","permanent teeth","race and ethnicity","Mexican American","1988 - 1994","mean","lower_CI",2.4244,89
11443,"t21","t17","ages 6-11","6-11",6,"mean number of sealed first molars of those with dental sealants","sealed","# sealed first molars if have sealants","first molars","permanent teeth","race and ethnicity","Mexican American","1988 - 1994","mean","upper_CI",2.8556,99910
11444,"t21","t17","ages 6-11","6-11",6,"mean number of sealed premolars of those with dental sealants","sealed","# sealed premolars if have sealants","premolars","permanent teeth","race and ethnicity","Mexican American","1988 - 1994","mean","lower_CI",NA,91
11444,"t21","t17","ages 6-11","6-11",6,"mean number of sealed premolars of those with dental sealants","sealed","# sealed premolars if have sealants","premolars","permanent teeth","race and ethnicity","Mexican American","1988 - 1994","mean","upper_CI",NA,99908
11445,"t21","t17","ages 6-11","6-11",6,"mean number of sealed secondary molars of those with dental sealants","sealed","# sealed secondary molars if have sealants","secondary molars","permanent teeth","race and ethnicity","Mexican American","1988 - 1994","mean","lower_CI",0.2756,93
11445,"t21","t17","ages 6-11","6-11",6,"mean number of sealed secondary molars of those with dental sealants","sealed","# sealed secondary molars if have sealants","secondary molars","permanent teeth","race and ethnicity","Mexican American","1988 - 1994","mean","upper_CI",0.8244,99906
11446,"t20","t16","ages 6-11","6-11",6,"mean number of teeth with dental sealants of those with dental dental sealants","sealants","# sealants if have sealant","any teeth","permanent teeth","race and ethnicity","Mexican American","1988 - 1994","mean","lower_CI",2.5968,95
11446,"t20","t16","ages 6-11","6-11",6,"mean number of teeth with dental sealants of those with dental dental sealants","sealants","# sealants if have sealant","any teeth","permanent teeth","race and ethnicity","Mexican American","1988 - 1994","mean","upper_CI",3.2632,99904
11447,"t09","t10","ages 6-11","6-11",6,"prevalence of dental caries","caries","prevalance of caries","any teeth","permanent teeth","race and ethnicity","Mexican American","1988 - 1994","percent","lower_CI",24.3848,97
11447,"t09","t10","ages 6-11","6-11",6,"prevalence of dental caries","caries","prevalance of caries","any teeth","permanent teeth","race and ethnicity","Mexican American","1988 - 1994","percent","upper_CI",30.7352,99902
11448,"t19","t15","ages 6-11","6-11",6,"prevalence of dental sealants","sealants","prevalence of sealants","any teeth","permanent teeth","race and ethnicity","Mexican American","1988 - 1994","percent","lower_CI",7.8736,99
11448,"t19","t15","ages 6-11","6-11",6,"prevalence of dental sealants","sealants","prevalence of sealants","any teeth","permanent teeth","race and ethnicity","Mexican American","1988 - 1994","percent","upper_CI",14.1064,99900
11449,"t10","t11","ages 6-11","6-11",6,"prevalence of untreatedd tooth decay","untreated caries","prevalance of untreated caries","any teeth","permanent teeth","race and ethnicity","Mexican American","1988 - 1994","percent","lower_CI",9.696,101
11449,"t10","t11","ages 6-11","6-11",6,"prevalence of untreatedd tooth decay","untreated caries","prevalance of untreated caries","any teeth","permanent teeth","race and ethnicity","Mexican American","1988 - 1994","percent","upper_CI",16.164,99898
11450,"t21","t17","ages 6-11","6-11",6,"mean number of sealed first molars of those with dental sealants","sealed","# sealed first molars if have sealants","first molars","permanent teeth","race and ethnicity","White, non-Hispanic","1988 - 1994","mean","lower_CI",3.0844,103
11450,"t21","t17","ages 6-11","6-11",6,"mean number of sealed first molars of those with dental sealants","sealed","# sealed first molars if have sealants","first molars","permanent teeth","race and ethnicity","White, non-Hispanic","1988 - 1994","mean","upper_CI",3.5156,99896
11451,"t21","t17","ages 6-11","6-11",6,"mean number of sealed premolars of those with dental sealants","sealed","# sealed premolars if have sealants","premolars","permanent teeth","race and ethnicity","White, non-Hispanic","1988 - 1994","mean","lower_CI",NA,105
11451,"t21","t17","ages 6-11","6-11",6,"mean number of sealed premolars of those with dental sealants","sealed","# sealed premolars if have sealants","premolars","permanent teeth","race and ethnicity","White, non-Hispanic","1988 - 1994","mean","upper_CI",NA,99894
11452,"t21","t17","ages 6-11","6-11",6,"mean number of sealed secondary molars of those with dental sealants","sealed","# sealed secondary molars if have sealants","secondary molars","permanent teeth","race and ethnicity","White, non-Hispanic","1988 - 1994","mean","lower_CI",NA,107
11452,"t21","t17","ages 6-11","6-11",6,"mean number of sealed secondary molars of those with dental sealants","sealed","# sealed secondary molars if have sealants","secondary molars","permanent teeth","race and ethnicity","White, non-Hispanic","1988 - 1994","mean","upper_CI",NA,99892
11453,"t20","t16","ages 6-11","6-11",6,"mean number of teeth with dental sealants of those with dental dental sealants","sealants","# sealants if have sealant","any teeth","permanent teeth","race and ethnicity","White, non-Hispanic","1988 - 1994","mean","lower_CI",3.2144,109
11453,"t20","t16","ages 6-11","6-11",6,"mean number of teeth with dental sealants of those with dental dental sealants","sealants","# sealants if have sealant","any teeth","permanent teeth","race and ethnicity","White, non-Hispanic","1988 - 1994","mean","upper_CI",3.6456,99890
11454,"t09","t10","ages 6-11","6-11",6,"prevalence of dental caries","caries","prevalance of caries","any teeth","permanent teeth","race and ethnicity","White, non-Hispanic","1988 - 1994","percent","lower_CI",20.2208,111
11454,"t09","t10","ages 6-11","6-11",6,"prevalence of dental caries","caries","prevalance of caries","any teeth","permanent teeth","race and ethnicity","White, non-Hispanic","1988 - 1994","percent","upper_CI",27.1592,99888
11455,"t19","t15","ages 6-11","6-11",6,"prevalence of dental sealants","sealants","prevalence of sealants","any teeth","permanent teeth","race and ethnicity","White, non-Hispanic","1988 - 1994","percent","lower_CI",20.3256,113
11455,"t19","t15","ages 6-11","6-11",6,"prevalence of dental sealants","sealants","prevalence of sealants","any teeth","permanent teeth","race and ethnicity","White, non-Hispanic","1988 - 1994","percent","upper_CI",32.6344,99886
11456,"t10","t11","ages 6-11","6-11",6,"prevalence of untreatedd tooth decay","untreated caries","prevalance of untreated caries","any teeth","permanent teeth","race and ethnicity","White, non-Hispanic","1988 - 1994","percent","lower_CI",4.2588,115
11456,"t10","t11","ages 6-11","6-11",6,"prevalence of untreatedd tooth decay","untreated caries","prevalance of untreated caries","any teeth","permanent teeth","race and ethnicity","White, non-Hispanic","1988 - 1994","percent","upper_CI",8.0612,99884
11565,"t21","t17","ages 6-11","6-11",6,"mean number of sealed first molars of those with dental sealants","sealed","# sealed first molars if have sealants","first molars","permanent teeth","sex","female","1988 - 1994","mean","lower_CI",2.9252,117
11565,"t21","t17","ages 6-11","6-11",6,"mean number of sealed first molars of those with dental sealants","sealed","# sealed first molars if have sealants","first molars","permanent teeth","sex","female","1988 - 1994","mean","upper_CI",3.4348,99882
11566,"t21","t17","ages 6-11","6-11",6,"mean number of sealed premolars of those with dental sealants","sealed","# sealed premolars if have sealants","premolars","permanent teeth","sex","female","1988 - 1994","mean","lower_CI",NA,119
11566,"t21","t17","ages 6-11","6-11",6,"mean number of sealed premolars of those with dental sealants","sealed","# sealed premolars if have sealants","premolars","permanent teeth","sex","female","1988 - 1994","mean","upper_CI",NA,99880
11567,"t21","t17","ages 6-11","6-11",6,"mean number of sealed secondary molars of those with dental sealants","sealed","# sealed secondary molars if have sealants","secondary molars","permanent teeth","sex","female","1988 - 1994","mean","lower_CI",NA,121
11567,"t21","t17","ages 6-11","6-11",6,"mean number of sealed secondary molars of those with dental sealants","sealed","# sealed secondary molars if have sealants","secondary molars","permanent teeth","sex","female","1988 - 1994","mean","upper_CI",NA,99878
11568,"t20","t16","ages 6-11","6-11",6,"mean number of teeth with dental sealants of those with dental dental sealants","sealants","# sealants if have sealant","any teeth","permanent teeth","sex","female","1988 - 1994","mean","lower_CI",3.1452,123
11568,"t20","t16","ages 6-11","6-11",6,"mean number of teeth with dental sealants of those with dental dental sealants","sealants","# sealants if have sealant","any teeth","permanent teeth","sex","female","1988 - 1994","mean","upper_CI",3.6548,99876
11569,"t09","t10","ages 6-11","6-11",6,"prevalence of dental caries","caries","prevalance of caries","any teeth","permanent teeth","sex","female","1988 - 1994","percent","lower_CI",23.668,125
11569,"t09","t10","ages 6-11","6-11",6,"prevalence of dental caries","caries","prevalance of caries","any teeth","permanent teeth","sex","female","1988 - 1994","percent","upper_CI",31.312,99874
11570,"t19","t15","ages 6-11","6-11",6,"prevalence of dental sealants","sealants","prevalence of sealants","any teeth","permanent teeth","sex","female","1988 - 1994","percent","lower_CI",18.2496,127
11570,"t19","t15","ages 6-11","6-11",6,"prevalence of dental sealants","sealants","prevalence of sealants","any teeth","permanent teeth","sex","female","1988 - 1994","percent","upper_CI",27.0304,99872
11571,"t10","t11","ages 6-11","6-11",6,"prevalence of untreatedd tooth decay","untreated caries","prevalance of untreated caries","any teeth","permanent teeth","sex","female","1988 - 1994","percent","lower_CI",7.5028,129
