code,code_dot,Any,description,notes
K132,K13.2,x,"Leukoplakia and other disturbances of oral epithelium, including tongue",
K1321,K13.21,x,"Leukoplakia and other disturbances of oral epithelium, including tongue",
K1322,K13.22,x,Minimal keratinized residual ridge mucosa,
K1323,K13.23,x,Excessive keratinized residual ridge mucosa,
K1324,K13.24,x,Leukokeratosis nicotina palati,
K1329,K13.29,x,"Other disturbances of oral epithelium, including tongue",
K133,K13.3,x,Hairy leukoplakia,
K134,K13.4,x,Granuloma and granuloma-like mesions of oral mucosa,
K135,K13.5,x,Oral submucous fibrosis,
K136,K13.6,x,Irritave hyperplasia of oral mucosa,
K137,K13.7,x,Other and unspecified lesions of oral mucosa,
K1370,K13.70,x,Unspecified lesions of oral mucosa,
K1379,K13.79,x,Other lesions of oral mucosa,
K14,K14,x,Glossitis,
K140,K14.0,x,Glossitis,
K141,K14.1,x,Geographic tongue,
K142,K14.2,x,Median rhomboid glossitis,
K143,K14.3,x,Hypertrophy of tongue papillae,
K144,K14.4,x,Atrophy of tongue papillae,
K145,K14.5,x,Plicated tongue,
K146,K14.6,x,Glossodynia,
K148,K14.8,x,Other diseases of tongue,
K149,K14.9,x,"Disease of tongue, unspecified",
M26,M26,x,Dentofacial anomalies [including malocclusion],
M260,M260,x,Major anomalies of jaw size,
M2600,M26.00,x,Unspecified anomaly of jaw size,
M2601,M26.01,x,Maxillary hyperplasia,
M2602,M26.02,x,Maxillary hypoplasia,
M2603,M26.03,x,Mandibular hyperplasia,
M2604,M26.04,x,Mandibular hypoplasia,
M2605,M26.05,x,Macrogenia,
M2606,M26.06,x,Microgenia,
M2607,M26.07,x,Excessive tuberosity of jaw,
M2609,M26.09,x,Other specified anomalies of jaw size,
M261,M26.1,x,Anomalies of jaw-cranial base relationship,
M2610,M26.10,x,Unspecified anomaly of jaw-cranial base relationship,
M2611,M26.11,x,Maxillary asymmetry,
M2612,M26.12,x,Other jaw assymmetry,
M2619,M29.19,x,Other specified anomalies of jaw-cranial base relationship,
M262,M26.2,x,Anomalies of dental arch relationship,
M2620,M26.20,x,Unspecified anomaly of dental arch relationship,
M2621,M26.21,x,"Malocclusion, Angle's class",
M26211,M26.211,x,"Malocclusion, Angle's class I",
M26212,M26.212,x,"Malocclusion, Angle's class II",
M26213,M26.213,x,"Malocclusion, Angle's class III",
M26219,M26.219,x,"Malocclusion, Angle's class unspecified",
M2622,M26.22,x,Open occlusal relationship,
M26220,M26.220,x,Open anterior occlusal relationship,
M26221,M26.221,x,Open posterior occlusal relationship,
M2623,M26.23,x,Excessive horizontal overlap,
M2624,M26.24,x,Reverse articulation,
M2625,M26.25,x,Anomalies of interarch distance,
M2629,M26.29,x,Other anomalies of dental arch relationship,
M263,M26.3,x,Anomalies of tooth position of fully erupted tooth or teeth,
M2630,M26.30,x,Unspecified anomaly of tooth position of fully erupted tooth/teeth,
M2631,M26.31,x,Crowding of fully erupted teeth,
M2632,M26.32,x,Excessive spacing of fully erupted teeth,
M2633,M26.33,x,Horizontal displacement of fully erupted tooth or teeth,
M2634,M26.34,x,Vertical displacement of fully erupted tooth or teeth,
M2635,M26.35,x,Rotation of fully erupted tooth or teeth,
M2636,M26.36,x,Insufficient interocclusal distance of fully erupted teeth,
M2637,M26.37,x,Excessive interocclusal distance of fully erupted teeth,
M2639,M26.39,x,Other anomalies of tooth position of fully erupted tooth/teeth,
M264,M26.4,x,"Malocclusion, unspecified",
M265,M26.5,x,Dentofacial functional abnormalities,
M2650,M26.50,x,"Dentofacial function abnormalities, unspecified",
M2651,M26.51,x,Abnormal jaw closure,
M2652,M26.52,x,Limited mandibular range of motion,
M2653,M26.53,x,Deviation in opening and closing of the mandible,
M2654,M26.54,x,Insufficient anterior guidance,
M2655,M26.55,x,Centric occlusion maximum intercuspation discrepancy,
M2656,M26.56,x,Non-workign side interference,
M2657,M26.57,x,Lack of posterior occlusal support,
M2659,M26.59,x,Other dentofacial functional abnormalities,
M266,M26.6,x,Temporomandibular joint disorders,
M2660,M26.60,x,"Temporomandibular joint disorder, unspecified",
M26601,M26.601,x,"Right temproromandibular joint disorder, unspecified",
M26602,M26.602,x,"Left termporomandibular joint disorder, unspecified",
M26603,M26.603,x,"Bilateral termporomandibular joint disorder, unspecified",
M26609,M26.609,x,"Unspecified TMJ joint disorder, unspecified side",
M2661,M26.61,x,Adhesions and ankylosis of temporomandibular joint,
M26611,M26.611,x,Adhesions and ankylosis of right temporomandibular joint,
M26612,M26.612,x,Adhesions and ankylosis of left temporomandibular joint,
M26613,M26.613,x,Adhesions and ankylosis of bilateral temporomandibular joint,
M26619,M26.619,x,"Adhesions and ankylosis of TMJ joint, unspecified side",
M2662,M26.62,x,Arthralgia of temporomandibular joint,
M26621,M26.621,x,Arthralgia of right temporomandibular joint,
M26622,M26.622,x,Arthralgia of left temporomandibular joint,
M26623,M26.623,x,Arthralgia of bilateral termporomandibular joint,
M26629,M26.629,x,"Arthralgia of temporomandibular joint, unspecified side",
M2663,M26.63,x,Articular disc disorder of temporomandibular joint,
M26631,M26.631,x,Articular disc disorder of right termporomandibular joint,
M26632,M26.632,x,Articular disc disorder of left temporomandibular joint,
M26633,M26.633,x,Articular disc disorder of bilateral temporomandibular joint,
M26639,M26.639,x,"Articular disc disorder of TMJ joint, unspecified side",
M2669,M26.69,x,Other specified disorders of temporomandibular joint,
M267,M26.7,x,Dental alveolar anomalies,
M2670,M26.70,x,Unspecified alveolar anomaly,
M2671,M26.71,x,Alveolar maxillary hyperplasia,
M2672,M26.72,x,Alveolar mandibular hyperplasia,
M2673,M26.73,x,Alveolar maxillary hypoplasia,
M2674,M26.74,x,Alveolar mandibular hypoplasia,
M2679,M26.79,x,Other specified alveolar anomalies,
M268,M26.8,x,Other dentofacial anomalies,
M2681,M26.81,x,Anterior soft tissue impingement,
M2682,M26.82,x,Posterior soft tissue impingement,
M2689,M26.89,x,Other dentofacial anomalies,
M269,M26.9,x,"Dentofacial anomaly, unspecified",
M27,M27,x,Other diseases of jaws,
M270,M27.0,x,Developmental disorders of jaws,
M271,M27.1,x,"Giant cell granuloma, central",
M272,M27.2,x,Inflammatory conditions of jaws,
M273,M27.3,x,Alveolitis of jaws,
M274,M27.4,x,Other and unspecified cysts of jaw,
M2740,M27.40,x,Unspecified cyst of jaw,
M2749,M27.49,x,Other cyst s of jaw,
M275,M27.5,x,Periradicular pathology associated with previous endodontic treatment,
M2751,M27.51,x,Perforation of root canal space due to endodontic treatment,
M2752,M27.52,x,Endodontic overfill,
M2753,M27.53,x,Endodontic underfill,
M2759,M27.59,x,Other periradicular pathology associated with preventive endodontic treatment,
M276,M27.6,x,Endosseous dental implant failure,
M2761,M27.61,x,Osseointegration failure of dental implant,
M2762,M27.62,x,Post-osseointegration of biological failure of dental implant,
M2763,M27.63,x,Post-osseointegration mechanical failur of dental implant,
M2769,M27.69,x,Other endosseous dentla implant failure,
M278,M27.8,x,Other specified diseases of jaws,
M279,M27.9,x,"Disease of jaws, unspecified",
M7911,M79.11,x,Myalgia of mastication muscle,added 2019
R682,R68.2,x,"Dry mouth, unspecified",
R6884,R68.84,x,Jaw pain,
R859,R85.9,x,Unspecified abnormal finding in specimens from digsetive organs and abdominal cavity,"Suggested translation from ICD-9 code 7924 = ""Nonspecific abnormal findings in saliva"""
S014,S0.1.4,x,Open wound of cheek and temporomandibular area,
S0140,S01.40,x,Unspecified open wound of cheek and temporomandibular area,
S01401,S01.401,x,Unspecified open wound of right cheek and temporomandibular area,
S01401A,S01.401A,x,"Unspecified open wound of right cheek and temporomandibular area, initial encounter",
S01401D,S01.401D,x,"Unspecified open wound of right cheek and temporomandibular area, subsequent encounter",
S01401S,S01.401S,x,"Unspecified open wound of right cheek and temporomandibular area, sequela",
S01402,S01.402,x,Unspecified open wound of left cheek and temporomandibular area,
S01402A,S01.402A,x,"Unspecified open wound of left cheek and temporomandibular area, initial encounter",
S01402D,S01.402D,x,"Unspecified open wound of left cheek and temporomandibular area, subsequent encounter",
S01402S,S01.402S,x,"Unspecified open wound of left cheek and temporomandibular area, sequela",
S01409,S01.409,x,Unspecified open wound of unspecified cheek and temporomandibular area,
S01409A,S01.409A,x,"Unspecified open wound of unspecified cheek and temporomandibular area, initial encounter",
S01409D,S01.409D,x,"Unspecified open wound of unspecified cheek and temporomandibular area, subsequent encounter",
S01409S,S01.409S,x,"Unspecified open wound of unspecified cheek and temporomandibular area, sequela",
S0141,S01.41,x,Laceration without foreign body of cheek and temporomandibular area,
S01411,S01.411,x,Laceration without foreign body of right cheek and temporomandibular area,
S01411A,S01.411A,x,"Laceration without foreign body of right cheek and temporomandibular area, initial encounter",
S01411D,S01.411D,x,"Laceration without foreign body of right cheek and temporomandibular area, subsequent encounter",
S01411S,S01.411S,x,"Laceration without foreign body of right cheek and temporomandibular area, sequela",
S01412,S01.412,x,Laceration without foreign body of left cheek and temporomandibular area,
S01412A,S01.412A,x,"Laceration without foreign body of left cheek and temporomandibular area, initial encounter",
S01412D,S01.412D,x,"Laceration without foreign body of left cheek and temporomandibular area, subsequent encounter",
S01412S,S01.412S,x,"Laceration without foreign body of left cheek and temporomandibular area, sequela",
S01419,S01.419,x,Laceration without foreign body of unspecified cheek and temporomandibular area,
S01419A,S01.419A,x,"Laceration without foreign body of unspecified cheek and temporomandibular area, initial encounter",
S01419D,S01.419D,x,"Laceration without foreign body of unspecified cheek and temporomandibular area, subsequent encounter",
S01419S,S01.419S,x,"Laceration without foreign body of unspecified cheek and temporomandibular area, sequela",
S0142,S01.42,x,Laceration with foreign body of cheek and temporomandibular area,
S01421,S01.421,x,Laceration with foreign body of right cheek and temporomandibular area,
S01421A,S01.421A,x,"Laceration with foreign body of right cheek and temporomandibular area, initial encounter",
S01421D,S01.421D,x,"Laceration with foreign body of right cheek and temporomandibular area, subsequent encounter",
S01421S,S01.421S,x,"Laceration with foreign body of right cheek and temporomandibular area, sequela",
S01422,S01.422,x,Laceration with foreign body of left cheek and temporomandibular area,
S01422A,S01.422A,x,"Laceration with foreign body of left cheek and temporomandibular area, initial encounter",
S01422D,S01.422D,x,"Laceration with foreign body of left cheek and temporomandibular area, subsequent encounter",
S01422S,S01.422S,x,"Laceration with foreign body of left cheek and temporomandibular area, sequela",
S01429,S01.429,x,Laceration with foreign body of unspecified cheek and temporomandibular area,
S01429A,S01.429A,x,"Laceration with foreign body of unspecified cheek and temporomandibular area, initial encounter",
S01429D,S01.429D,x,"Laceration with foreign body of unspecified cheek and temporomandibular area, subsequent encounter",
S01429S,S01.429S,x,"Laceration with foreign body of unspecified cheek and temporomandibular area, sequela",
S0143,S01.43,x,Puncture wound without foreign body of cheek and temporomandibular area,
S01431,S01.431,x,Puncture wound without foreign body of right cheek and temporomandibular area,
S01431A,S01.431A,x,"Puncture wound without foreign body of right cheek and temporomandibular area, initial encounter",
S01431D,S01.431D,x,"Puncture wound without foreign body of right cheek and temporomandibular area, subsequent encounter",
S01431S,S01.431S,x,"Puncture wound without foreign body of right cheek and temporomandibular area, sequela",
S01432,S01.432,x,Puncture wound without foreign body of left cheek and temporomandibular area,
S01432A,S01.432A,x,"Puncture wound without foreign body of left cheek and temporomandibular area, initial encounter",
S01432D,S01.432D,x,"Puncture wound without foreign body of left cheek and temporomandibular area, subsequent encounter",
S01432S,S01.432S,x,"Puncture wound without foreign body of left cheek and temporomandibular area, sequela",
S01439,S01.439,x,Puncture wound without foreign body of unspecified cheek and temporomandibular area,
S01439A,S01.439A,x,"Puncture wound without foreign body of unspecified cheek and temporomandibular area, initial encounter",
S01439D,S01.439D,x,"Puncture wound without foreign body of unspecified cheek and temporomandibular area, subsequent encounter",
S01439S,S01.439S,x,"Puncture wound without foreign body of unspecified cheek and temporomandibular area, sequela",
S0144,S01.44,x,Puncture wound with foreign body of cheek and temporomandibular area,
S01441,S01.441,x,Puncture wound with foreign body of right cheek and temporomandibular area,
S01441A,S01.441A,x,"Puncture wound with foreign body of right cheek and temporomandibular area, initial encounter",
S01441D,S01.441D,x,"Puncture wound with foreign body of right cheek and temporomandibular area, subsequent encounter",
S01441S,S01.441S,x,"Puncture wound with foreign body of right cheek and temporomandibular area, sequela",
S01442,S01.442,x,Puncture wound with foreign body of left cheek and temporomandibular area,
S01442A,S01.442A,x,"Puncture wound with foreign body of left cheek and temporomandibular area, initial encounter",
S01442D,S01.442D,x,"Puncture wound with foreign body of left cheek and temporomandibular area, subsequent encounter",
S01442S,S01.442S,x,"Puncture wound with foreign body of left cheek and temporomandibular area, sequela",
S01449,S01.449,x,Puncture wound with foreign body of unspecified cheek and temporomandibular area,
S01449A,S01.449A,x,"Puncture wound with foreign body of unspecified cheek and temporomandibular area, initial encounter",
S01449D,S01.449D,x,"Puncture wound with foreign body of unspecified cheek and temporomandibular area, subsequent encounter",
S01449S,S01.449S,x,"Puncture wound with foreign body of unspecified cheek and temporomandibular area, sequela",
S0145,S01.45,x,Open bite of cheek and temporomandibular area,
S01451,S01.451,x,Open bite of right cheek and temporomandibular area,
S01451A,S01.451A,x,"Open bite of right cheek and temporomandibular area, initial encounter",
S01451D,S01.451D,x,"Open bite of right cheek and temporomandibular area, subsequent encounter",
S01451S,S01.451S,x,"Open bite of right cheek and temporomandibular area, sequela",
S01452,S01.452,x,Open bite of left cheek and temporomandibular area,
S01452A,S01.452A,x,"Open bite of left cheek and temporomandibular area, initial encounter",
S01452D,S01.452D,x,"Open bite of left cheek and temporomandibular area, subsequent encounter",
S01452S,S01.452S,x,"Open bite of left cheek and temporomandibular area, sequela",
S01459,S01.459,x,Open bite of unspecified cheek and temporomandibular area,
S01459A,S01.459A,x,"Open bite of unspecified cheek and temporomandibular area, initial encounter",
S01459D,S01.459D,x,"Open bite of unspecified cheek and temporomandibular area, subsequent encounter",
S01459S,S01.459S,x,"Open bite of unspecified cheek and temporomandibular area, sequela",
S015,S01.5,x,Open wound of lip and oral cavity,
S0150,S01.50,x,Unspecified open wound of lip and oral cavity,
S01501,S01.501,x,Unspecified open wound of lip,
S01501A,S01.501A,x,"Unspecified open wound of lip, initial encounter",
S01501D,S01.501D,x,"Unspecified open wound of lip, subsequent encounter",
S01501S,S01.501S,x,"Unspecified open wound of lip, sequela",
S01502,S01.502,x,Unspecified open wound of oral cavity,
S01502A,S01.502A,x,"Unspecified open wound of oral cavity, initial encounter",
S01502D,S01.502D,x,"Unspecified open wound of oral cavity, subsequent encounter",
S01502S,S01.502S,x,"Unspecified open wound of oral cavity, sequela",
S0151,S01.51,x,Laceration of lip and oral cavity without foreign body,
S01511,S01.511,x,Laceration without foreign body of lip,
S01511A,S01.511A,x,"Laceration without foreign body of lip, initial encounter",
S01511D,S01.511D,x,"Laceration without foreign body of lip, subsequent encounter",
S01511S,S01.511S,x,"Laceration without foreign body of lip, sequela",
S01512,S01.512,x,Laceration without foreign body of oral cavity,
S01512A,S01.512A,x,"Laceration without foreign body of oral cavity, initial encounter",
S01512D,S01.512D,x,"Laceration without foreign body of oral cavity, subsequent encounter",
S01512S,S01.512S,x,"Laceration without foreign body of oral cavity, sequela",
S0152,S01.52,x,Laceration of lip and oral cavity with foreign body,
S01521,S01.521,x,Laceration with foreign body of lip,
