"hc_id","year","hc_type","HealthCenterName","HealthCenterState"
"'05E01285",2019,"lookalike","ADULT AND CHILD MENTAL HEALTH CENTER INC","IN"
"'05E01292",2019,"lookalike","COMMUNITY SUPPORT SERVICES, INC.","OH"
"'05E01319",2019,"lookalike","ALLIANCE FAMILY HEALTH CENTER, INC.","OH"
"'05E01325",2019,"lookalike","SHAWNEE MENTAL HEALTH CENTER INC","OH"
"'05E01354",2019,"lookalike","GRAND PRAIRIE SERVICES","IL"
"'05E01356",2019,"lookalike","NEIGHBORHOOD HEALTH CENTER, INC","IN"
"'05E01359",2019,"lookalike","219 HEALTH NETWORK, INC.","IN"
"'05E01361",2019,"lookalike","EDGEWATER SYSTEMS FOR BALANCED LIVING, INC.","IN"
"'06E00612",2019,"lookalike","EL PUEBLO HEALTH SERVICES INC","NM"
"'06E00846",2019,"lookalike","MEDICAL CENTER HOSPITAL (INC)","TX"
"'06E01291",2019,"lookalike","SOUTHWEST C. A. R. E. CENTER","NM"
"'06E01298",2019,"lookalike","MERCY MEDICAL HEALTH CENTER","LA"
"'06E01365",2019,"lookalike","ACADIANA CARES INC","LA"
"'07E01222",2019,"lookalike","HOPE FAMILY CARE CENTER","MO"
"'07E01273",2019,"lookalike","SOUTHWEST BOULEVARD FAMILY HEALTH CARE SERVICES OF GREATER KANSAS","KS"
"'08E01320",2019,"lookalike","INNER CITY HEALTH CENTER","CO"
"'08E01372",2019,"lookalike","HELENA INDIAN ALLIANCE","MT"
"'0924800",2019,"lookalike","GREATER FRESNO HEALTH ORGANIZATION","CA"
"'0928860",2019,"lookalike","CENTRO MEDICO COMMUNITY CLINIC INC","CA"
"'09E00153",2019,"lookalike","CASTLE FAMILY HEALTH CENTERS, INC.","CA"
"'09E00205",2019,"lookalike","DE NOVO HEALTH CARE, INC.","CA"
"'09E00575",2019,"lookalike","MAYVIEW COMMUNITY HEALTH CENTER, INC.","CA"
"'09E00641",2019,"lookalike","GARFIELD HEALTH CENTER","CA"
"'09E00647",2019,"lookalike","HEALTH AND LIFE ORGANIZATION, INC. (H.A.L.O.)","CA"
"'09E00703",2019,"lookalike","STANISLAUS, COUNTY OF","CA"
"'09E00864",2019,"lookalike","TULARE, COUNTY OF","CA"
"'09E01121",2019,"lookalike","SAN JOAQUIN, COUNTY OF","CA"
"'09E01225",2019,"lookalike","BRIGHTER BEGINNINGS","CA"
"'09E01250",2019,"lookalike","FAMILIES TOGETHER OF ORANGE COUNTY","CA"
"'09E01263",2019,"lookalike","HEALTHRIGHT 360","CA"
"'09E01270",2019,"lookalike","AGHABY COMPREHENSIVE COMMUNITY HEALTH CENTER","CA"
"'09E01272",2019,"lookalike","LIVINGSTONE COMMUNITY DEVELOPMENT CORPORATION","CA"
"'09E01287",2019,"lookalike","WAHIAWA CENTER FOR COMMUNITY HEALTH, THE","HI"
"'09E01293",2019,"lookalike","COMMUNITY MEDICINE INC.","CA"
"'09E01295",2019,"lookalike","WHITE MEMORIAL COMMUNITY HEALTH CENTER, A CALIFORNIA NONPROFIT PUBLIC BENEFIT CORPORATION","CA"
"'09E01313",2019,"lookalike","SERENITY CARE HEALTH GROUP","CA"
"'09E01323",2019,"lookalike","LAGUNA BEACH COMMUNITY CLINIC INC","CA"
"'09E01360",2019,"lookalike","TODOS PARA LA SALUD","CA"
"'09E01363",2019,"lookalike","HEALTH SERVICE ALLIANCE","CA"
"'010030",2019,"fqhc","HOLYOKE HEALTH CENTER, INC.","MA"
"'010040",2019,"fqhc","MAINE MOBILE HEALTH PROGRAM INC.","ME"
"'010060",2019,"fqhc","FAIR HAVEN COMMUNITY HEALTH CLINIC, INC.","CT"
"'010070",2019,"fqhc","CORNELL SCOTT HILL HEALTH CORPORATION","CT"
"'010120",2019,"fqhc","CITY OF SPRINGFIELD, MASSACHUSETTS","MA"
"'010130",2019,"fqhc","CITY OF MANCHESTER NEW HAMPSHIRE","NH"
"'010150",2019,"fqhc","COMMUNITY HEALTH CENTERS OF BURLINGTON, INC.","VT"
"'010160",2019,"fqhc","NORTH END COMMUNITY HLTH COMMITTEE, INC.","MA"
"'010170",2019,"fqhc","HARBOR HEALTH SERVICES","MA"
"'010220",2019,"fqhc","GENERATIONS FAMILY HEALTH CENTER, INC.","CT"
"'010330",2019,"fqhc","HILLTOWN COMMUNITY HEALTH CENTER, INC.","MA"
"'010340",2019,"fqhc","BUCKSPORT REGIONAL HEALTH CENTER","ME"
"'010380",2019,"fqhc","REGIONAL MEDICAL CENTER AT LUBEC, INC.","ME"
"'010450",2019,"fqhc","ISLANDS COMMUNITY MEDICAL SERVICES, INC","ME"
"'010460",2019,"fqhc","HEALTHREACH COMMUNITY HEALTH CENTERS","ME"
"'010480",2019,"fqhc","NORTHWEST COMMUNITY HEALTH CARE","RI"
"'010530",2019,"fqhc","FISH RIVER RURAL HEALTH","ME"
"'010570",2019,"fqhc","EASTPORT HEALTH CARE, INC.","ME"
"'010580",2019,"fqhc","THE PROVIDENCE COMMUNITY HLTH CENTERS, INC.","RI"
"'010600",2019,"fqhc","FENWAY COMMUNITY HEALTH CENTER, INC.","MA"
"'010640",2019,"fqhc","NORTHERN COUNTIES HEALTH CARE, INC.","VT"
"'010700",2019,"fqhc","BROCKTON NEIGHBORHOOD HEALTH CENTER, INC.","MA"
"'010710",2019,"fqhc","SOUTH COVE COMMUNITY HEALTH CTR, INC.","MA"
"'010720",2019,"fqhc","EAST BOSTON NEIGHBORHOOD HEALTH CENTER","MA"
"'010760",2019,"fqhc","MANCHESTER COMMUNITY HEALTH CENTER DBA AMOSKEAG HEALTH","NH"
"'010800",2019,"fqhc","FAMILY HEALTH CENTER OF WORCESTER, INC.","MA"
"'010810",2019,"fqhc","SOUTHWEST COMMUNITY HEALTH CENTER","CT"
"'010830",2019,"fqhc","EDWARD M. KENNEDY COMMUNITY HEALTH CENTER, INC.","MA"
"'010840",2019,"fqhc","CARING HEALTH CENTER","MA"
"'010850",2019,"fqhc","COOS COUNTY FAMILY HEALTH SERVICES, INC.","NH"
"'010860",2019,"fqhc","NORTH SHORE COMMUNITY HEALTH, INC.","MA"
"'010980",2019,"fqhc","AMMONOOSUC COMMUNITY HEALTH SRVS, INC.","NH"
"'011190",2019,"fqhc","OUTER CAPE HEALTH SERVICES, INC.","MA"
"'011210",2019,"fqhc","BOSTON HEALTH CARE FOR THE HOMELESS, INC.","MA"
"'0112200",2019,"fqhc","INDIAN STREAM HEALTH CENTER","NH"
"'0112210",2019,"fqhc","COMPREHENSIVE COMMUNITY ACTION, INC","RI"
"'0112220",2019,"fqhc","LITTLE RIVERS HEALTH CARE, INC","VT"
"'0112230",2019,"fqhc","COMMUNITY HEALTH CENTERS OF THE RUTLAND REGION, INC","VT"
"'011230",2019,"fqhc","SACOPEE VALLEY HEALTH CENTER","ME"
"'011260",2019,"fqhc","COMMUNITY HEALTH SERVICES, INC","CT"
"'011270",2019,"fqhc","OPTIMUS HEALTH CARE, INC.","CT"
"'011280",2019,"fqhc","NEW ENGLAND HOSPITAL DBA DIMOCK CHC","MA"
"'011430",2019,"fqhc","LYNN COMMUNITY HEALTH CENTER, INC.","MA"
"'011440",2019,"fqhc","NE WASHINGTON CTY CMTY HEALTH, INC. DBA THE HEALTH CENTER","VT"
"'0114410",2019,"fqhc","COMMUNITY HEALTH CENTER OF CAPE COD, INC.","MA"
"'011450",2019,"fqhc","MA LEAGUE OF COMUNITY HEALTH CENTERS","MA"
"'011460",2019,"fqhc","LOWELL COMMUNITY HEALTH CENTER","MA"
"'0115570",2019,"fqhc","PINES HEALTH SERVICES","ME"
"'011580",2019,"fqhc","LAMPREY HEALTH CARE","NH"
"'011640",2019,"fqhc","MANET COMMUNITY HEALTH CENTER, INC.","MA"
"'011720",2019,"fqhc","DUFFY HEALTH CENTER, INC.","MA"
"'011820",2019,"fqhc","THUNDERMIST HEALTH CENTER","RI"
"'011830",2019,"fqhc","CHARTER OAK HEALTH CENTER, INC.","CT"
"'011890",2019,"fqhc","CHARLES RIVER COMMUNITY HEALTH, INC.","MA"
"'011930",2019,"fqhc","GREATER NEW BEDFORD COMMUNITY HEALTH CTR","MA"
"'011990",2019,"fqhc","BLACKSTONE VALLEY COMMUNITY HEALTH CARE INC.","RI"
"'012010",2019,"fqhc","MATTAPAN COMMUNITY HEALTH CENTER","MA"
"'012070",2019,"fqhc","WHITTIER STREET HEALTH COMMITTEE, INC.","MA"
"'012080",2019,"fqhc","COMMUNITY HEALTH CENTER, INC.","CT"
"'012120",2019,"fqhc","HEALTHFIRST FAMILY CARE CENTER, INC.","MA"
"'012160",2019,"fqhc","GREATER LAWRENCE FAMILY HEALTH CENTER, INC","MA"
"'012230",2019,"fqhc","WOOD RIVER HEALTH SERVICES INC.","RI"
"'012410",2019,"fqhc","STAYWELL HEALTH CARE, INC.","CT"
"'013240",2019,"fqhc","KATAHDIN VALLEY HEALTH CENTER","ME"
"'013250",2019,"fqhc","HARRINGTON FAMILY HEALTH CENTER","ME"
"'013260",2019,"fqhc","COMM HLTH CNTR OF FRANKLIN COUNTY, INC.","MA"
"'013280",2019,"fqhc","DFD RUSSELL MEDICAL CENTER","ME"
"'013370",2019,"fqhc","FIRST CHOICE HEALTH CENTERS, INC.","CT"
"'013470",2019,"fqhc","ST. CROIX REGIONAL FAMILY HEALTH CENTER","ME"
"'013600",2019,"fqhc","SOUTH BOSTON COMMUNITY HEALTH CENTER","MA"
"'013840",2019,"fqhc","COMMUNITY HEALTH PROGRAMS, INC.","MA"
"'013900",2019,"fqhc","COMMUNITY HEALTH CONNECTIONS, INC.","MA"
"'013970",2019,"fqhc","RICHFORD HEALTH CENTER, INC.","VT"
"'014060",2019,"fqhc","HEALTH FIRST FAMILY CARE CENTER, INC.","NH"
"'014580",2019,"fqhc","PENOBSCOT COMMUNITY HEALTH CENTER, INC.","ME"
"'015110",2019,"fqhc","HEALTH ACCESS NETWORK, INC.","ME"
"'015160",2019,"fqhc","EAST BAY COMMUNITY ACTION PROGRAM","RI"
"'015170",2019,"fqhc","SEBASTICOOK FAMILY DOCTORS","ME"
"'019970",2019,"fqhc","YORK COUNTY COMMUNITY ACTION CORPORATION","ME"
"'019980",2019,"fqhc","GREATER SEACOAST COMMUNITY HEALTH","NH"
"'01E00009",2019,"fqhc","COMMUNITY HEALTH & WELLNESS CENTER OF GREATER TORRINGTON","CT"
"'01E00010",2019,"fqhc","CONNECTICUT INSTITUTE FOR COMMUNITIES, INC.","CT"
"'01E00011",2019,"fqhc","NORWALK COMMUNITY HEALTH CENTER, INC.","CT"
"'01E00025",2019,"fqhc","HARBOR HOMES, INC","NH"
"'01E00040",2019,"fqhc","TRI-TOWN ECONOMIC OPPORTUNITY COMMITTEE","RI"
"'01E00051",2019,"fqhc","SPRINGFIELD MEDICAL CARE SYSTEMS, INC","VT"
"'01E00069",2019,"fqhc","COMMUNITY HEALTH SERVICES OF THE LAMOILLE VALLEY","VT"
"'01E00089",2019,"fqhc","DOTHOUSE HEALTH, INC.","MA"
"'01E00090",2019,"fqhc","CODMAN SQUARE HEALTH CENTER","MA"
"'01E00228",2019,"fqhc","FAMILY CENTERS INC.","CT"
"'01E00272",2019,"fqhc","ISLAND HEALTH INC","MA"
"'01E00392",2019,"fqhc","SOUTH END COMMUNITY HEALTH CENTER","MA"
"'01E01028",2019,"fqhc","PORTLAND COMMUNITY HEALTH CENTER","ME"
"'01E01057",2019,"fqhc","BATTENKILL VALLEY HEALTH CENTER, INC.","VT"
"'01E01077",2019,"fqhc","MID-STATE HEALTH CENTER","NH"
"'01E01088",2019,"fqhc","FIVE-TOWN HEALTH ALLIANCE, INC.","VT"
"'01E01113",2019,"fqhc","GIFFORD HEALTH CARE, INC.","VT"
"'01E01166",2019,"fqhc","UPHAMS CORNER HEALTH COMMITTEE, INC.","MA"
"'01E01168",2019,"fqhc","HARVARD STREET NEIGHBORHOOD HEALTH CENTER INC","MA"
"'01E01210",2019,"fqhc","WHEELER CLINIC, INC. THE","CT"
"'01E01212",2019,"fqhc","UNITED COMMUNITY AND FAMILY SERVICES INC","CT"
"'020010",2019,"fqhc","NORTHWEST BUFFALO COMMUNITY HEALTH CARE CENTER, INC.","NY"
"'020020",2019,"fqhc","CARE FOR THE HOMELESS","NY"
"'020070",2019,"fqhc","HENRY J AUSTIN HEALTH CENTER INC","NJ"
"'020110",2019,"fqhc","WHITNEY M. YOUNG, JR. COMMUNITY HEALTH CENTER COMMUNITY BOARD, INC.","NY"
"'020130",2019,"fqhc","HERITAGE HEALTH AND HOUSING, INC.","NY"
"'020150",2019,"fqhc","CENTRO DE SALUD FAMILIAR (PALMIERI)","PR"
"'020160",2019,"fqhc","SYRACUSE COMMUNITY HEALTH CENTER, INC.","NY"
"'020180",2019,"fqhc","OAK ORCHARD COMMUNITY HEALTH CENTER, INC.","NY"
"'020390",2019,"fqhc","EAST HARLEM COUNCIL FOR HUMAN SERVICES, INC.","NY"
"'020490",2019,"fqhc","WILLIAM F. RYAN COMMUNITY HEALTH CENTER, INC.","NY"
"'020500",2019,"fqhc","NEWARK COMMUNITY HEALTH CENTERS, INC.","NJ"
"'020560",2019,"fqhc","ROCHESTER PRIMARY CARE NETWORK","NY"
"'020620",2019,"fqhc","CORNERSTONE FAMILY HEALTHCARE","NY"
"'020650",2019,"fqhc","SALUD INTEGRAL EN LA MONTANA, INC.","PR"
"'020660",2019,"fqhc","CASTANER GENERAL HOSPITAL","PR"
"'020670",2019,"fqhc","CONCILIO DE SALUD INTEGRAL DE LOIZA, INC","PR"
"'020680",2019,"fqhc","MED CENTRO, INC.","PR"
"'020690",2019,"fqhc","MUNICIPALITY OF SAN JUAN","PR"
"'020700",2019,"fqhc","HPM FOUNDATION, INC.","PR"
"'020710",2019,"fqhc","CITY OF NEWARK","NJ"
"'020730",2019,"fqhc","CORPORACION DE SERVICIOS DE SALUD Y MEDICINA AVANZADA","PR"
"'020800",2019,"fqhc","MONTEFIORE MEDICAL CENTER","NY"
"'020870",2019,"fqhc","NORTHERN OSWEGO COUNTY HEALTH SERVICES, INC.","NY"
"'020890",2019,"fqhc","PATILLAS COMMUNITY GOVERNING BOARD","PR"
"'020910",2019,"fqhc","CAMUY HEALTH SERVICES, INC.","PR"
"'020930",2019,"fqhc","SOUTHERN JERSEY FAMILY","NJ"
"'021030",2019,"fqhc","COSTA SALUD COMMUNITY HEALTH CENTERS INC","PR"
"'021040",2019,"fqhc","MIGRANT HEALTH CENTER, WESTERN REGION, INC","PR"
"'021080",2019,"fqhc","SETTLEMENT HEALTH AND MEDICAL SERVICES, INC.","NY"
"'021200",2019,"fqhc","BETANCES HEALTH CENTER","NY"
"'021210",2019,"fqhc","OPPORTUNITY DEVELOPMENT ASSOCIATION, ODA PRIMARY CARE HEALTH CENTER","NY"
"'021230",2019,"fqhc","NEIGHBORHOOD HEALTH SERVICES CORPORATION, INC.","NJ"
"'021240",2019,"fqhc","FAMILY HEALTH NETWORK OF CENTRAL NEW YORK, INC.","NY"
"'021250",2019,"fqhc","PRYMED MEDICAL CARE, INC.","PR"
"'021260",2019,"fqhc","CORPORACION DE SERVICOS MEDICOS PRIMARIOS Y PREVENCION DE HATILLO","PR"
"'021270",2019,"fqhc","COMMUNITY HEALTH CARE, INC.","NJ"
"'021280",2019,"fqhc","CAMCARE HEALTH CORPORATION","NJ"
"'021300",2019,"fqhc","PATERSON COMMUNITY HEALTH CENTER, INC.","NJ"
"'0213350",2019,"fqhc","ZUFALL HEALTH CENTER, INC.","NJ"
"'021390",2019,"fqhc","CHARLES B. WANG COMMUNITY HEALTH CENTER, INC.","NY"
"'021400",2019,"fqhc","CENTRO DE SERVICIOS PRIMARIOS DE SALUD INC","PR"
"'021500",2019,"fqhc","MOUNT VERNON NEIGHBORHOOD HEALTH CENTER","NY"
"'021510",2019,"fqhc","HUDSON RIVER HEALTH CARE, INC.","NY"
"'021520",2019,"fqhc","OPEN DOOR FAMILY MEDICAL CENTER, INC.","NY"
"'021610",2019,"fqhc","MORRIS HEIGHTS HEALTH CENTER","NY"
"'0216220",2019,"fqhc","OCEAN HEALTH INITIATIVES, INC.","NJ"
"'021630",2019,"fqhc","COMMUNITY HEALTHCARE NETWORK, INC.","NY"
"'021770",2019,"fqhc","COVENANT HOUSE (UNDER 21)","NY"
"'0217710",2019,"fqhc","METROPOLITAN FAMILY HEALTH NETWORK, INC","NJ"
"'021790",2019,"fqhc","HUDSON HEADWATERS HEALTH NETWORK","NY"
"'021830",2019,"fqhc","SCHENECTADY FAMILY HEALTH SERVICES, INC.","NY"
"'021870",2019,"fqhc","BARCELONETA PRIMARY HEALTH SERVICES, INC","PR"
"'0218870",2019,"fqhc","SUNSET PARK HEALTH COUNCIL, INC","NY"
"'0219440",2019,"fqhc","UNITED CEREBRAL PALSY ASSOCIATION OF THE NORTH COUNTRY, INC.","NY"
"'021960",2019,"fqhc","BROWNSVILLE COMMUNITY DEVELOPMENT CORP.","NY"
"'021980",2019,"fqhc","BROOKLYN PLAZA MEDICAL CENTER, INC.","NY"
"'022030",2019,"fqhc","NEOMED CENTER INC","PR"
"'022070",2019,"fqhc","ANTHONY L. JORDAN HEALTH CORPORATION","NY"
"'022090",2019,"fqhc","CENTRO DE SALUD DE LARES, INC.","PR"
"'022110",2019,"fqhc","JOSEPH P. ADDABBO FAMILY HEALTH CENTER","NY"
"'022120",2019,"fqhc","BEDFORD STUYVESANT FAMILY HEALTH CENTER, INC.","NY"
"'022230",2019,"fqhc","MOROVIS COMMUNITY HEALTH CENTER, INC.","PR"
"'023480",2019,"fqhc","HORIZON HEALTH CENTER","NJ"
"'023600",2019,"fqhc","URBAN HEALTH PLAN, INC.","NY"
"'023710",2019,"fqhc","THE INSTITUTE FOR FAMILY HEALTH","NY"
"'023890",2019,"fqhc","UNITY HOSPITAL OF ROCHESTER","NY"
"'024260",2019,"fqhc","BRONXCARE HEALTH INTEGRATED SERVICES SYSTEM INC.","NY"
"'024270",2019,"fqhc","BRONX COMMUNITY HEALTH NETWORK, INC.","NY"
"'024490",2019,"fqhc","NORTH HUDSON COMMUNITY ACTION CORPORATION","NJ"
"'024580",2019,"fqhc","PROJECT RENEWAL, INC.","NY"
"'024690",2019,"fqhc","COMMUNITY HEALTH CENTER OF BUFFALO, INC.","NY"
"'025310",2019,"fqhc","ST. THOMAS EAST END MEDICAL CENTER CORPORATION","VI"
"'025320",2019,"fqhc","FREDERIKSTED HEALTH CARE INC.","VI"
"'025500",2019,"fqhc","THE FLOATING HOSPITAL","NY"
"'027000",2019,"fqhc","JEWISH RENAISSANCE MEDICAL CENTER","NJ"
"'027260",2019,"fqhc","REFUAH HEALTH CENTER","NY"
"'027670",2019,"fqhc","VISITING NURSE ASSOCIATION OF CENTRAL JERSEY COMMUNITY HEALTH CENTER, INC.","NJ"
"'027710",2019,"fqhc","ATLANTICARE HEALTH SERVICES","NJ"
"'028210",2019,"fqhc","FINGER LAKES MIGRANT HEALTH CARE PROJECT","NY"
"'028480",2019,"fqhc","DAMIAN FAMILY CARE CENTERS, INC.","NY"
"'02E00026",2019,"fqhc","LAKEWOOD RESOURCE AND REFERRAL CENTER, INC.","NJ"
"'02E00027",2019,"fqhc","MONMOUTH FAMILY HEALTH CENTER","NJ"
"'02E00028",2019,"fqhc","BEACON CHRISTIAN COMMUNITY HEALTH CENTER","NY"
"'02E00053",2019,"fqhc","PROJECT H.O.P.E., INCORPORATED","NJ"
"'02E00091",2019,"fqhc","COMMUNITY HEALTH CENTER OF RICHMOND, INC.","NY"
"'02E00093",2019,"fqhc","UPPER ROOM AIDS MINISTRY, INC. HEALTH CARE CENTER","NY"
"'02E00100",2019,"fqhc","HEALTHCARE CHOICES NY, INC.","NY"
"'02E00103",2019,"fqhc","CORPORACION SANOS","PR"
"'02E00291",2019,"fqhc","LA CASA DE SALUD, INC.","NY"
"'02E00340",2019,"fqhc","NORTH COUNTRY FAMILY HEALTH CENTER, INC.","NY"
"'02E00487",2019,"fqhc","EZRAS CHOILIM HEALTH CENTER INC.","NY"
"'02E00488",2019,"fqhc","SOUTHERN TIER COMMUNITY HEALTH CENTER NETWORK, INC.","NY"
"'02E00509",2019,"fqhc","EAST HILL FAMILY MEDICAL, INC.","NY"
"'02E00510",2019,"fqhc","L'REFUAH MEDICAL AND REHABILITATION CENTER","NY"
"'02E00511",2019,"fqhc","THE CHAUTAUQUA CENTER","NY"
"'02E00696",2019,"fqhc","JEWISH RENAISSANCE FOUNDATION INC., THE","NJ"
"'02E00868",2019,"fqhc","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION","NY"
"'02E01036",2019,"fqhc","HOUSING WORKS HEALTH SERVICES III, INC.","NY"
"'02E01074",2019,"fqhc","JERICHO ROAD MINISTRIES, INC.","NY"
"'02E01108",2019,"fqhc","RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY","NJ"
"'02E01143",2019,"fqhc","UNION COMMUNITY HEALTH CENTER, INC.","NY"
"'02E01157",2019,"fqhc","COMMUNITY HEALTH INITIATIVES INC.","NY"
"'02E01163",2019,"fqhc","COMMUNITY HEALTH PROJECT, INC.","NY"
"'02E01165",2019,"fqhc","SAINT JAMES HEALTH INC","NJ"
"'02E01173",2019,"fqhc","APICHA COMMUNITY HEALTH CENTER","NY"
"'02E01213",2019,"fqhc","RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY","NJ"
"'02E01217",2019,"fqhc","VOCATIONAL INSTRUCTIONAL PROJECT COMMUNITY SERVICES, INC.","NY"
"'02E01268",2019,"fqhc","COMMUNITY HEALTH FOUNDATION OF PUERTO RICO INC.","PR"
"'02E01282",2019,"fqhc","OSBORN FAMILY HEALTH CENTER, INC., THE","NJ"
"'02E01283",2019,"fqhc","UPSTATE FAMILY HEALTH CENTER, INC.","NY"
"'02E01369",2019,"fqhc","PUERTO RICO COMMUNITY NETWORK FOR CLINICAL RESEARCH ON AIDS","PR"
"'030130",2019,"fqhc","PARKWEST HEALTH SYSTEMS, INC.","MD"
"'030150",2019,"fqhc","TOTAL HEALTH CARE, INC.","MD"
"'030220",2019,"fqhc","BROAD TOP AREA MEDICAL CENTER, INC.","PA"
"'030290",2019,"fqhc","HAMILTON HEALTH CENTER, INC.","PA"
"'030340",2019,"fqhc","WELSH MOUNTAIN HEALTH CENTERS","PA"
"'030440",2019,"fqhc","PRIMARY CARE HEALTH SERVICES, INC","PA"
"'030480",2019,"fqhc","B-K HEALTH CENTER, INC., D/B/A NEPA COMMUNITY HEALTH CARE","PA"
"'030560",2019,"fqhc","RURAL HEALTH CORP. OF NORTHEASTERN PA","PA"
"'030700",2019,"fqhc","CENTRAL VIRGINIA HEALTH SERVICES","VA"
"'030720",2019,"fqhc","EASTERN SHORE RURAL HEALTH SYSTEM, INC.","VA"
"'030740",2019,"fqhc","ST. CHARLES HEALTH COUNCIL, INC.","VA"
"'030750",2019,"fqhc","EAST LIBERTY FAMILY HEALTH CARE CENTER","PA"
"'030790",2019,"fqhc","COMMUNITY HEALTH SYSTEMS, INC.","WV"
"'030800",2019,"fqhc","CLAY BATTELLE HEALTH SERVICES ASSOC.","WV"
"'030820",2019,"fqhc","MONONGAHELA VALLEY ASSOCIATION OF","WV"
"'030850",2019,"fqhc","LINCOLN COUNTY PRIMARY CARE CENTER","WV"
"'030880",2019,"fqhc","VALLEY HEALTH SYSTEMS, INC.","WV"
"'030890",2019,"fqhc","PRESTON-TAYLOR COMMUNITY HEALTH CENTERS, INC.","WV"
"'030900",2019,"fqhc","SHENANDOAH VALLEY MEDICAL SYSTEMS, INC.","WV"
"'030990",2019,"fqhc","MONROE COUNTY HEALTH CENTER","WV"
"'031000",2019,"fqhc","TUG RIVER HEALTH ASSOCIATION, INC.","WV"
"'031040",2019,"fqhc","PENDLETON COMMUNITY CARE","WV"
"'0310560",2019,"fqhc","JOHNSON HEALTH CENTER","VA"
"'0310600",2019,"fqhc","NEIGHBORHOOD HEALTH","VA"
"'031160",2019,"fqhc","FAMILY FIRST HEALTH CORPORATION","PA"
"'031220",2019,"fqhc","NORTH PENN COMPREHENSIVE HEALTH SERVICES, INC","PA"
"'031230",2019,"fqhc","CLINCH RIVER HEALTH SERVICES, INC.","VA"
"'031250",2019,"fqhc","BLUESTONE HEALTH ASSOCIATION, INC.","WV"
"'031260",2019,"fqhc","SOUTHBRIDGE MED. ADVISORY COUNCIL, INC.","DE"
"'031270",2019,"fqhc","FAMILY HEALTH CENTERS OF BALTIMORE, INC.","MD"
"'0314560",2019,"fqhc","LA RED HEALTH CENTER, INC.","DE"
"'0315250",2019,"fqhc","PIEDMONT ACCESS TO HEALTH SERVICES (PATHS)","VA"
"'031600",2019,"fqhc","TRI-STATE COMMUNITY HEALTH CENTER","MD"
"'031670",2019,"fqhc","PUBLIC HEALTH MANAGEMENT CORPORATION","PA"
"'031690",2019,"fqhc","HEALTH CARE FOR THE HOMELESS","MD"
"'031700",2019,"fqhc","CENTERVILLE CLINICS INC","PA"
"'031720",2019,"fqhc","DAILY PLANET","VA"
"'031760",2019,"fqhc","STONY CREEK COMMUNITY HEALTH CENTER","VA"
