"fips","year","quarter","establishments","wages","date_approx"
"5147",2020,1,2,0,"2020-2-15"
"5149",2020,1,3,247822,"2020-2-15"
"5999",2020,1,15,1425714,"2020-2-15"
"6000",2020,1,3,0,"2020-2-15"
"6000",2020,1,21985,1719196973,"2020-2-15"
"6001",2020,1,963,77086479,"2020-2-15"
"6005",2020,1,10,1135031,"2020-2-15"
"6007",2020,1,88,8192151,"2020-2-15"
"6009",2020,1,12,983186,"2020-2-15"
"6011",2020,1,4,261974,"2020-2-15"
"6013",2020,1,693,54301635,"2020-2-15"
"6015",2020,1,4,196168,"2020-2-15"
"6017",2020,1,93,7837205,"2020-2-15"
"6019",2020,1,398,30210564,"2020-2-15"
"6021",2020,1,6,350872,"2020-2-15"
"6023",2020,1,50,3882461,"2020-2-15"
"6025",2020,1,27,2136535,"2020-2-15"
"6027",2020,1,6,509737,"2020-2-15"
"6029",2020,1,220,22370347,"2020-2-15"
"6031",2020,1,31,2678847,"2020-2-15"
"6033",2020,1,17,1176930,"2020-2-15"
"6035",2020,1,9,649370,"2020-2-15"
"6037",2020,1,6133,359496110,"2020-2-15"
"6039",2020,1,42,3054888,"2020-2-15"
"6041",2020,1,180,18911200,"2020-2-15"
"6043",2020,1,5,313019,"2020-2-15"
"6045",2020,1,29,2141665,"2020-2-15"
"6047",2020,1,69,6001240,"2020-2-15"
"6049",2020,1,1,0,"2020-2-15"
"6051",2020,1,3,0,"2020-2-15"
"6053",2020,1,181,15975355,"2020-2-15"
"6055",2020,1,73,7024218,"2020-2-15"
"6057",2020,1,50,3699296,"2020-2-15"
"6059",2020,1,2755,181907928,"2020-2-15"
"6061",2020,1,295,27344412,"2020-2-15"
"6063",2020,1,1,0,"2020-2-15"
"6063",2020,1,10,512147,"2020-2-15"
"6065",2020,1,900,71743477,"2020-2-15"
"6067",2020,1,745,71736995,"2020-2-15"
"6069",2020,1,16,1014826,"2020-2-15"
"6071",2020,1,905,64324899,"2020-2-15"
"6073",2020,1,1895,134496384,"2020-2-15"
"6075",2020,1,650,43945921,"2020-2-15"
"6077",2020,1,282,25263453,"2020-2-15"
"6079",2020,1,144,12063584,"2020-2-15"
"6081",2020,1,506,38227460,"2020-2-15"
"6083",2020,1,252,20747478,"2020-2-15"
"6085",2020,1,1474,233653871,"2020-2-15"
"6087",2020,1,129,12012420,"2020-2-15"
"6089",2020,1,79,6913272,"2020-2-15"
"6091",2020,1,1,0,"2020-2-15"
"6093",2020,1,2,0,"2020-2-15"
"6093",2020,1,14,705293,"2020-2-15"
"6095",2020,1,189,16567228,"2020-2-15"
"6097",2020,1,273,24107382,"2020-2-15"
"6099",2020,1,221,25160957,"2020-2-15"
"6101",2020,1,47,5187319,"2020-2-15"
"6103",2020,1,14,1908948,"2020-2-15"
"6105",2020,1,1,0,"2020-2-15"
"6107",2020,1,139,12282313,"2020-2-15"
"6109",2020,1,27,2343432,"2020-2-15"
"6111",2020,1,488,34370040,"2020-2-15"
"6113",2020,1,86,9361731,"2020-2-15"
"6115",2020,1,4,163603,"2020-2-15"
"6999",2020,1,47,10313891,"2020-2-15"
"8000",2020,1,2910,261924913,"2020-2-15"
"8001",2020,1,184,19447274,"2020-2-15"
"8003",2020,1,8,990115,"2020-2-15"
"8005",2020,1,435,42810038,"2020-2-15"
"8007",2020,1,7,333513,"2020-2-15"
"8009",2020,1,2,0,"2020-2-15"
"8011",2020,1,1,0,"2020-2-15"
"8013",2020,1,229,19524036,"2020-2-15"
"8014",2020,1,37,2606269,"2020-2-15"
"8015",2020,1,6,523443,"2020-2-15"
"8019",2020,1,3,0,"2020-2-15"
"8021",2020,1,2,0,"2020-2-15"
"8029",2020,1,10,385841,"2020-2-15"
"8031",2020,1,331,27115479,"2020-2-15"
"8035",2020,1,192,17111634,"2020-2-15"
"8037",2020,1,24,1934973,"2020-2-15"
"8039",2020,1,3,127272,"2020-2-15"
"8041",2020,1,385,33255779,"2020-2-15"
"8043",2020,1,12,822556,"2020-2-15"
"8045",2020,1,27,2691478,"2020-2-15"
"8049",2020,1,5,345523,"2020-2-15"
"8051",2020,1,7,538081,"2020-2-15"
"8059",2020,1,382,38257749,"2020-2-15"
"8063",2020,1,3,0,"2020-2-15"
"8065",2020,1,3,0,"2020-2-15"
"8067",2020,1,29,2726637,"2020-2-15"
"8069",2020,1,206,16852706,"2020-2-15"
"8071",2020,1,6,262328,"2020-2-15"
"8073",2020,1,1,0,"2020-2-15"
"8075",2020,1,8,567549,"2020-2-15"
"8077",2020,1,78,7977254,"2020-2-15"
"8081",2020,1,3,280501,"2020-2-15"
"8083",2020,1,11,674918,"2020-2-15"
"8085",2020,1,26,2485047,"2020-2-15"
"8087",2020,1,11,465702,"2020-2-15"
"8089",2020,1,4,259507,"2020-2-15"
"8091",2020,1,3,0,"2020-2-15"
"8093",2020,1,1,0,"2020-2-15"
"8095",2020,1,1,0,"2020-2-15"
"8097",2020,1,9,716632,"2020-2-15"
"8099",2020,1,3,0,"2020-2-15"
"8101",2020,1,60,6552367,"2020-2-15"
"8103",2020,1,2,0,"2020-2-15"
"8105",2020,1,4,210724,"2020-2-15"
"8107",2020,1,15,1298185,"2020-2-15"
"8109",2020,1,1,0,"2020-2-15"
"8113",2020,1,2,0,"2020-2-15"
"8117",2020,1,13,1068037,"2020-2-15"
"8119",2020,1,7,703524,"2020-2-15"
"8121",2020,1,1,0,"2020-2-15"
"8123",2020,1,100,7898231,"2020-2-15"
"8125",2020,1,2,0,"2020-2-15"
"8999",2020,1,5,0,"2020-2-15"
"9000",2020,1,1673,158956250,"2020-2-15"
"9001",2020,1,542,49336719,"2020-2-15"
"9003",2020,1,447,44832089,"2020-2-15"
"9005",2020,1,61,4594261,"2020-2-15"
"9007",2020,1,79,6960498,"2020-2-15"
"9009",2020,1,364,33675114,"2020-2-15"
"9011",2020,1,99,11535063,"2020-2-15"
"9013",2020,1,46,4128565,"2020-2-15"
"9015",2020,1,30,2595834,"2020-2-15"
"9999",2020,1,5,1298107,"2020-2-15"
"10000",2020,1,251,39859939,"2020-2-15"
"10001",2020,1,35,6628133,"2020-2-15"
"10003",2020,1,186,27565399,"2020-2-15"
"10005",2020,1,30,5666407,"2020-2-15"
"11000",2020,1,336,29065974,"2020-2-15"
"11001",2020,1,336,29065974,"2020-2-15"
"12000",2020,1,8335,776713572,"2020-2-15"
"12001",2020,1,110,14034258,"2020-2-15"
"12003",2020,1,2,0,"2020-2-15"
"12005",2020,1,54,5539498,"2020-2-15"
"12007",2020,1,3,90215,"2020-2-15"
"12009",2020,1,207,22803902,"2020-2-15"
"12011",2020,1,1025,69390832,"2020-2-15"
"12013",2020,1,8,1082100,"2020-2-15"
"12015",2020,1,59,6902915,"2020-2-15"
"12017",2020,1,33,3482407,"2020-2-15"
"12019",2020,1,70,6859418,"2020-2-15"
"12021",2020,1,187,17735651,"2020-2-15"
"12023",2020,1,14,1497749,"2020-2-15"
"12027",2020,1,4,111394,"2020-2-15"
"12029",2020,1,1,0,"2020-2-15"
"12031",2020,1,342,34580746,"2020-2-15"
"12033",2020,1,102,11356623,"2020-2-15"
"12035",2020,1,27,3424124,"2020-2-15"
"12037",2020,1,1,0,"2020-2-15"
"12039",2020,1,5,248486,"2020-2-15"
"12041",2020,1,1,0,"2020-2-15"
"12045",2020,1,1,0,"2020-2-15"
"12047",2020,1,1,0,"2020-2-15"
"12049",2020,1,1,0,"2020-2-15"
"12051",2020,1,6,589706,"2020-2-15"
"12053",2020,1,57,5553266,"2020-2-15"
"12055",2020,1,28,3230958,"2020-2-15"
"12057",2020,1,612,61657404,"2020-2-15"
"12059",2020,1,4,232470,"2020-2-15"
"12061",2020,1,66,6544466,"2020-2-15"
"12063",2020,1,9,621665,"2020-2-15"
"12065",2020,1,1,0,"2020-2-15"
"12069",2020,1,106,11487765,"2020-2-15"
"12071",2020,1,270,29284774,"2020-2-15"
"12073",2020,1,81,9092201,"2020-2-15"
"12075",2020,1,8,348610,"2020-2-15"
"12077",2020,1,1,0,"2020-2-15"
"12079",2020,1,2,0,"2020-2-15"
"12081",2020,1,134,15171226,"2020-2-15"
"12083",2020,1,102,9061145,"2020-2-15"
"12085",2020,1,88,8119308,"2020-2-15"
"12086",2020,1,1348,89364229,"2020-2-15"
"12087",2020,1,26,2244076,"2020-2-15"
"12089",2020,1,20,2808749,"2020-2-15"
"12091",2020,1,73,7049633,"2020-2-15"
"12093",2020,1,6,840650,"2020-2-15"
"12095",2020,1,466,43910048,"2020-2-15"
"12097",2020,1,68,5535353,"2020-2-15"
"12099",2020,1,780,66340328,"2020-2-15"
"12101",2020,1,161,14394891,"2020-2-15"
"12103",2020,1,444,40204304,"2020-2-15"
"12105",2020,1,162,16740613,"2020-2-15"
"12107",2020,1,14,1872050,"2020-2-15"
"12109",2020,1,100,9595855,"2020-2-15"
"12111",2020,1,76,8255871,"2020-2-15"
"12113",2020,1,25,3654456,"2020-2-15"
"12115",2020,1,229,21380494,"2020-2-15"
"12117",2020,1,204,32802362,"2020-2-15"
"12119",2020,1,30,3478857,"2020-2-15"
"12121",2020,1,7,398057,"2020-2-15"
"12123",2020,1,2,0,"2020-2-15"
"12127",2020,1,160,14397270,"2020-2-15"
"12129",2020,1,4,355655,"2020-2-15"
"12131",2020,1,18,1795187,"2020-2-15"
"12133",2020,1,4,104261,"2020-2-15"
"12999",2020,1,75,27177250,"2020-2-15"
"13000",2020,1,1,0,"2020-2-15"
"13000",2020,1,3633,371639277,"2020-2-15"
"13001",2020,1,4,427860,"2020-2-15"
"13003",2020,1,1,0,"2020-2-15"
"13005",2020,1,2,0,"2020-2-15"
"13009",2020,1,12,711097,"2020-2-15"
"13011",2020,1,3,662398,"2020-2-15"
"13013",2020,1,15,1266532,"2020-2-15"
"13015",2020,1,24,2815902,"2020-2-15"
"13017",2020,1,4,534869,"2020-2-15"
"13019",2020,1,2,0,"2020-2-15"
"13021",2020,1,69,7042780,"2020-2-15"
"13023",2020,1,2,0,"2020-2-15"
"13025",2020,1,1,0,"2020-2-15"
"13027",2020,1,1,0,"2020-2-15"
"13029",2020,1,16,2374125,"2020-2-15"
"13031",2020,1,21,2388129,"2020-2-15"
"13033",2020,1,1,0,"2020-2-15"
"13035",2020,1,1,0,"2020-2-15"
"13037",2020,1,2,0,"2020-2-15"
"13039",2020,1,14,1206607,"2020-2-15"
"13043",2020,1,1,0,"2020-2-15"
"13045",2020,1,30,3213672,"2020-2-15"
"13047",2020,1,15,1179131,"2020-2-15"
"13049",2020,1,1,0,"2020-2-15"
"13051",2020,1,104,12797238,"2020-2-15"
"13055",2020,1,3,170268,"2020-2-15"
"13057",2020,1,97,12325241,"2020-2-15"
"13059",2020,1,46,5218144,"2020-2-15"
"13063",2020,1,43,3849477,"2020-2-15"
"13065",2020,1,1,0,"2020-2-15"
"13067",2020,1,384,46530372,"2020-2-15"
"13069",2020,1,15,1588187,"2020-2-15"
"13071",2020,1,10,758614,"2020-2-15"
"13073",2020,1,44,6086144,"2020-2-15"
"13075",2020,1,4,188650,"2020-2-15"
"13077",2020,1,37,3293355,"2020-2-15"
"13081",2020,1,5,232386,"2020-2-15"
"13083",2020,1,1,0,"2020-2-15"
"13085",2020,1,9,780060,"2020-2-15"
"13087",2020,1,5,0,"2020-2-15"
"13089",2020,1,275,19939091,"2020-2-15"
"13091",2020,1,5,456629,"2020-2-15"
"13093",2020,1,2,0,"2020-2-15"
"13095",2020,1,30,2372021,"2020-2-15"
"13097",2020,1,39,3797779,"2020-2-15"
"13099",2020,1,2,0,"2020-2-15"
"13103",2020,1,6,380472,"2020-2-15"
"13105",2020,1,5,279213,"2020-2-15"
"13107",2020,1,5,0,"2020-2-15"
"13111",2020,1,6,709505,"2020-2-15"
"13113",2020,1,79,7591312,"2020-2-15"
"13115",2020,1,30,3214530,"2020-2-15"
"13117",2020,1,91,13371103,"2020-2-15"
"13119",2020,1,3,172839,"2020-2-15"
"13121",2020,1,1,0,"2020-2-15"
"13121",2020,1,569,58557364,"2020-2-15"
"13123",2020,1,9,407408,"2020-2-15"
"13127",2020,1,36,4482737,"2020-2-15"
"13129",2020,1,10,883913,"2020-2-15"
"13131",2020,1,5,332885,"2020-2-15"
"13133",2020,1,5,833069,"2020-2-15"
"13135",2020,1,428,44223760,"2020-2-15"
"13137",2020,1,14,1360120,"2020-2-15"
"13139",2020,1,85,7711174,"2020-2-15"
"13143",2020,1,3,172674,"2020-2-15"
"13145",2020,1,1,0,"2020-2-15"
"13147",2020,1,4,650030,"2020-2-15"
"13151",2020,1,63,4982860,"2020-2-15"
"13153",2020,1,46,4673228,"2020-2-15"
"13155",2020,1,1,0,"2020-2-15"
"13157",2020,1,18,1507310,"2020-2-15"
"13159",2020,1,2,0,"2020-2-15"
"13161",2020,1,1,0,"2020-2-15"
"13163",2020,1,2,0,"2020-2-15"
"13167",2020,1,1,0,"2020-2-15"
"13169",2020,1,3,484799,"2020-2-15"
"13171",2020,1,3,0,"2020-2-15"
"13173",2020,1,1,0,"2020-2-15"
"13175",2020,1,13,754976,"2020-2-15"
"13177",2020,1,9,1814148,"2020-2-15"
"13179",2020,1,15,1522722,"2020-2-15"
"13181",2020,1,2,0,"2020-2-15"
"13185",2020,1,44,3792402,"2020-2-15"
"13187",2020,1,9,319766,"2020-2-15"
"13189",2020,1,6,462277,"2020-2-15"
"13191",2020,1,1,0,"2020-2-15"
"13193",2020,1,1,0,"2020-2-15"
"13195",2020,1,1,0,"2020-2-15"
"13199",2020,1,1,0,"2020-2-15"
"13201",2020,1,2,0,"2020-2-15"
"13205",2020,1,3,149941,"2020-2-15"
"13207",2020,1,4,182415,"2020-2-15"
"13211",2020,1,8,535255,"2020-2-15"
"13213",2020,1,1,0,"2020-2-15"
"13215",2020,1,69,6611429,"2020-2-15"
"13217",2020,1,17,1264969,"2020-2-15"
"13219",2020,1,17,1880119,"2020-2-15"
"13223",2020,1,26,2909690,"2020-2-15"
"13225",2020,1,7,754173,"2020-2-15"
"13227",2020,1,6,459953,"2020-2-15"
"13229",2020,1,3,0,"2020-2-15"
"13231",2020,1,2,0,"2020-2-15"
"13233",2020,1,4,244088,"2020-2-15"
"13235",2020,1,1,0,"2020-2-15"
"13237",2020,1,4,211170,"2020-2-15"
"13241",2020,1,5,455334,"2020-2-15"
"13243",2020,1,1,0,"2020-2-15"
"13245",2020,1,82,6738779,"2020-2-15"
"13247",2020,1,38,5894152,"2020-2-15"
"13251",2020,1,2,0,"2020-2-15"
"13253",2020,1,3,66499,"2020-2-15"
"13255",2020,1,13,1018172,"2020-2-15"
"13257",2020,1,9,786672,"2020-2-15"
"13259",2020,1,1,0,"2020-2-15"
"13261",2020,1,5,302079,"2020-2-15"
"13267",2020,1,2,0,"2020-2-15"
"13269",2020,1,1,0,"2020-2-15"
"13273",2020,1,1,0,"2020-2-15"
"13275",2020,1,15,1202348,"2020-2-15"
"13277",2020,1,11,1280974,"2020-2-15"
"13279",2020,1,9,750545,"2020-2-15"
"13281",2020,1,6,527119,"2020-2-15"
"13283",2020,1,1,0,"2020-2-15"
"13285",2020,1,31,2945824,"2020-2-15"
"13287",2020,1,2,0,"2020-2-15"
"13291",2020,1,6,664799,"2020-2-15"
"13293",2020,1,6,366067,"2020-2-15"
"13295",2020,1,5,562517,"2020-2-15"
"13297",2020,1,17,1403250,"2020-2-15"
"13299",2020,1,11,1184520,"2020-2-15"
"13303",2020,1,3,201700,"2020-2-15"
"13305",2020,1,5,263145,"2020-2-15"
"13311",2020,1,9,568628,"2020-2-15"
"13313",2020,1,31,9761740,"2020-2-15"
"13315",2020,1,1,0,"2020-2-15"
"13317",2020,1,2,0,"2020-2-15"
"13319",2020,1,1,0,"2020-2-15"
"13321",2020,1,2,0,"2020-2-15"
"13999",2020,1,82,4066440,"2020-2-15"
"15000",2020,1,681,53798526,"2020-2-15"
"15001",2020,1,73,5940614,"2020-2-15"
"15003",2020,1,499,39192183,"2020-2-15"
"15007",2020,1,33,2564824,"2020-2-15"
"15009",2020,1,76,6100905,"2020-2-15"
"16000",2020,1,800,60510005,"2020-2-15"
"16001",2020,1,249,22027290,"2020-2-15"
"16003",2020,1,1,0,"2020-2-15"
"16005",2020,1,56,2962313,"2020-2-15"
"16007",2020,1,4,0,"2020-2-15"
"16009",2020,1,3,141367,"2020-2-15"
"16011",2020,1,16,1107023,"2020-2-15"
"16013",2020,1,14,902051,"2020-2-15"
"16017",2020,1,20,1120891,"2020-2-15"
"16019",2020,1,78,6073912,"2020-2-15"
"16021",2020,1,5,344212,"2020-2-15"
"16027",2020,1,61,6094060,"2020-2-15"
"16029",2020,1,2,0,"2020-2-15"
"16031",2020,1,15,792499,"2020-2-15"
"16035",2020,1,2,0,"2020-2-15"
"16037",2020,1,1,0,"2020-2-15"
"16039",2020,1,5,307050,"2020-2-15"
"16041",2020,1,7,310922,"2020-2-15"
"16043",2020,1,2,0,"2020-2-15"
"16045",2020,1,7,422769,"2020-2-15"
"16047",2020,1,3,186418,"2020-2-15"
"16049",2020,1,3,0,"2020-2-15"
"16051",2020,1,9,461710,"2020-2-15"
"16053",2020,1,8,383230,"2020-2-15"
"16055",2020,1,70,7268672,"2020-2-15"
"16057",2020,1,14,870146,"2020-2-15"
"16059",2020,1,3,170710,"2020-2-15"
"16061",2020,1,1,0,"2020-2-15"
"16065",2020,1,20,869571,"2020-2-15"
"16067",2020,1,5,216163,"2020-2-15"
"16069",2020,1,18,1818791,"2020-2-15"
"16071",2020,1,2,0,"2020-2-15"
"16073",2020,1,2,0,"2020-2-15"
"16075",2020,1,13,848799,"2020-2-15"
"16077",2020,1,2,0,"2020-2-15"
"16079",2020,1,3,0,"2020-2-15"
"16081",2020,1,5,184490,"2020-2-15"
"16083",2020,1,53,2761297,"2020-2-15"
"16085",2020,1,4,243154,"2020-2-15"
"16087",2020,1,3,142973,"2020-2-15"
"16999",2020,1,11,94341,"2020-2-15"
"17000",2020,1,5519,457693381,"2020-2-15"
"17001",2020,1,18,2135227,"2020-2-15"
"17005",2020,1,3,222546,"2020-2-15"
"17007",2020,1,12,1094309,"2020-2-15"
"17009",2020,1,1,0,"2020-2-15"
"17011",2020,1,6,361172,"2020-2-15"
"17015",2020,1,2,0,"2020-2-15"
"17019",2020,1,50,6793806,"2020-2-15"
"17021",2020,1,5,640310,"2020-2-15"
"17025",2020,1,4,164545,"2020-2-15"
"17027",2020,1,6,782222,"2020-2-15"
"17029",2020,1,12,1478004,"2020-2-15"
"17031",2020,1,2727,184637098,"2020-2-15"
"17033",2020,1,4,392827,"2020-2-15"
"17035",2020,1,2,0,"2020-2-15"
"17037",2020,1,29,5901497,"2020-2-15"
"17039",2020,1,2,0,"2020-2-15"
"17041",2020,1,3,196899,"2020-2-15"
"17043",2020,1,696,48801787,"2020-2-15"
"17045",2020,1,3,194734,"2020-2-15"
"17047",2020,1,1,0,"2020-2-15"
"17049",2020,1,21,24721483,"2020-2-15"
"17051",2020,1,3,642029,"2020-2-15"
"17053",2020,1,5,253619,"2020-2-15"
"17055",2020,1,9,944760,"2020-2-15"
"17061",2020,1,4,0,"2020-2-15"
"17063",2020,1,10,892875,"2020-2-15"
"17065",2020,1,1,0,"2020-2-15"
"17067",2020,1,3,192027,"2020-2-15"
"17071",2020,1,2,0,"2020-2-15"
"17073",2020,1,9,2289433,"2020-2-15"
"17075",2020,1,5,512665,"2020-2-15"
"17077",2020,1,14,1033048,"2020-2-15"
"17079",2020,1,2,0,"2020-2-15"
"17081",2020,1,15,1038170,"2020-2-15"
"17083",2020,1,6,316768,"2020-2-15"
"17085",2020,1,7,375377,"2020-2-15"
"17087",2020,1,3,73739,"2020-2-15"
"17089",2020,1,195,15321999,"2020-2-15"
"17091",2020,1,30,2343457,"2020-2-15"
"17093",2020,1,32,2636733,"2020-2-15"
"17095",2020,1,9,374188,"2020-2-15"
"17097",2020,1,361,28647708,"2020-2-15"
"17099",2020,1,34,2450649,"2020-2-15"
