"dataset","NOHSS_topic","indicator_short","indicator_text","indicator_tooltip","geo_name","geo_abr","fips_code","fips_code_1","years","year_min","desired_direction","unit","value","lower_CI","upper_CI","indicator_calculation","base_population","geo_type","measure_value","measure_group","indicator","X6","geo_level","geo_abr_1","service","id"
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Kentucky","KY","21",NA,"2018","2018","higher","percent",61.9,60.1,63.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1019
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Louisiana","LA","22",NA,"2018","2018","higher","percent",58.1,56.2,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Maine","ME","23",NA,"2018","2018","higher","percent",65.3,63.8,66.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1021
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Maryland","MD","24",NA,"2018","2018","higher","percent",66.8,65.7,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1022
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Massachusetts","MA","25",NA,"2018","2018","higher","percent",74.4,72.9,75.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1023
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Michigan","MI","26",NA,"2018","2018","higher","percent",71,69.9,72.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1024
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Minnesota","MN","27",NA,"2018","2018","higher","percent",73.9,73.1,74.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1025
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Mississippi","MS","28",NA,"2018","2018","higher","percent",54.1,52.3,55.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1026
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Missouri","MO","29",NA,"2018","2018","higher","percent",63.3,61.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1027
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Montana","MT","30",NA,"2018","2018","higher","percent",66.4,64.6,68.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1028
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Nebraska","NE","31",NA,"2018","2018","higher","percent",67.7,66.6,68.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1029
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Nevada","NV","32",NA,"2018","2018","higher","percent",64.7,62.2,67.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1030
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","New Hampshire","NH","33",NA,"2018","2018","higher","percent",68.9,67.1,70.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1031
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","New Jersey","NJ","34",NA,"2018","2018","higher","percent",72.2,69.6,74.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1032
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","New Mexico","NM","35",NA,"2018","2018","higher","percent",65.1,63.4,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1033
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","New York","NY","36",NA,"2018","2018","higher","percent",69.8,68.9,70.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1034
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","North Carolina","NC","37",NA,"2018","2018","higher","percent",65.4,63.7,67.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1035
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","North Dakota","ND","38",NA,"2018","2018","higher","percent",67.6,65.8,69.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1036
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Ohio","OH","39",NA,"2018","2018","higher","percent",67.4,66.1,68.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1037
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Oklahoma","OK","40",NA,"2018","2018","higher","percent",60.4,58.6,62.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1038
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Oregon","OR","41",NA,"2018","2018","higher","percent",68,66.5,69.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1039
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Pennsylvania","PA","42",NA,"2018","2018","higher","percent",69.5,67.9,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1040
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Puerto Rico","PR","72",NA,"2018","2018","higher","percent",69.4,67.7,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1041
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Rhode Island","RI","44",NA,"2018","2018","higher","percent",72.3,70.5,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1042
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","South Carolina","SC","45",NA,"2018","2018","higher","percent",61.8,60.4,63.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1043
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","South Dakota","SD","46",NA,"2018","2018","higher","percent",68,65.9,70.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1044
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Tennessee","TN","47",NA,"2018","2018","higher","percent",58.3,56.4,60.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1045
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Texas","TX","48",NA,"2018","2018","higher","percent",60.7,58.8,62.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1046
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","United States","US","US",NA,"2018","2018","higher","percent",66.5,66.2,66.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1047
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Utah","UT","49",NA,"2018","2018","higher","percent",72,70.9,73.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1048
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Vermont","VT","50",NA,"2018","2018","higher","percent",72.6,71,74.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1049
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Virginia","VA","51",NA,"2018","2018","higher","percent",71.7,70.4,72.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1050
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Washington","WA","53",NA,"2018","2018","higher","percent",69.2,68.1,70.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1051
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","West Virginia","WV","54",NA,"2018","2018","higher","percent",55.3,53.6,57.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1052
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Wisconsin","WI","55",NA,"2018","2018","higher","percent",71.2,69.5,72.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1053
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Wyoming","WY","56",NA,"2018","2018","higher","percent",67.7,65.9,69.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1054
"Behavior Risk Factor Surveillance System","access to care","adult 18+ dental visit","percent of adults age 18+ who visited a dentist in the previous year","adults age 18+ who visited a dentist in the previous year","Alabama","AL","1",NA,"2012","2012","higher","percent",58.6,60.1,57.1,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1055
"Behavior Risk Factor Surveillance System","access to care","adult 18+ dental visit","percent of adults age 18+ who visited a dentist in the previous year","adults age 18+ who visited a dentist in the previous year","Alabama","AL","1",NA,"2016","2016","higher","percent",62.3,63.8,60.8,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1056
"Behavior Risk Factor Surveillance System","access to care","adult 18+ dental visit","percent of adults age 18+ who visited a dentist in the previous year","adults age 18+ who visited a dentist in the previous year","Alabama","AL","1",NA,"2014","2014","higher","percent",60,61.5,58.5,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1057
"Behavior Risk Factor Surveillance System","access to care","adult 18+ dental visit","percent of adults age 18+ who visited a dentist in the previous year","adults age 18+ who visited a dentist in the previous year","Alabama","AL","1",NA,"2018","2018","higher","percent",60.8,62.4,59.2,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1058
"Behavior Risk Factor Surveillance System","health outcome","adults age 65+ without natural teeth","percent of adults who lost all their natural teeth","adults age 65+ who lost all their natural teeth","Alabama","AL","1",NA,"2014","2014","lower","percent",22.2,24.2,20.2,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1059
"Behavior Risk Factor Surveillance System","health outcome","adults age 65+ without natural teeth","percent of adults who lost all their natural teeth","adults age 65+ who lost all their natural teeth","Alabama","AL","1",NA,"2012","2012","lower","percent",23.6,25.6,21.6,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1060
"Behavior Risk Factor Surveillance System","health outcome","adults age 65+ without natural teeth","percent of adults who lost all their natural teeth","adults age 65+ who lost all their natural teeth","Alabama","AL","1",NA,"2016","2016","lower","percent",18.4,20.5,16.3,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1061
"Behavior Risk Factor Surveillance System","health outcome","adults age 65+ without natural teeth","percent of adults who lost all their natural teeth","adults age 65+ who lost all their natural teeth","Alabama","AL","1",NA,"2018","2018","lower","percent",20.2,22.4,18,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1062
"Behavior Risk Factor Surveillance System","health outcome","adults age 65+ with severe tooth loss","percent of adults age 65+ who have lost 6+ teeth","adults age 65+ who have lost 6+ teeth","Alabama","AL","1",NA,"2016","2016","lower","percent",45,47.7,42.3,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1063
"Behavior Risk Factor Surveillance System","health outcome","adults age 65+ with severe tooth loss","percent of adults age 65+ who have lost 6+ teeth","adults age 65+ who have lost 6+ teeth","Alabama","AL","1",NA,"2014","2014","lower","percent",49.2,51.6,46.8,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1064
"Behavior Risk Factor Surveillance System","health outcome","adults age 65+ with severe tooth loss","percent of adults age 65+ who have lost 6+ teeth","adults age 65+ who have lost 6+ teeth","Alabama","AL","1",NA,"2012","2012","lower","percent",52.3,54.7,49.9,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1065
"Behavior Risk Factor Surveillance System","health outcome","adults age 65+ with severe tooth loss","percent of adults age 65+ who have lost 6+ teeth","adults age 65+ who have lost 6+ teeth","Alabama","AL","1",NA,"2018","2018","lower","percent",43.1,45.7,40.5,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1066
"Behavior Risk Factor Surveillance System","access to care","adult 18+ dental visit","percent of adults age 18+ who visited a dentist in the previous year","adults age 18+ who visited a dentist in the previous year","Alaska","AK","2",NA,"2016","2016","higher","percent",65.4,68.3,62.5,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1067
"Behavior Risk Factor Surveillance System","access to care","adult 18+ dental visit","percent of adults age 18+ who visited a dentist in the previous year","adults age 18+ who visited a dentist in the previous year","Alaska","AK","2",NA,"2014","2014","higher","percent",64.4,66.4,62.4,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1068
"Behavior Risk Factor Surveillance System","access to care","adult 18+ dental visit","percent of adults age 18+ who visited a dentist in the previous year","adults age 18+ who visited a dentist in the previous year","Alaska","AK","2",NA,"2012","2012","higher","percent",67.4,69.4,65.4,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1069
"Behavior Risk Factor Surveillance System","access to care","adult 18+ dental visit","percent of adults age 18+ who visited a dentist in the previous year","adults age 18+ who visited a dentist in the previous year","Alaska","AK","2",NA,"2018","2018","higher","percent",69.3,71.9,66.7,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1070
"Behavior Risk Factor Surveillance System","health outcome","adults age 65+ without natural teeth","percent of adults who lost all their natural teeth","adults age 65+ who lost all their natural teeth","Alaska","AK","2",NA,"2014","2014","lower","percent",13.4,16.7,10.1,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1071
"Behavior Risk Factor Surveillance System","health outcome","adults age 65+ without natural teeth","percent of adults who lost all their natural teeth","adults age 65+ who lost all their natural teeth","Alaska","AK","2",NA,"2016","2016","lower","percent",13.2,16.6,9.8,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1072
"Behavior Risk Factor Surveillance System","health outcome","adults age 65+ without natural teeth","percent of adults who lost all their natural teeth","adults age 65+ who lost all their natural teeth","Alaska","AK","2",NA,"2012","2012","lower","percent",15.6,19.3,11.9,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1073
"Behavior Risk Factor Surveillance System","health outcome","adults age 65+ without natural teeth","percent of adults who lost all their natural teeth","adults age 65+ who lost all their natural teeth","Alaska","AK","2",NA,"2018","2018","lower","percent",15.7,19.6,11.8,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1074
"Behavior Risk Factor Surveillance System","health outcome","adults age 65+ with severe tooth loss","percent of adults age 65+ who have lost 6+ teeth","adults age 65+ who have lost 6+ teeth","Alaska","AK","2",NA,"2016","2016","lower","percent",31.2,36.5,25.9,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1075
"Behavior Risk Factor Surveillance System","health outcome","adults age 65+ with severe tooth loss","percent of adults age 65+ who have lost 6+ teeth","adults age 65+ who have lost 6+ teeth","Alaska","AK","2",NA,"2014","2014","lower","percent",31.4,35.5,27.3,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1076
"Behavior Risk Factor Surveillance System","health outcome","adults age 65+ with severe tooth loss","percent of adults age 65+ who have lost 6+ teeth","adults age 65+ who have lost 6+ teeth","Alaska","AK","2",NA,"2012","2012","lower","percent",36.6,41.3,31.9,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1077
"Behavior Risk Factor Surveillance System","health outcome","adults age 65+ with severe tooth loss","percent of adults age 65+ who have lost 6+ teeth","adults age 65+ who have lost 6+ teeth","Alaska","AK","2",NA,"2018","2018","lower","percent",30.9,35.4,26.4,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1078
"Behavior Risk Factor Surveillance System","access to care","adult 18+ dental visit","percent of adults age 18+ who visited a dentist in the previous year","adults age 18+ who visited a dentist in the previous year","Arizona","AZ","4",NA,"2012","2012","higher","percent",61.6,63.5,59.7,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1079
"Behavior Risk Factor Surveillance System","access to care","adult 18+ dental visit","percent of adults age 18+ who visited a dentist in the previous year","adults age 18+ who visited a dentist in the previous year","Arizona","AZ","4",NA,"2014","2014","higher","percent",59,60.4,57.6,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1080
"Behavior Risk Factor Surveillance System","access to care","adult 18+ dental visit","percent of adults age 18+ who visited a dentist in the previous year","adults age 18+ who visited a dentist in the previous year","Arizona","AZ","4",NA,"2016","2016","higher","percent",61.3,62.9,59.7,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1081
"Behavior Risk Factor Surveillance System","access to care","adult 18+ dental visit","percent of adults age 18+ who visited a dentist in the previous year","adults age 18+ who visited a dentist in the previous year","Arizona","AZ","4",NA,"2018","2018","higher","percent",62.3,64.1,60.5,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1082
"Behavior Risk Factor Surveillance System","health outcome","adults age 65+ without natural teeth","percent of adults who lost all their natural teeth","adults age 65+ who lost all their natural teeth","Arizona","AZ","4",NA,"2016","2016","lower","percent",12.9,14.4,11.4,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1083
"Behavior Risk Factor Surveillance System","health outcome","adults age 65+ without natural teeth","percent of adults who lost all their natural teeth","adults age 65+ who lost all their natural teeth","Arizona","AZ","4",NA,"2012","2012","lower","percent",13.3,15.3,11.3,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1084
"Behavior Risk Factor Surveillance System","health outcome","adults age 65+ without natural teeth","percent of adults who lost all their natural teeth","adults age 65+ who lost all their natural teeth","Arizona","AZ","4",NA,"2014","2014","lower","percent",12.2,13.4,11,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1085
"Behavior Risk Factor Surveillance System","health outcome","adults age 65+ without natural teeth","percent of adults who lost all their natural teeth","adults age 65+ who lost all their natural teeth","Arizona","AZ","4",NA,"2018","2018","lower","percent",11.5,13.2,9.8,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1086
"Behavior Risk Factor Surveillance System","health outcome","adults age 65+ with severe tooth loss","percent of adults age 65+ who have lost 6+ teeth","adults age 65+ who have lost 6+ teeth","Arizona","AZ","4",NA,"2012","2012","lower","percent",34.3,37,31.6,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1087
"Behavior Risk Factor Surveillance System","health outcome","adults age 65+ with severe tooth loss","percent of adults age 65+ who have lost 6+ teeth","adults age 65+ who have lost 6+ teeth","Arizona","AZ","4",NA,"2016","2016","lower","percent",32.5,34.4,30.6,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1088
"Behavior Risk Factor Surveillance System","health outcome","adults age 65+ with severe tooth loss","percent of adults age 65+ who have lost 6+ teeth","adults age 65+ who have lost 6+ teeth","Arizona","AZ","4",NA,"2014","2014","lower","percent",32.1,33.8,30.4,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1089
"Behavior Risk Factor Surveillance System","health outcome","adults age 65+ with severe tooth loss","percent of adults age 65+ who have lost 6+ teeth","adults age 65+ who have lost 6+ teeth","Arizona","AZ","4",NA,"2018","2018","lower","percent",30.8,33.4,28.2,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1090
"Behavior Risk Factor Surveillance System","access to care","adult 18+ dental visit","percent of adults age 18+ who visited a dentist in the previous year","adults age 18+ who visited a dentist in the previous year","Arkansas","AR","5",NA,"2014","2014","higher","percent",57.1,59.2,55,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1091
"Behavior Risk Factor Surveillance System","access to care","adult 18+ dental visit","percent of adults age 18+ who visited a dentist in the previous year","adults age 18+ who visited a dentist in the previous year","Arkansas","AR","5",NA,"2012","2012","higher","percent",54.9,56.8,53,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1092
"Behavior Risk Factor Surveillance System","access to care","adult 18+ dental visit","percent of adults age 18+ who visited a dentist in the previous year","adults age 18+ who visited a dentist in the previous year","Arkansas","AR","5",NA,"2016","2016","higher","percent",57.6,60.1,55.1,"Crude Prevalence",NA,NA,NA,NA,NA,NA,NA,NA,NA,1093
