provider_specialty_id,provider_id,specialty
336,1089465,General Dentistry
337,1089082,General Dentistry
338,1089275,General Dentistry
339,1089059,Orthodontics and Dentofacial Orthopedics
340,1089305,General Dentistry
341,1089364,General Dentistry
342,1089146,General Dentistry
343,1089108,Orthodontics and Dentofacial Orthopedics
344,1089451,General Dentistry
345,1089427,General Dentistry
346,1089429,General Dentistry
347,1089362,General Dentistry
348,1089244,General Dentistry
349,1089234,General Dentistry
350,1089072,General Dentistry
351,1089226,General Dentistry
352,1089194,General Dentistry
353,1089342,General Dentistry
354,1089277,General Dentistry
355,1089143,General Dentistry
356,1089138,General Dentistry
357,1089236,General Dentistry
358,1089225,General Dentistry
359,1089453,General Dentistry
360,1089345,General Dentistry
361,1089212,General Dentistry
362,1089262,General Dentistry
363,1089173,General Dentistry
364,1088995,General Dentistry
365,1089091,General Dentistry
366,1089035,General Dentistry
367,1089459,General Dentistry
368,1089168,General Dentistry
369,1089139,General Dentistry
370,1089037,General Dentistry
371,1089496,General Dentistry
372,1089296,General Dentistry
373,1089339,General Dentistry
374,1089397,General Dentistry
375,1089472,General Dentistry
376,1089105,General Dentistry
377,1089250,General Dentistry
378,1089417,General Dentistry
379,1089195,General Dentistry
380,1089187,General Dentistry
381,1089443,General Dentistry
382,1089018,General Dentistry
383,1089042,General Dentistry
384,1089271,Pediatric Dentistry
385,1089301,General Dentistry
386,1089206,General Dentistry
387,1089376,Orthodontics and Dentofacial Orthopedics
388,1089478,General Dentistry
389,1089497,General Dentistry
390,1089293,General Dentistry
391,1089263,General Dentistry
392,1089422,General Dentistry
393,1089230,General Dentistry
394,1089099,General Dentistry
395,1089097,General Dentistry
396,1089512,General Dentistry
397,1089499,Oral and Maxillofacial Surgery
398,1088996,General Dentistry
399,1089180,General Dentistry
400,1089340,General Dentistry
401,1088999,General Dentistry
402,1089211,General Dentistry
403,1089288,General Dentistry
404,1089012,Pediatric Dentistry
405,1089083,General Dentistry
406,1089015,General Dentistry
407,1089119,Pediatric Dentistry
408,1089213,Endodontics
409,1089308,General Dentistry
410,1089252,General Dentistry
411,1089000,General Dentistry
412,1089273,Pediatric Dentistry
413,1089089,Oral and Maxillofacial Surgery
414,1089207,General Dentistry
415,1089295,General Dentistry
416,1089365,General Dentistry
417,1089441,General Dentistry
418,1089087,Pediatric Dentistry
419,1089152,General Dentistry
420,1089300,General Dentistry
421,1089027,Orthodontics and Dentofacial Orthopedics
422,1089070,General Dentistry
423,1089205,General Dentistry
424,1089182,General Dentistry
425,1089371,General Dentistry
426,1089258,General Dentistry
427,1089509,General Dentistry
428,1089401,General Dentistry
429,1089280,General Dentistry
430,1089052,General Dentistry
431,1089075,General Dentistry
432,1089055,General Dentistry
433,1089186,General Dentistry
434,1089019,General Dentistry
435,1089111,General Dentistry
436,1089413,Pediatric Dentistry
437,1089033,General Dentistry
438,1089344,General Dentistry
439,1089161,General Dentistry
440,1089076,General Dentistry
441,1089065,General Dentistry
442,1089312,General Dentistry
443,1089158,General Dentistry
444,1089201,Pediatric Dentistry
445,1089321,General Dentistry
446,1089116,General Dentistry
447,1089224,Pediatric Dentistry
448,1089381,Orthodontics and Dentofacial Orthopedics
449,1089463,General Dentistry
450,1089323,General Dentistry
451,1089231,General Dentistry
452,1089348,General Dentistry
453,1089389,General Dentistry
454,1089452,General Dentistry
455,1089268,General Dentistry
456,1089335,General Dentistry
457,1089141,General Dentistry
458,1089094,Orthodontics and Dentofacial Orthopedics
459,1089485,General Dentistry
460,1089303,General Dentistry
461,1089309,General Dentistry
462,1089228,General Dentistry
463,1089008,General Dentistry
464,1089184,General Dentistry
465,1089316,General Dentistry
466,1089313,General Dentistry
467,1089124,General Dentistry
468,1089410,General Dentistry
469,1089085,General Dentistry
470,1089456,General Dentistry
471,1089346,General Dentistry
472,1089283,General Dentistry
473,1089373,General Dentistry
474,1089030,General Dentistry
475,1089238,General Dentistry
476,1089450,General Dentistry
477,1089379,Oral and Maxillofacial Surgery
478,1003822545,General Dentistry
479,1003918467,General Dentistry
480,1003969312,General Dentistry
481,1023154309,General Dentistry
482,1033231014,General Dentistry
483,1043266893,General Dentistry
484,1043360233,General Dentistry
485,1053589671,General Dentistry
486,1073679965,General Dentistry
487,1083794754,General Dentistry
488,1093799009,Oral and Maxillofacial Surgery
489,1093822330,General Dentistry
490,1089534,General Dentistry
491,1089536,Oral and Maxillofacial Surgery
492,1114193687,General Dentistry
493,1124096003,Oral and Maxillofacial Surgery
494,1134289671,General Dentistry
495,1144338831,General Dentistry
496,1154338648,General Dentistry
497,1154412336,Oral and Maxillofacial Surgery
498,1154419935,General Dentistry
499,1154493518,General Dentistry
500,1089538,General Dentistry
501,1174699946,Pediatric Dentistry
502,1174699946,General Dentistry
503,1194870121,Pediatric Dentistry
504,1205934494,General Dentistry
505,1497060065,General Dentistry
506,1215074307,General Dentistry
507,1215082797,General Dentistry
508,1225043573,General Dentistry
509,1245264266,Pediatric Dentistry
510,1245434125,Pediatric Dentistry
511,1255352233,General Dentistry
512,1255473419,General Dentistry
513,1265543797,General Dentistry
514,1295863413,Pediatric Dentistry
515,1306045547,General Dentistry
516,1306802665,Oral and Maxillofacial Surgery
517,1306860655,General Dentistry
518,1306912621,General Dentistry
519,1306953658,General Dentistry
520,1316012792,General Dentistry
521,1316100241,General Dentistry
522,1316921745,Oral and Maxillofacial Surgery
523,1346342334,General Dentistry
524,1760646905,General Dentistry
525,1225178098,General Dentistry
526,1811049117,General Dentistry
527,1467523258,General Dentistry
528,1841301959,Pediatric Dentistry
529,1326121088,General Dentistry
530,1821262692,General Dentistry
531,1275797953,General Dentistry
532,1215099932,General Dentistry
533,1821168675,General Dentistry
534,1376791897,General Dentistry
535,1073607404,General Dentistry
536,1891725644,Pediatric Dentistry
537,1881891455,General Dentistry
538,1760491906,General Dentistry
539,1912003351,General Dentistry
540,1487853610,Orthodontics and Dentofacial Orthopedics
541,1275708158,General Dentistry
542,1912943242,General Dentistry
543,1447370713,General Dentistry
544,1033207154,General Dentistry
545,1568589695,General Dentistry
546,1144475617,Oral and Maxillofacial Surgery
547,1396919833,General Dentistry
548,1457440224,General Dentistry
549,1801043393,General Dentistry
550,1760512594,General Dentistry
551,1356425649,General Dentistry
552,1457560401,General Dentistry
553,1770585424,General Dentistry
554,1891702866,General Dentistry
555,1265515472,General Dentistry
556,1124236047,Oral and Maxillofacial Surgery
557,1780842427,General Dentistry
558,1265687552,General Dentistry
559,1457594467,Orthodontics and Dentofacial Orthopedics
560,1265635353,General Dentistry
561,1730298548,General Dentistry
562,1194989749,General Dentistry
563,1568656072,General Dentistry
564,1295962231,General Dentistry
565,1801025267,General Dentistry
566,1124258470,General Dentistry
567,1740485234,General Dentistry
568,1558465815,General Dentistry
569,1437380003,General Dentistry
570,1912152521,General Dentistry
571,1760611818,General Dentistry
572,1043394711,General Dentistry
573,1316970197,Oral and Maxillofacial Surgery
574,1740334655,General Dentistry
575,1649219841,General Dentistry
576,1669543310,General Dentistry
577,1629418843,General Dentistry
578,1932123395,Pediatric Dentistry
579,1942432729,General Dentistry
580,1346649472,General Dentistry
581,1336542398,General Dentistry
582,1366875221,General Dentistry
583,1255545539,General Dentistry
584,1538416888,General Dentistry
585,1982669768,General Dentistry
586,1639579626,General Dentistry
587,1174017784,General Dentistry
588,1689234197,General Dentistry
589,1710907787,General Dentistry
590,1831367697,General Dentistry
591,1942355045,Endodontics
592,1629049507,Oral and Maxillofacial Surgery
593,1396905485,General Dentistry
594,1871944256,General Dentistry
595,1922238757,General Dentistry
596,1861807802,General Dentistry
597,1518344480,General Dentistry
598,1083144083,General Dentistry
599,1689914921,Oral and Maxillofacial Surgery
600,1871655936,General Dentistry
601,1144388372,General Dentistry
602,1881750446,General Dentistry
603,1649328915,General Dentistry
604,1134342249,General Dentistry
605,1508843715,General Dentistry
606,1033208624,General Dentistry
607,1609889930,General Dentistry
608,1972732121,General Dentistry
609,1255462958,General Dentistry
610,1134495591,General Dentistry
611,1982728721,Oral and Maxillofacial Surgery
612,1902964976,General Dentistry
613,1306156906,General Dentistry
614,1356355895,Oral and Maxillofacial Surgery
615,1659635712,Pediatric Dentistry
616,1598772436,General Dentistry
617,1174537989,General Dentistry
618,1346459278,Oral and Maxillofacial Surgery
619,1699863449,Oral and Maxillofacial Surgery
620,1841321981,Oral and Maxillofacial Surgery
621,1992966261,Oral and Maxillofacial Surgery
622,1427266345,Oral and Maxillofacial Surgery
623,1689869745,General Dentistry
624,1386870210,General Dentistry
625,1033346903,General Dentistry
626,1700267291,General Dentistry
627,1104168244,Oral and Maxillofacial Surgery
628,1306055801,Pediatric Dentistry
629,1043425218,General Dentistry
630,1528287935,Pediatric Dentistry
631,1700248085,General Dentistry
632,1255314027,Oral and Maxillofacial Surgery
633,1003350059,General Dentistry
634,1089520,General Dentistry
635,1881930014,General Dentistry
636,1891148441,General Dentistry
637,1932171576,Oral and Maxillofacial Surgery
638,1801831938,General Dentistry
639,1447452636,General Dentistry
640,1164526281,General Dentistry
641,1255402376,General Dentistry
642,1588180392,General Dentistry
643,1386733632,General Dentistry
644,1538459458,General Dentistry
645,1699956565,General Dentistry
646,1003991050,General Dentistry
647,1558709543,General Dentistry
648,1932233905,General Dentistry
649,1861842478,General Dentistry
650,1538682307,General Dentistry
651,1700314986,General Dentistry
652,1205358173,General Dentistry
653,1487939435,Pediatric Dentistry
654,1255410932,General Dentistry
655,1861493033,General Dentistry
656,1265680961,General Dentistry
657,1578545703,General Dentistry
658,1992870687,General Dentistry
659,1356897623,General Dentistry
660,1154306579,Oral and Maxillofacial Surgery
661,1427263631,General Dentistry
662,1154306579,General Dentistry
663,1699941559,General Dentistry
664,1629220686,General Dentistry
665,1821403627,General Dentistry
666,1093034514,Endodontics
667,1992145940,General Dentistry
668,1932567641,General Dentistry
669,1164526398,General Dentistry
670,1962533174,Orthodontics and Dentofacial Orthopedics
671,1104966340,General Dentistry
672,1801003082,General Dentistry
673,1467679746,General Dentistry
674,1528241742,Endodontics
675,1346316056,General Dentistry
676,1144335217,General Dentistry
677,1346397239,Oral and Maxillofacial Surgery
678,1679639538,General Dentistry
679,1366596496,General Dentistry
680,1255499869,General Dentistry
681,1265521553,General Dentistry
682,1962659631,Oral and Maxillofacial Surgery
683,1780886564,General Dentistry
684,1073603114,General Dentistry
685,1629128053,Pediatric Dentistry
686,1851406938,General Dentistry
687,1891808218,General Dentistry
688,1093819443,General Dentistry
689,1538230479,General Dentistry
690,1932359924,General Dentistry
691,1194812032,General Dentistry
692,1396919833,Orthodontics and Dentofacial Orthopedics
693,1154448231,General Dentistry
694,1089513,Oral and Maxillofacial Surgery
695,1720045685,Oral and Maxillofacial Surgery
696,1811057631,General Dentistry
697,1497919054,General Dentistry
698,1215021902,General Dentistry
699,1730297276,Pediatric Dentistry
700,1215151444,General Dentistry
701,1043434269,General Dentistry
702,1144300864,General Dentistry
703,1831112226,General Dentistry
704,1336268127,General Dentistry
705,1285773580,General Dentistry
706,1689855413,General Dentistry
707,1760481857,General Dentistry
708,1710993340,General Dentistry
709,1659596807,General Dentistry
710,1477639581,General Dentistry
711,1245373935,General Dentistry
712,1699929273,General Dentistry
713,1942365036,General Dentistry
714,1871709238,Endodontics
715,1548347958,General Dentistry
716,1255371308,Oral and Maxillofacial Surgery
717,1619057254,General Dentistry
718,1033290697,General Dentistry
719,1760587729,General Dentistry
720,1265567978,General Dentistry
721,1538257290,General Dentistry
722,1740467786,General Dentistry
723,1003984469,General Dentistry
724,1538133137,General Dentistry
725,1407914104,General Dentistry
726,1982719639,Oral and Maxillofacial Surgery
727,1003973520,General Dentistry
728,1801966494,General Dentistry
729,1144300658,Endodontics
730,1619178290,General Dentistry
731,1700921533,Pediatric Dentistry
732,1255429197,General Dentistry
733,1285755967,General Dentistry
734,1669441333,Oral and Maxillofacial Surgery
735,1982673513,Oral and Maxillofacial Surgery
736,1730104035,Oral and Maxillofacial Surgery
737,1639383128,General Dentistry
738,1033158589,General Dentistry
739,1124055512,General Dentistry
740,1639278039,General Dentistry
741,1811071749,General Dentistry
742,1215944970,General Dentistry
743,1629160809,General Dentistry
744,1790700037,General Dentistry
745,1528154721,Oral and Maxillofacial Surgery
746,1528079860,General Dentistry
747,1417066093,General Dentistry
748,1801011614,Orthodontics and Dentofacial Orthopedics
749,1164525374,General Dentistry
750,1063436244,General Dentistry
751,1760405112,General Dentistry
752,1639201700,Pediatric Dentistry
753,1386668663,General Dentistry
754,1417115288,General Dentistry
755,1235171976,General Dentistry
756,1760642292,General Dentistry
757,1316037039,General Dentistry
758,1689731580,General Dentistry
759,1952412777,General Dentistry
760,1972645190,General Dentistry
761,1700979994,General Dentistry
762,1841342995,General Dentistry
763,1124132139,General Dentistry
764,1548357502,General Dentistry
765,1972610947,General Dentistry
766,1437187143,General Dentistry
767,1659469013,General Dentistry
768,1093996332,Orthodontics and Dentofacial Orthopedics
769,1407860109,General Dentistry
770,1588722615,General Dentistry
771,1790816833,General Dentistry
772,1043396583,General Dentistry
773,1801819776,General Dentistry
774,1548348154,General Dentistry
775,1730265950,General Dentistry
776,1922153220,General Dentistry
777,1089531,General Dentistry
778,1144341256,General Dentistry
779,1003925611,General Dentistry
780,1245443340,General Dentistry
781,1962660456,General Dentistry
782,1811073224,General Dentistry
783,1831347327,General Dentistry
784,1306933361,General Dentistry
785,1245311257,General Dentistry
786,1952499402,General Dentistry
787,1992871297,General Dentistry
788,1619064508,General Dentistry
789,1184730038,General Dentistry
790,1992809149,General Dentistry
791,1760551378,General Dentistry
792,1780769117,General Dentistry
793,1386856755,General Dentistry
794,1609076587,Endodontics
795,1659466928,General Dentistry
796,1790725844,Oral and Maxillofacial Surgery
797,1588778302,General Dentistry
798,1699753111,Oral and Maxillofacial Surgery
799,1821091349,General Dentistry
800,1174606032,General Dentistry
801,1831285220,General Dentistry
802,1083877385,General Dentistry
803,1013012871,General Dentistry
804,1144325903,General Dentistry
805,1033284948,General Dentistry
806,1417961723,General Dentistry
807,1083719249,General Dentistry
808,1669522678,General Dentistry
809,1518047455,General Dentistry
810,1750429452,General Dentistry
811,1639266604,General Dentistry
812,1710939012,General Dentistry
813,1013165661,Orthodontics and Dentofacial Orthopedics
814,1134336480,Pediatric Dentistry
815,1487762977,General Dentistry
816,1841388667,General Dentistry
817,1275600363,General Dentistry
818,1962425371,General Dentistry
819,1710054176,General Dentistry
820,1023275658,General Dentistry
821,1457449142,General Dentistry
822,1811035322,General Dentistry
823,1780649053,General Dentistry
824,1669559654,General Dentistry
825,1871775544,General Dentistry
826,1225127665,General Dentistry
827,1972624807,General Dentistry
828,1801918776,General Dentistry
829,1093738460,General Dentistry
830,1891873717,General Dentistry
831,1033297965,General Dentistry
832,1114934635,General Dentistry
833,1326124041,General Dentistry
834,1538179924,General Dentistry
835,1427279975,General Dentistry
836,1457448359,General Dentistry
837,1144296302,General Dentistry
838,1336223395,General Dentistry
839,1245348663,General Dentistry
840,1417961970,Orthodontics and Dentofacial Orthopedics
841,1609932722,General Dentistry
842,1487780631,General Dentistry
843,1487069035,General Dentistry
844,1962532986,General Dentistry
845,1598887085,General Dentistry
846,1083754329,General Dentistry
847,1407933625,General Dentistry
848,1750482196,Oral and Maxillofacial Surgery
849,1275617680,General Dentistry
850,1689771107,Orthodontics and Dentofacial Orthopedics
851,1417999152,Pediatric Dentistry
852,1225105000,General Dentistry
853,1730271743,General Dentistry
854,1871694794,General Dentistry
855,1447457676,Endodontics
856,1316137110,General Dentistry
857,1184822256,Endodontics
858,1447313051,General Dentistry
859,1912060427,General Dentistry
860,1295822252,General Dentistry
861,1144308255,Orthodontics and Dentofacial Orthopedics
862,1487678892,General Dentistry
863,1831177484,General Dentistry
864,1861541872,General Dentistry
865,1851466452,General Dentistry
866,1558489245,General Dentistry
867,1295899680,General Dentistry
868,1861544330,General Dentistry
869,1235226408,General Dentistry
870,1932470267,Orthodontics and Dentofacial Orthopedics
871,1104941137,General Dentistry
872,1679650832,General Dentistry
873,1417052507,General Dentistry
874,1912016726,General Dentistry
875,1659460368,Endodontics
876,1164502944,General Dentistry
877,1477604767,General Dentistry
878,1649363995,General Dentistry
879,1881871945,General Dentistry
880,1417299082,General Dentistry
881,1699700591,Oral and Maxillofacial Surgery
882,1730290677,Endodontics
883,1265513477,General Dentistry
884,1083789242,General Dentistry
885,1336366152,General Dentistry
886,1215950753,General Dentistry
887,1043344617,General Dentistry
888,1811087117,General Dentistry
889,1689706780,General Dentistry
890,1417970823,General Dentistry
891,1427256684,Endodontics
892,1447377783,General Dentistry
893,1992715791,General Dentistry
894,1528086667,Pediatric Dentistry
895,1932263902,General Dentistry
896,1376646851,General Dentistry
897,1235358235,General Dentistry
898,1104998988,General Dentistry
899,1164555918,General Dentistry
900,1982703468,General Dentistry
901,1598852527,General Dentistry
902,1689761181,Orthodontics and Dentofacial Orthopedics
903,1770793358,General Dentistry
904,1356301659,General Dentistry
905,1588603625,Pediatric Dentistry
906,1689774804,General Dentistry
907,1306824073,General Dentistry
908,1396817615,General Dentistry
909,1295948255,General Dentistry
910,1144499302,General Dentistry
911,1821004805,Orthodontics and Dentofacial Orthopedics
912,1902810336,General Dentistry
913,1891884672,General Dentistry
914,1801967898,General Dentistry
915,1457536922,General Dentistry
916,1932151594,Pediatric Dentistry
917,1023229226,General Dentistry
918,1275610826,Orthodontics and Dentofacial Orthopedics
919,1558466565,General Dentistry
920,1336257815,General Dentistry
921,1326115601,General Dentistry
922,1043381619,Orthodontics and Dentofacial Orthopedics
923,1306909221,Endodontics
924,1821109380,General Dentistry
925,1073537973,General Dentistry
926,1730260308,General Dentistry
927,1770694606,Endodontics
928,1679655757,General Dentistry
929,1164562450,General Dentistry
930,1669531695,Orthodontics and Dentofacial Orthopedics
931,1518978790,General Dentistry
932,1770661811,Orthodontics and Dentofacial Orthopedics
933,1518096999,General Dentistry
934,1699804070,General Dentistry
935,1972611507,General Dentistry
936,1255442992,General Dentistry
937,1679595839,General Dentistry
938,1144382326,General Dentistry
939,1346330065,General Dentistry
940,1295945772,General Dentistry
941,1700088325,General Dentistry
942,1225126709,Endodontics
943,1164765459,General Dentistry
944,1730253741,General Dentistry
945,1528268869,General Dentistry
946,1629167226,General Dentistry
947,1013125319,Orthodontics and Dentofacial Orthopedics
948,1982701348,General Dentistry
949,1679670814,General Dentistry
950,1053323964,General Dentistry
951,1154584456,General Dentistry
952,1740229061,General Dentistry
953,1982710083,General Dentistry
