year,geo_abr,geo_name,question,value,topic,unit,break_out,indicator
2019,WV,West Virginia,Current state dental director,Permanent,Leadership,,,Current state dental director
2013,WV,West Virginia,Current state dental director,Yes,Leadership,,,Current state dental director
2020,CO,Colorado,Years in current dental director position,8,Leadership,years,,Years in current dental director position
2014,VT,Vermont,Current state dental director,Yes,Leadership,,,Current state dental director
2015,KS,Kansas,Current state dental director,Yes,Leadership,,,Current state dental director
2020,UT,Utah,Current state dental director,Yes,Leadership,,,Current state dental director
2015,ID,Idaho,Current state dental director,Yes,Leadership,,,Current state dental director
2014,AK,Alaska,Current state dental director,Yes,Leadership,,,Current state dental director
2019,MI,Michigan,Years in current dental director position,8,Leadership,years,,Years in current dental director position
2014,HI,Hawaii,Prevention Programs,No,Programs,,Dental screening programs,Prevention Programs: Dental screening programs
2018,AK,Alaska,"Statewide, broad-based oral health coalition",Yes,Leadership,,,"Statewide, broad-based oral health coalition"
2015,AK,Alaska,Years in current dental director position,20,Leadership,years,,Years in current dental director position
2015,IN,Indiana,Years in current dental director position,4,Leadership,years,,Years in current dental director position
2018,MI,Michigan,Years in current dental director position,7,Leadership,years,,Years in current dental director position
2013,VT,Vermont,"Statewide, broad-based oral health coalition",,Leadership,,,"Statewide, broad-based oral health coalition"
2017,DE,Delaware,Years in current dental director position,< 1,Leadership,years,,Years in current dental director position
2017,MI,Michigan,Current state dental director,Yes,Leadership,,,Current state dental director
2019,MI,Michigan,Current state dental director,Permanent,Leadership,,,Current state dental director
2020,MN,Minnesota,Oral health (open-mouth) surveys using Basic Screening Survey protocol,No,Programs,,,Oral health (open-mouth) surveys using Basic Screening Survey protocol
2016,NC,North Carolina,Current state dental director,Yes,Leadership,,,Current state dental director
2014,HI,Hawaii,Years in current dental director position,1,Leadership,years,,Years in current dental director position
2018,NJ,New Jersey,"Statewide, broad-based oral health coalition",Yes,Leadership,,,"Statewide, broad-based oral health coalition"
2012,AL,Alabama,Current state dental director,Yes,Leadership,,,Current state dental director
2018,TX,Texas,Current state dental director,Yes,Leadership,,,Current state dental director
2014,MS,Mississippi,Current state dental director,Yes,Leadership,,,Current state dental director
2016,ID,Idaho,Special populations programs,No,Programs,,For older adults,Special populations programs: For older adults
2020,MI,Michigan,Current state dental director,Yes,Leadership,,,Current state dental director
2015,MO,Missouri,Current state dental director,No,Leadership,,,Current state dental director
2020,AL,Alabama,"Statewide, broad-based oral health coalition",Yes,Leadership,,,"Statewide, broad-based oral health coalition"
2011,MS,Mississippi,Current state dental director,Yes,Leadership,,,Current state dental director
2013,DE,Delaware,Current state dental director,Yes,Leadership,,,Current state dental director
2011,AK,Alaska,"Statewide, broad-based oral health coalition",,Leadership,,,"Statewide, broad-based oral health coalition"
2015,FL,Florida,Current state dental director,Yes,Leadership,,,Current state dental director
2014,WY,Wyoming,Requirement or mandate for a dental health screening or certificate at school entry,,Policies,,,Requirement or mandate for a dental health screening or certificate at school entry
2017,IN,Indiana,Current state dental director,Yes,Leadership,,,Current state dental director
2015,NJ,New Jersey,Current state dental director,Yes,Leadership,,,Current state dental director
2014,IL,Illinois,Statutory requirement or authority,Yes,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
2013,TX,Texas,State dental director/program manager position requirement,Yes,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2020,KY,Kentucky,Prevention Programs,Yes,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2019,MO,Missouri,Years in current dental director position,3,Leadership,years,,Years in current dental director position
2019,LA,Louisiana,State dental director/program manager position requirement,Yes,Leadership,,Public health experience,State dental director/program manager position requirement: Public health experience
2017,WY,Wyoming,Dental director position type,,Leadership,multiple choice,,Dental director position type
2014,PA,Pennsylvania,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,0,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2018,WV,West Virginia,"Number of health agencies serving jurisdictions of 250,000+ population",0,Leadership,agencies,With a dental program directed by a dental professional with graduate degree in public health,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional with graduate degree in public health"
2014,IL,Illinois,Dental director position type,,Leadership,multiple choice,,Dental director position type
2020,UT,Utah,Prevention Programs,,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2013,RI,Rhode Island,Prevention Programs,Yes,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2012,VT,Vermont,Prevention Programs,Yes,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2018,NV,Nevada,Special populations programs,Yes,Programs,,For pregnant women,Special populations programs: For pregnant women
2015,UT,Utah,State dental director/program manager position requirement,Yes,Leadership,,Public health experience,State dental director/program manager position requirement: Public health experience
2012,IN,Indiana,State dental director/program manager position requirement,Yes,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2019,IL,Illinois,Special populations programs,No,Programs,,For older adults,Special populations programs: For older adults
2012,KS,Kansas,State dental director/program manager position requirement,Yes,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2017,OK,Oklahoma,Statutory requirement or authority,Yes,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2018,PA,Pennsylvania,Prevention Programs,No,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2016,SD,South Dakota,Prevention Programs,No,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2011,VA,Virginia,Prevention Programs,Yes,Programs,,Fluoride varnish programs,Prevention Programs: Fluoride varnish programs
2013,DC,District of Columbia,Current state dental director,Yes,Leadership,,,Current state dental director
2014,TX,Texas,Special populations programs,No,Programs,,For older adults,Special populations programs: For older adults
2015,IN,Indiana,Prevention Programs,Yes,Programs,,Fluoride varnish programs,Prevention Programs: Fluoride varnish programs
2016,ND,North Dakota,Prevention Programs,Yes,Programs,,Dental screening programs,Prevention Programs: Dental screening programs
2019,RI,Rhode Island,Prevention Programs,No,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2018,OR,Oregon,System for children with cleft lips/cleft palates,No,Programs,,System for referring children with cleft lips/cleft palates to rehabilitative teams,System for children with cleft lips/cleft palates: System for referring children with cleft lips/cleft palates to rehabilitative teams
2015,WV,West Virginia,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,14,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2018,MO,Missouri,Requirement or mandate for a dental health screening or certificate at school entry,No,Policies,,,Requirement or mandate for a dental health screening or certificate at school entry
2017,PA,Pennsylvania,Statutory requirement or authority,Yes,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
2014,CT,Connecticut,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,3,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2020,AZ,Arizona,Prevention Programs,Yes,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2016,UT,Utah,State dental director/program manager position requirement,Yes,Leadership,,Public health experience,State dental director/program manager position requirement: Public health experience
2020,SC,South Carolina,Prevention Programs,Yes,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2014,CA,California,Prevention Programs,No,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2011,KS,Kansas,System for children with cleft lips/cleft palates,,Programs,,System for referring children with cleft lips/cleft palates to rehabilitative teams,System for children with cleft lips/cleft palates: System for referring children with cleft lips/cleft palates to rehabilitative teams
2020,OH,Ohio,Statutory requirement or authority,No,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2016,AR,Arkansas,Prevention Programs,Yes,Programs,,Fluoride varnish programs,Prevention Programs: Fluoride varnish programs
2019,GA,Georgia,State dental director/program manager position requirement,Yes,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2020,AL,Alabama,State dental director/program manager position requirement,No,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2014,NM,New Mexico,System for children with cleft lips/cleft palates,No,Programs,,"System for recording children with cleft lips, palates, and other craniofacial anomalies","System for children with cleft lips/cleft palates: System for recording children with cleft lips, palates, and other craniofacial anomalies"
2018,GA,Georgia,Prevention Programs,Yes,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2020,HI,Hawaii,Requirement or mandate for a dental health screening or certificate at school entry,No,Policies,,,Requirement or mandate for a dental health screening or certificate at school entry
2016,CT,Connecticut,Current state dental director,Yes,Leadership,,,Current state dental director
2015,OK,Oklahoma,Prevention Programs,Yes,Programs,,Dental screening programs,Prevention Programs: Dental screening programs
2017,GA,Georgia,"Number of health agencies serving jurisdictions of 250,000+ population",7,Leadership,agencies,With a dental program,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program"
2017,MD,Maryland,State dental director/program manager position requirement,Yes,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2018,DE,Delaware,Special populations programs,Yes,Programs,,For older adults,Special populations programs: For older adults
2012,NM,New Mexico,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,0,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2018,HI,Hawaii,Prevention Programs,No,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2017,NV,Nevada,State dental director/program manager position requirement,Yes,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2015,DE,Delaware,Statutory requirement or authority,No,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2014,ID,Idaho,Special populations programs,Yes,Programs,,For pregnant women,Special populations programs: For pregnant women
2011,ID,Idaho,"Number of health agencies serving jurisdictions of 250,000+ population",,Leadership,agencies,With a dental program directed by a dental professional with graduate degree in public health,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional with graduate degree in public health"
2017,CA,California,Prevention Programs,No,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2013,AR,Arkansas,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,5,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2015,NJ,New Jersey,Statutory requirement or authority,No,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
2017,VT,Vermont,State dental director/program manager position requirement,Yes,Leadership,,Public health experience,State dental director/program manager position requirement: Public health experience
2020,NY,New York,Statutory requirement or authority,,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
2012,FL,Florida,System for children with cleft lips/cleft palates,Yes,Programs,,System for referring children with cleft lips/cleft palates to rehabilitative teams,System for children with cleft lips/cleft palates: System for referring children with cleft lips/cleft palates to rehabilitative teams
2013,ND,North Dakota,Prevention Programs,Yes,Programs,,Dental screening programs,Prevention Programs: Dental screening programs
2014,IN,Indiana,State dental director/program manager position requirement,No,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2011,NJ,New Jersey,Prevention Programs,No,Programs,,Fluoride varnish programs,Prevention Programs: Fluoride varnish programs
2016,KY,Kentucky,Requirement or mandate for a dental health screening or certificate at school entry,Yes,Policies,,,Requirement or mandate for a dental health screening or certificate at school entry
2011,NJ,New Jersey,"Number of health agencies serving jurisdictions of 250,000+ population",0,Leadership,agencies,With a dental program directed by a dental professional with graduate degree in public health,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional with graduate degree in public health"
2017,NY,New York,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,39,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2017,WV,West Virginia,Prevention Programs,No,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2015,CT,Connecticut,System for children with cleft lips/cleft palates,Yes,Programs,,System for referring children with cleft lips/cleft palates to rehabilitative teams,System for children with cleft lips/cleft palates: System for referring children with cleft lips/cleft palates to rehabilitative teams
2019,GA,Georgia,Prevention Programs,Yes,Programs,,Fluoride varnish programs,Prevention Programs: Fluoride varnish programs
2012,NV,Nevada,Statutory requirement or authority,Yes,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2013,FL,Florida,Current state dental director,No,Leadership,,,Current state dental director
2016,OH,Ohio,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,With a dental program directed by a dental professional with graduate degree in public health,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional with graduate degree in public health"
2013,LA,Louisiana,Statutory requirement or authority,No,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
2014,VA,Virginia,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,22.25,Staff,FTE,Directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Directly supervised by state health agency staff
2011,ME,Maine,System for children with cleft lips/cleft palates,,Programs,,"System for recording children with cleft lips, palates, and other craniofacial anomalies","System for children with cleft lips/cleft palates: System for recording children with cleft lips, palates, and other craniofacial anomalies"
2019,AZ,Arizona,Prevention Programs,Yes,Programs,,Fluoride varnish programs,Prevention Programs: Fluoride varnish programs
2014,PA,Pennsylvania,"Number of health agencies serving jurisdictions of 250,000+ population",0,Leadership,agencies,With a dental program directed by a dental professional with graduate degree in public health,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional with graduate degree in public health"
2015,KY,Kentucky,Years in current dental director position,7,Leadership,years,,Years in current dental director position
2014,CO,Colorado,"Number of health agencies serving jurisdictions of 250,000+ population",0,Leadership,agencies,With a dental program directed by a dental professional with graduate degree in public health,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional with graduate degree in public health"
2019,AL,Alabama,"Number of health agencies serving jurisdictions of 250,000+ population",3,Leadership,agencies,With a dental program directed by a dental professional,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional"
2011,NJ,New Jersey,System for children with cleft lips/cleft palates,,Programs,,"System for recording children with cleft lips, palates, and other craniofacial anomalies","System for children with cleft lips/cleft palates: System for recording children with cleft lips, palates, and other craniofacial anomalies"
2017,NC,North Carolina,Dental director position type,Civil Service,Leadership,multiple choice,,Dental director position type
2015,NJ,New Jersey,Dental director position type,Civil Service,Leadership,multiple choice,,Dental director position type
2014,NJ,New Jersey,Oral health (open-mouth) surveys using Basic Screening Survey protocol,No,Programs,,,Oral health (open-mouth) surveys using Basic Screening Survey protocol
2015,WI,Wisconsin,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,1.8,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2018,VA,Virginia,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,30.25,Staff,FTE,Directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Directly supervised by state health agency staff
2014,IL,Illinois,Years in current dental director position,2,Leadership,years,,Years in current dental director position
2018,CA,California,System for children with cleft lips/cleft palates,Yes,Programs,,System for referring children with cleft lips/cleft palates to rehabilitative teams,System for children with cleft lips/cleft palates: System for referring children with cleft lips/cleft palates to rehabilitative teams
2013,MD,Maryland,State dental director/program manager position requirement,,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2017,LA,Louisiana,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,3,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2011,CA,California,"Number of health agencies serving jurisdictions of 250,000+ population",7,Leadership,agencies,With a dental program,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program"
2016,CA,California,Years in current dental director position,< 1,Leadership,years,,Years in current dental director position
2020,WV,West Virginia,Statutory requirement or authority,Yes,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
2012,ME,Maine,Requirement or mandate for a dental health screening or certificate at school entry,,Policies,,,Requirement or mandate for a dental health screening or certificate at school entry
2015,MO,Missouri,State dental director/program manager position requirement,No,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2013,NH,New Hampshire,"Number of health agencies serving jurisdictions of 250,000+ population",3,Leadership,agencies,With a dental program,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program"
2014,TN,Tennessee,"Number of health agencies serving jurisdictions of 250,000+ population",,Leadership,agencies,With a dental program directed by a dental professional,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional"
2014,NM,New Mexico,Oral health (open-mouth) surveys using Basic Screening Survey protocol,No,Programs,,,Oral health (open-mouth) surveys using Basic Screening Survey protocol
2014,OH,Ohio,Oral health (open-mouth) surveys using Basic Screening Survey protocol,No,Programs,,,Oral health (open-mouth) surveys using Basic Screening Survey protocol
2013,CO,Colorado,State dental director/program manager position requirement,Yes,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2014,AZ,Arizona,Prevention Programs,No,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2012,WY,Wyoming,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,3,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2020,SC,South Carolina,Prevention Programs,Yes,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2011,ID,Idaho,System for children with cleft lips/cleft palates,,Programs,,"System for recording children with cleft lips, palates, and other craniofacial anomalies","System for children with cleft lips/cleft palates: System for recording children with cleft lips, palates, and other craniofacial anomalies"
2017,MT,Montana,System for children with cleft lips/cleft palates,Yes,Programs,,"System for recording children with cleft lips, palates, and other craniofacial anomalies","System for children with cleft lips/cleft palates: System for recording children with cleft lips, palates, and other craniofacial anomalies"
2014,PA,Pennsylvania,Special populations programs,Yes,Programs,,For pregnant women,Special populations programs: For pregnant women
2016,NV,Nevada,Prevention Programs,No,Programs,,Fluoride varnish programs,Prevention Programs: Fluoride varnish programs
2020,CT,Connecticut,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,0,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2020,WA,Washington,State dental director/program manager position requirement,,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2020,MS,Mississippi,Prevention Programs,Yes,Programs,,Dental screening programs,Prevention Programs: Dental screening programs
2013,NE,Nebraska,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,0,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2013,KY,Kentucky,Prevention Programs,No,Programs,,Dental screening programs,Prevention Programs: Dental screening programs
2015,VT,Vermont,Prevention Programs,Yes,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2012,OK,Oklahoma,Prevention Programs,Yes,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2019,NC,North Carolina,Current state dental director,Permanent,Leadership,,,Current state dental director
2019,NH,New Hampshire,Dental director position type,Civil Service,Leadership,multiple choice,,Dental director position type
2018,MA,Massachusetts,State dental director/program manager position requirement,Yes,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2013,CA,California,Special populations programs,,Programs,,For older adults,Special populations programs: For older adults
2011,UT,Utah,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,0,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2011,KS,Kansas,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,2.5,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2016,WV,West Virginia,Statutory requirement or authority,Yes,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2013,CA,California,Prevention Programs,,Programs,,Fluoride varnish programs,Prevention Programs: Fluoride varnish programs
2015,ME,Maine,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,4.1,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2016,MT,Montana,"Statewide, broad-based oral health coalition",No,Leadership,,,"Statewide, broad-based oral health coalition"
2020,CO,Colorado,Requirement or mandate for a dental health screening or certificate at school entry,No,Policies,,,Requirement or mandate for a dental health screening or certificate at school entry
2014,OR,Oregon,Prevention Programs,Yes,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2016,WA,Washington,Prevention Programs,No,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2015,MS,Mississippi,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,11.75,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2015,AK,Alaska,Prevention Programs,Yes,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2011,MO,Missouri,Oral health (open-mouth) surveys using Basic Screening Survey protocol,Yes,Programs,,,Oral health (open-mouth) surveys using Basic Screening Survey protocol
2017,NC,North Carolina,Special populations programs,No,Programs,,For pregnant women,Special populations programs: For pregnant women
2011,OR,Oregon,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,9,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2016,OK,Oklahoma,System for children with cleft lips/cleft palates,Yes,Programs,,"System for recording children with cleft lips, palates, and other craniofacial anomalies","System for children with cleft lips/cleft palates: System for recording children with cleft lips, palates, and other craniofacial anomalies"
2015,SD,South Dakota,Special populations programs,No,Programs,,For older adults,Special populations programs: For older adults
2020,NJ,New Jersey,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,2,Staff,FTE,Directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Directly supervised by state health agency staff
2020,AZ,Arizona,State dental director/program manager position requirement,Yes,Leadership,,Public health experience,State dental director/program manager position requirement: Public health experience
2011,SC,South Carolina,Special populations programs,No,Programs,,For pregnant women,Special populations programs: For pregnant women
2014,CO,Colorado,"Number of health agencies serving jurisdictions of 250,000+ population",10,Leadership,agencies,Total,"Number of health agencies serving jurisdictions of 250,000+ population: Total"
2018,NV,Nevada,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,0,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2018,MT,Montana,State dental director/program manager position requirement,No,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2015,OH,Ohio,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,10,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2014,UT,Utah,Statutory requirement or authority,No,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2014,WI,Wisconsin,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,4.6,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2020,NC,North Carolina,Prevention Programs,Yes,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2019,NY,New York,Prevention Programs,,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2012,ID,Idaho,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,,Staff,FTE,Directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Directly supervised by state health agency staff
2013,PA,Pennsylvania,Requirement or mandate for a dental health screening or certificate at school entry,,Policies,,,Requirement or mandate for a dental health screening or certificate at school entry
2019,CO,Colorado,Prevention Programs,Yes,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2020,NM,New Mexico,Years in current dental director position,14,Leadership,years,,Years in current dental director position
2017,TX,Texas,State dental director/program manager position requirement,No,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2015,MN,Minnesota,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,With a dental program directed by a dental professional,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional"
